Times (s)	Voltage (Volts)
1.390000	2.774101
1.395000	2.811100
1.400000	2.849398
1.405000	2.885748
1.410000	2.923721
1.415000	2.967861
1.420000	3.006808
1.425000	3.045754
1.430000	3.087622
1.435000	3.123648
1.440000	3.169410
1.445000	3.205760
1.450000	3.245032
1.455000	3.281382
1.460000	3.322925
1.465000	3.363819
1.470000	3.405362
1.475000	3.443011
1.480000	3.481633
1.485000	3.518308
1.490000	3.558553
1.495000	3.591008
1.500000	3.625736
1.505000	3.662735
1.510000	3.690972
1.515000	3.735111
1.520000	3.763348
1.525000	3.802294
1.530000	3.831504
1.535000	3.866881
1.540000	3.894468
1.545000	3.926275
1.550000	3.954836
1.555000	3.985019
1.560000	4.011308
1.565000	4.034676
1.570000	4.066158
1.575000	4.086605
1.580000	4.113219
1.585000	4.136912
1.590000	4.157683
1.595000	4.176832
1.600000	4.194683
1.605000	4.210910
1.610000	4.229735
1.615000	4.250506
1.620000	4.265760
1.625000	4.281988
1.630000	4.295944
1.635000	4.308277
1.640000	4.326777
1.645000	4.334242
1.650000	4.343654
1.655000	4.352417
1.660000	4.359882
1.665000	4.370916
1.670000	4.374162
1.675000	4.377083
1.680000	4.386495
1.685000	4.386171
1.690000	4.393960
1.695000	4.392986
1.700000	4.390714
1.705000	4.384872
1.710000	4.390714
1.715000	4.390714
1.720000	4.385846
1.725000	4.379355
1.730000	4.375136
1.735000	4.368645
1.740000	4.362478
1.745000	4.355013
1.750000	4.343654
1.755000	4.334242
1.760000	4.324830
1.765000	4.310225
1.770000	4.299514
1.775000	4.284260
1.780000	4.270304
1.785000	4.257971
1.790000	4.237849
1.795000	4.220972
1.800000	4.202472
1.805000	4.180402
1.810000	4.156710
1.815000	4.139833
1.820000	4.116789
1.825000	4.096991
1.830000	4.071351
1.835000	4.050255
1.840000	4.020071
1.845000	3.992484
1.850000	3.964572
1.855000	3.936011
1.860000	3.908424
1.865000	3.877267
1.870000	3.842864
1.875000	3.814303
1.880000	3.779251
1.885000	3.746471
1.890000	3.714664
1.895000	3.679937
1.900000	3.642613
1.905000	3.605289
1.910000	3.579324
1.915000	3.540053
1.920000	3.502729
1.925000	3.467353
1.930000	3.427757
1.935000	3.392705
1.940000	3.353109
1.945000	3.313188
1.950000	3.273268
1.955000	3.236269
1.960000	3.199918
1.965000	3.159998
1.970000	3.120402
1.975000	3.085026
1.980000	3.044781
1.985000	3.007132
1.990000	2.972080
1.995000	2.934756
2.000000	2.895485
2.005000	2.855889
2.010000	2.818890
2.015000	2.784162
2.020000	2.754303
2.025000	2.716654
2.030000	2.682252
2.035000	2.650120
2.040000	2.613446
2.045000	2.583586
2.050000	2.549184
2.055000	2.516728
2.060000	2.485895
2.065000	2.458308
2.070000	2.429747
2.075000	2.403782
2.080000	2.373274
2.085000	2.349582
2.090000	2.323293
2.095000	2.297653
2.100000	2.271364
2.105000	2.244101
2.110000	2.224303
2.115000	2.205154
2.120000	2.185356
2.125000	2.166532
2.130000	2.149331
2.135000	2.133103
2.140000	2.118498
2.145000	2.103568
2.150000	2.087665
2.155000	2.075007
2.160000	2.067542
2.165000	2.054560
2.170000	2.046446
2.175000	2.038008
2.180000	2.029569
2.185000	2.023727
2.190000	2.019508
2.195000	2.015613
2.200000	2.009447
2.205000	2.008473
2.210000	2.005228
2.215000	2.006526
2.220000	2.008149
2.225000	2.010421
2.230000	2.016912
2.235000	2.019184
2.240000	2.021455
2.245000	2.028596
2.250000	2.037359
2.255000	2.044823
2.260000	2.053911
2.265000	2.065271
2.270000	2.075656
2.275000	2.087016
2.280000	2.099024
2.285000	2.116226
2.290000	2.128234
2.295000	2.142515
2.300000	2.160690
2.305000	2.173348
2.310000	2.195742
2.315000	2.214891
2.320000	2.237610
2.325000	2.258057
2.330000	2.279477
2.335000	2.302196
2.340000	2.329135
2.345000	2.349906
2.350000	2.376520
2.355000	2.403782
2.360000	2.429747
2.365000	2.455387
2.370000	2.484272
2.375000	2.517377
2.380000	2.544315
2.385000	2.575473
2.390000	2.606630
2.395000	2.636814
2.400000	2.671541
2.405000	2.703023
2.410000	2.733207
2.415000	2.772803
2.420000	2.803960
2.425000	2.839337
2.430000	2.871792
2.435000	2.907169
2.440000	2.941896
2.445000	2.978571
2.450000	3.011676
2.455000	3.052245
2.460000	3.088920
2.465000	3.121700
2.470000	3.161296
2.475000	3.194076
2.480000	3.229778
2.485000	3.266777
2.490000	3.307346
2.495000	3.338828
2.500000	3.373556
2.505000	3.410880
2.510000	3.442037
2.515000	3.479686
2.520000	3.511492
2.525000	3.546544
2.530000	3.580947
2.535000	3.608534
2.540000	3.641315
2.545000	3.674419
2.550000	3.705901
2.555000	3.735111
2.560000	3.762049
2.565000	3.789961
2.570000	3.818522
2.575000	3.849355
2.580000	3.875644
2.585000	3.903880
2.590000	3.928871
2.595000	3.952239
2.600000	3.971388
2.605000	3.990861
2.610000	4.013580
2.615000	4.037273
2.620000	4.057395
2.625000	4.077193
2.630000	4.093097
2.635000	4.110947
2.640000	4.127499
2.645000	4.145026
2.650000	4.157683
2.655000	4.172937
2.660000	4.183972
2.665000	4.197928
2.670000	4.207016
2.675000	4.219673
2.680000	4.222919
2.685000	4.232331
2.690000	4.240770
2.695000	4.247910
2.700000	4.249208
2.705000	4.251804
2.710000	4.252778
2.715000	4.257971
2.720000	4.259269
2.725000	4.258620
2.730000	4.258296
2.735000	4.257322
2.740000	4.253427
2.745000	4.250182
2.750000	4.249533
2.755000	4.243691
2.760000	4.236875
2.765000	4.225515
2.770000	4.217401
2.775000	4.214156
2.780000	4.198902
2.785000	4.187218
2.790000	4.174236
2.795000	4.161578
2.800000	4.150868
2.805000	4.135938
2.810000	4.113868
2.815000	4.108026
2.820000	4.082711
2.825000	4.073299
2.830000	4.049281
2.835000	4.028185
2.840000	4.007738
2.845000	3.985993
2.850000	3.963274
2.855000	3.937634
2.860000	3.913942
2.865000	3.886679
2.870000	3.865583
2.875000	3.834101
2.880000	3.812031
2.885000	3.778602
2.890000	3.750690
2.895000	3.722454
2.900000	3.689349
2.905000	3.661437
2.910000	3.628008
2.915000	3.603017
2.920000	3.570561
2.925000	3.534536
2.930000	3.504352
2.935000	3.471247
2.940000	3.436195
2.945000	3.406011
2.950000	3.369337
2.955000	3.332337
2.960000	3.301829
2.965000	3.265154
2.970000	3.229453
2.975000	3.196024
2.980000	3.161945
2.985000	3.125595
2.990000	3.090543
2.995000	3.053868
3.000000	3.020114
3.005000	2.986685
3.010000	2.949037
3.015000	2.922423
3.020000	2.891266
3.025000	2.855889
3.030000	2.824407
3.035000	2.789030
3.040000	2.761768
3.045000	2.725417
3.050000	2.697181
3.055000	2.669594
3.060000	2.636489
3.065000	2.607604
3.070000	2.581315
3.075000	2.554052
3.080000	2.523544
3.085000	2.496281
3.090000	2.477457
3.095000	2.450519
3.100000	2.426177
3.105000	2.401511
3.110000	2.379765
3.115000	2.358669
3.120000	2.337248
3.125000	2.321345
3.130000	2.301223
3.135000	2.284670
3.140000	2.265846
3.145000	2.251241
3.150000	2.235013
