time (s) 	 Output Voltage(v) 	 Input Voltage(v)
0.60000000 	 2.01885900 	 0.67519707 
0.60500000 	 2.03476225 	 0.68006541 
0.61000000 	 2.05066549 	 0.68525831 
0.61500000 	 2.06462140 	 0.68947754 
0.62000000 	 2.07987554 	 0.69499499 
0.62500000 	 2.09448056 	 0.69953878 
0.63000000 	 2.10908558 	 0.70505623 
0.63500000 	 2.12401516 	 0.71024912 
0.64000000 	 2.13991840 	 0.71446835 
0.64500000 	 2.15484798 	 0.71933669 
0.65000000 	 2.16977755 	 0.72517870 
0.65500000 	 2.18405802 	 0.73004704 
0.66000000 	 2.20028582 	 0.73491538 
0.66500000 	 2.21586451 	 0.74010828 
0.67000000 	 2.22949586 	 0.74530117 
0.67500000 	 2.24475000 	 0.75049407 
0.68000000 	 2.25967957 	 0.75601152 
0.68500000 	 2.27428459 	 0.76120442 
0.69000000 	 2.28953873 	 0.76509909 
0.69500000 	 2.30511742 	 0.76964288 
0.70000000 	 2.31907332 	 0.77516033 
0.70500000 	 2.33400290 	 0.78035322 
0.71000000 	 2.34925703 	 0.78587068 
0.71500000 	 2.36418661 	 0.79041446 
0.72000000 	 2.37879163 	 0.79495825 
0.72500000 	 2.39307210 	 0.80047570 
0.73000000 	 2.40929990 	 0.80631771 
0.73500000 	 2.42293125 	 0.81021238 
0.74000000 	 2.43850994 	 0.81508072 
0.74500000 	 2.45441319 	 0.81929995 
0.75000000 	 2.46966732 	 0.82546651 
0.75500000 	 2.48427234 	 0.83098396 
0.76000000 	 2.49952647 	 0.83585230 
0.76500000 	 2.51640339 	 0.84072064 
0.77000000 	 2.52971018 	 0.84558898 
0.77500000 	 2.54463976 	 0.85078188 
0.78000000 	 2.55924478 	 0.85500111 
0.78500000 	 2.57449891 	 0.86019401 
0.79000000 	 2.58780571 	 0.86571146 
0.79500000 	 2.60500718 	 0.87057980 
0.80000000 	 2.61993676 	 0.87512358 
0.80500000 	 2.63356811 	 0.88031648 
0.81000000 	 2.64882224 	 0.88615849 
0.81500000 	 2.66505004 	 0.89037772 
0.82000000 	 2.67965506 	 0.89492150 
0.82500000 	 2.69490920 	 0.89978984 
0.83000000 	 2.70983877 	 0.90595640 
0.83500000 	 2.72509291 	 0.91050019 
0.84000000 	 2.73872426 	 0.91569309 
0.84500000 	 2.75397839 	 0.92023687 
0.85000000 	 2.77117986 	 0.92542977 
0.85500000 	 2.78448666 	 0.93094722 
0.86000000 	 2.80038991 	 0.93581556 
0.86500000 	 2.81434581 	 0.94035934 
0.87000000 	 2.82959995 	 0.94490313 
0.87500000 	 2.84485408 	 0.95009602 
0.88000000 	 2.85783632 	 0.95561348 
0.88500000 	 2.87373957 	 0.96048182 
0.89000000 	 2.88996737 	 0.96535016 
0.89500000 	 2.90457239 	 0.97086761 
0.90000000 	 2.91982652 	 0.97573595 
0.90500000 	 2.93605432 	 0.98157796 
0.91000000 	 2.94903656 	 0.98644630 
0.91500000 	 2.96429070 	 0.99034097 
0.92000000 	 2.97922027 	 0.99553387 
0.92500000 	 2.99414985 	 0.99975310 
0.93000000 	 3.00843032 	 1.00591966 
0.93500000 	 3.02498267 	 1.01111256 
0.94000000 	 3.04056136 	 1.01598090 
0.94500000 	 3.05321905 	 1.02052468 
0.95000000 	 3.06782407 	 1.02571758 
0.95500000 	 3.08437642 	 1.03091047 
0.96000000 	 3.09963056 	 1.03545426 
0.96500000 	 3.11423558 	 1.04032260 
0.97000000 	 3.12981427 	 1.04584005 
0.97500000 	 3.14441929 	 1.05038383 
0.98000000 	 3.16064709 	 1.05622584 
0.98500000 	 3.17395389 	 1.06044507 
0.99000000 	 3.19018169 	 1.06563797 
0.99500000 	 3.20446215 	 1.07147998 
1.00000000 	 3.22004084 	 1.07634832 
1.00500000 	 3.23432131 	 1.08089210 
1.01000000 	 3.25022455 	 1.08608500 
1.01500000 	 3.26450502 	 1.09095334 
1.02000000 	 3.28040826 	 1.09549712 
1.02500000 	 3.29436417 	 1.10036546 
1.03000000 	 3.30929375 	 1.10490925 
1.03500000 	 3.32454788 	 1.11010214 
1.04000000 	 3.34045113 	 1.11659326 
1.04500000 	 3.35278425 	 1.12048794 
1.05000000 	 3.36901206 	 1.12535628 
1.05500000 	 3.38329252 	 1.13054917 
1.06000000 	 3.39887121 	 1.13509296 
1.06500000 	 3.41444990 	 1.14093496 
1.07000000 	 3.42873036 	 1.14482964 
1.07500000 	 3.44398450 	 1.15067165 
1.08000000 	 3.46021230 	 1.15618910 
1.08500000 	 3.47384365 	 1.16040833 
1.09000000 	 3.48877323 	 1.16560122 
1.09500000 	 3.50370280 	 1.17111867 
1.10000000 	 3.52057972 	 1.17696068 
1.10500000 	 3.53388651 	 1.18117991 
1.11000000 	 3.55043887 	 1.18572370 
1.11500000 	 3.56504389 	 1.19156570 
1.12000000 	 3.57997347 	 1.19610949 
1.12500000 	 3.59587671 	 1.20195150 
1.13000000 	 3.60885896 	 1.20617073 
