time (s) 	 Temperature (C) 
0.000000 	 22.767711 
0.001000 	 22.767711 
0.002000 	 22.767711 
0.003000 	 22.767711 
0.004000 	 22.767711 
0.005000 	 22.767711 
0.006000 	 22.767711 
0.007000 	 22.767711 
0.008000 	 22.767711 
0.009000 	 22.767711 
0.010000 	 22.767711 
0.011000 	 22.767711 
0.012000 	 22.767711 
0.013000 	 22.767711 
0.014000 	 22.767711 
0.015000 	 22.767711 
0.016000 	 22.767711 
0.017000 	 22.767711 
0.018000 	 22.767711 
0.019000 	 22.767711 
0.020000 	 22.767711 
0.021000 	 22.767711 
0.022000 	 22.767711 
0.023000 	 22.767711 
0.024000 	 22.767711 
0.025000 	 22.767711 
0.026000 	 22.767711 
0.027000 	 22.767711 
0.028000 	 22.767711 
0.029000 	 22.767711 
0.030000 	 22.767711 
0.031000 	 22.767711 
0.032000 	 22.767711 
0.033000 	 22.767711 
0.034000 	 22.767711 
0.035000 	 22.767711 
0.036000 	 22.767711 
0.037000 	 22.767711 
0.038000 	 22.767711 
0.039000 	 22.767711 
0.040000 	 22.767711 
0.041000 	 22.767711 
0.042000 	 22.767711 
0.043000 	 22.767711 
0.044000 	 22.767711 
0.045000 	 22.767711 
0.046000 	 22.767711 
0.047000 	 22.767711 
0.048000 	 22.767711 
0.049000 	 22.767711 
0.050000 	 22.767711 
0.051000 	 22.767711 
0.052000 	 22.767711 
0.053000 	 22.767711 
0.054000 	 22.767711 
0.055000 	 22.767711 
0.056000 	 22.767711 
0.057000 	 22.767711 
0.058000 	 22.767711 
0.059000 	 22.767711 
0.060000 	 22.767711 
0.061000 	 22.767711 
0.062000 	 22.767711 
0.063000 	 22.767711 
0.064000 	 22.767711 
0.065000 	 22.767711 
0.066000 	 22.767711 
0.067000 	 22.767711 
0.068000 	 22.767711 
0.069000 	 22.767711 
0.070000 	 22.767711 
0.071000 	 22.767711 
0.072000 	 22.767711 
0.073000 	 22.767711 
0.074000 	 22.767711 
0.075000 	 22.767711 
0.076000 	 22.767711 
0.077000 	 22.767711 
0.078000 	 22.767711 
0.079000 	 22.767711 
0.080000 	 22.767711 
0.081000 	 22.767711 
0.082000 	 22.767711 
0.083000 	 22.767711 
0.084000 	 22.767711 
0.085000 	 22.767711 
0.086000 	 22.767711 
0.087000 	 22.767711 
0.088000 	 22.767711 
0.089000 	 22.767711 
0.090000 	 22.767711 
0.091000 	 22.767711 
0.092000 	 22.767711 
0.093000 	 22.767711 
0.094000 	 22.767711 
0.095000 	 22.767711 
0.096000 	 22.767711 
0.097000 	 22.767711 
0.098000 	 22.767711 
0.099000 	 22.767711 
0.100000 	 22.767711 
0.101000 	 22.767711 
0.102000 	 22.767711 
0.103000 	 22.767711 
0.104000 	 22.767711 
0.105000 	 22.767711 
0.106000 	 22.767711 
0.107000 	 22.767711 
0.108000 	 22.767711 
0.109000 	 22.767711 
0.110000 	 22.767711 
0.111000 	 22.767711 
