time (s) 	 Temperature (C) 
0.244000 	 26.676768 
0.245000 	 26.676768 
0.246000 	 26.676768 
0.247000 	 26.676768 
0.248000 	 26.676768 
0.249000 	 26.676768 
0.250000 	 26.676768 
0.251000 	 26.676768 
0.252000 	 26.676768 
0.253000 	 26.676768 
0.254000 	 26.676768 
0.255000 	 26.676768 
0.256000 	 26.676768 
0.257000 	 25.699504 
0.258000 	 26.676768 
0.259000 	 26.676768 
0.260000 	 26.676768 
0.261000 	 26.676768 
0.262000 	 26.676768 
0.263000 	 26.676768 
0.264000 	 26.676768 
0.265000 	 26.676768 
0.266000 	 26.676768 
0.267000 	 26.676768 
0.268000 	 27.654032 
0.269000 	 26.676768 
0.270000 	 26.676768 
0.271000 	 26.676768 
0.272000 	 26.676768 
0.273000 	 26.676768 
0.274000 	 26.676768 
0.275000 	 26.676768 
0.276000 	 26.676768 
0.277000 	 27.654032 
0.278000 	 26.676768 
0.279000 	 26.676768 
0.280000 	 26.676768 
0.281000 	 26.676768 
0.282000 	 26.676768 
0.283000 	 26.676768 
0.284000 	 26.676768 
0.285000 	 26.676768 
0.286000 	 26.676768 
0.287000 	 26.676768 
0.288000 	 26.676768 
0.289000 	 26.676768 
0.290000 	 26.676768 
0.291000 	 26.676768 
0.292000 	 26.676768 
0.293000 	 26.676768 
0.294000 	 26.676768 
0.295000 	 26.676768 
0.296000 	 26.676768 
0.297000 	 26.676768 
0.298000 	 26.676768 
0.299000 	 26.676768 
0.300000 	 26.676768 
0.301000 	 26.676768 
0.302000 	 26.676768 
0.303000 	 26.676768 
0.304000 	 25.699504 
0.305000 	 26.676768 
0.306000 	 26.676768 
0.307000 	 26.676768 
0.308000 	 26.676768 
0.309000 	 26.676768 
0.310000 	 26.676768 
0.311000 	 26.676768 
0.312000 	 26.676768 
0.313000 	 26.676768 
0.314000 	 26.676768 
0.315000 	 26.676768 
0.316000 	 26.676768 
0.317000 	 27.654032 
0.318000 	 26.676768 
0.319000 	 26.676768 
0.320000 	 27.654032 
0.321000 	 26.676768 
0.322000 	 26.676768 
0.323000 	 26.676768 
0.324000 	 26.676768 
0.325000 	 26.676768 
0.326000 	 26.676768 
0.327000 	 26.676768 
0.328000 	 26.676768 
0.329000 	 26.676768 
0.330000 	 26.676768 
0.331000 	 26.676768 
0.332000 	 26.676768 
0.333000 	 26.676768 
0.334000 	 26.676768 
0.335000 	 26.676768 
0.336000 	 26.676768 
0.337000 	 26.676768 
0.338000 	 26.676768 
0.339000 	 26.676768 
0.340000 	 26.676768 
0.341000 	 26.676768 
0.342000 	 26.676768 
0.343000 	 26.676768 
0.344000 	 26.676768 
0.345000 	 26.676768 
0.346000 	 26.676768 
0.347000 	 26.676768 
0.348000 	 26.676768 
0.349000 	 26.676768 
0.350000 	 26.676768 
0.351000 	 26.676768 
0.352000 	 26.676768 
0.353000 	 26.676768 
0.354000 	 26.676768 
0.355000 	 26.676768 
0.356000 	 26.676768 
0.357000 	 26.676768 
0.358000 	 26.676768 
0.359000 	 26.676768 
0.360000 	 26.676768 
0.361000 	 26.676768 
0.362000 	 26.676768 
0.363000 	 26.676768 
0.364000 	 26.676768 
0.365000 	 26.676768 
0.366000 	 26.676768 
0.367000 	 26.676768 
0.368000 	 26.676768 
0.369000 	 26.676768 
0.370000 	 26.676768 
0.371000 	 26.676768 
0.372000 	 26.676768 
0.373000 	 26.676768 
0.374000 	 26.676768 
0.375000 	 26.676768 
0.376000 	 26.676768 
0.377000 	 26.676768 
0.378000 	 26.676768 
0.379000 	 26.676768 
0.380000 	 26.676768 
0.381000 	 26.676768 
0.382000 	 26.676768 
0.383000 	 26.676768 
0.384000 	 26.676768 
0.385000 	 26.676768 
0.386000 	 26.676768 
0.387000 	 26.676768 
0.388000 	 26.676768 
0.389000 	 27.654032 
0.390000 	 26.676768 
0.391000 	 26.676768 
0.392000 	 26.676768 
0.393000 	 27.654032 
0.394000 	 26.676768 
0.395000 	 26.676768 
0.396000 	 27.654032 
0.397000 	 26.676768 
0.398000 	 26.676768 
0.399000 	 26.676768 
0.400000 	 26.676768 
0.401000 	 26.676768 
0.402000 	 26.676768 
0.403000 	 26.676768 
0.404000 	 26.676768 
0.405000 	 26.676768 
0.406000 	 27.654032 
0.407000 	 26.676768 
0.408000 	 26.676768 
0.409000 	 26.676768 
0.410000 	 26.676768 
0.411000 	 27.654032 
0.412000 	 26.676768 
0.413000 	 26.676768 
0.414000 	 26.676768 
0.415000 	 26.676768 
0.416000 	 26.676768 
0.417000 	 26.676768 
0.418000 	 26.676768 
0.419000 	 26.676768 
0.420000 	 26.676768 
0.421000 	 26.676768 
0.422000 	 26.676768 
0.423000 	 26.676768 
0.424000 	 26.676768 
0.425000 	 26.676768 
0.426000 	 26.676768 
0.427000 	 26.676768 
0.428000 	 26.676768 
0.429000 	 26.676768 
0.430000 	 26.676768 
0.431000 	 26.676768 
0.432000 	 26.676768 
0.433000 	 26.676768 
0.434000 	 26.676768 
0.435000 	 26.676768 
0.436000 	 26.676768 
0.437000 	 26.676768 
0.438000 	 27.654032 
0.439000 	 26.676768 
0.440000 	 26.676768 
0.441000 	 26.676768 
0.442000 	 26.676768 
0.443000 	 26.676768 
0.444000 	 26.676768 
0.445000 	 26.676768 
0.446000 	 26.676768 
0.447000 	 26.676768 
0.448000 	 26.676768 
0.449000 	 26.676768 
0.450000 	 26.676768 
0.451000 	 26.676768 
0.452000 	 26.676768 
0.453000 	 26.676768 
0.454000 	 26.676768 
0.455000 	 26.676768 
0.456000 	 26.676768 
0.457000 	 26.676768 
0.458000 	 26.676768 
0.459000 	 26.676768 
0.460000 	 26.676768 
0.461000 	 26.676768 
0.462000 	 26.676768 
0.463000 	 26.676768 
0.464000 	 26.676768 
0.465000 	 26.676768 
0.466000 	 26.676768 
0.467000 	 26.676768 
0.468000 	 26.676768 
0.469000 	 26.676768 
0.470000 	 26.676768 
0.471000 	 26.676768 
0.472000 	 27.654032 
0.473000 	 26.676768 
0.474000 	 26.676768 
0.475000 	 25.699504 
0.476000 	 26.676768 
0.477000 	 26.676768 
0.478000 	 26.676768 
0.479000 	 26.676768 
0.480000 	 27.654032 
0.481000 	 26.676768 
0.482000 	 26.676768 
0.483000 	 26.676768 
0.484000 	 26.676768 
0.485000 	 26.676768 
0.486000 	 26.676768 
0.487000 	 26.676768 
0.488000 	 26.676768 
0.489000 	 26.676768 
0.490000 	 26.676768 
0.491000 	 26.676768 
0.492000 	 26.676768 
0.493000 	 26.676768 
0.494000 	 26.676768 
0.495000 	 26.676768 
0.496000 	 26.676768 
0.497000 	 26.676768 
0.498000 	 26.676768 
0.499000 	 26.676768 
0.500000 	 26.676768 
0.501000 	 26.676768 
0.502000 	 26.676768 
0.503000 	 26.676768 
0.504000 	 26.676768 
0.505000 	 26.676768 
0.506000 	 26.676768 
0.507000 	 26.676768 
