time (s) 	 Output Voltage(v) 	 Input Voltage(v)
0.00000000 	 -0.07647549 	 0.03842554 
0.02500000 	 -0.08103247 	 0.05014349 
0.05000000 	 -0.08558945 	 0.06348894 
0.07500000 	 -0.09209942 	 0.07618339 
0.10000000 	 -0.09763290 	 0.08822684 
0.12500000 	 -0.10544487 	 0.10092128 
0.15000000 	 -0.11325684 	 0.11361573 
0.17500000 	 -0.12106881 	 0.12565918 
0.20000000 	 -0.12985727 	 0.13835363 
0.22500000 	 -0.13929673 	 0.15072258 
0.25000000 	 -0.14841069 	 0.16244053 
0.27500000 	 -0.15817565 	 0.17546048 
0.30000000 	 -0.16794061 	 0.18815493 
0.32500000 	 -0.17803107 	 0.20019838 
0.35000000 	 -0.18877253 	 0.21321832 
0.37500000 	 -0.19918849 	 0.22558727 
0.40000000 	 -0.20927894 	 0.23828172 
0.42500000 	 -0.22067140 	 0.24967417 
0.45000000 	 -0.23173835 	 0.26204312 
0.47500000 	 -0.24313081 	 0.27506307 
0.50000000 	 -0.25387226 	 0.28743202 
0.52500000 	 -0.26526472 	 0.30012647 
0.55000000 	 -0.27730817 	 0.31184442 
0.57500000 	 -0.28739862 	 0.32486437 
0.60000000 	 -0.30009307 	 0.33723332 
0.62500000 	 -0.31083453 	 0.34927677 
0.65000000 	 -0.32287798 	 0.36197121 
0.67500000 	 -0.33492143 	 0.37368917 
0.70000000 	 -0.34631388 	 0.38703461 
0.72500000 	 -0.35803183 	 0.39907806 
0.75000000 	 -0.37007529 	 0.41144701 
0.77500000 	 -0.38244423 	 0.42414146 
0.80000000 	 -0.39383669 	 0.43520841 
0.82500000 	 -0.40620564 	 0.44822836 
0.85000000 	 -0.41759809 	 0.45994631 
0.87500000 	 -0.43061804 	 0.47264076 
0.90000000 	 -0.44135949 	 0.48500971 
0.92500000 	 -0.45405394 	 0.49640216 
0.95000000 	 -0.46577189 	 0.50974761 
0.97500000 	 -0.47781534 	 0.52048906 
1.00000000 	 -0.48920780 	 0.53416001 
1.02500000 	 -0.50157675 	 0.54457597 
1.05000000 	 -0.51427119 	 0.55792141 
1.07500000 	 -0.52566365 	 0.56931386 
1.10000000 	 -0.53770710 	 0.58200831 
1.12500000 	 -0.54942505 	 0.59340077 
1.15000000 	 -0.56146850 	 0.60479322 
1.17500000 	 -0.57351195 	 0.61781317 
1.20000000 	 -0.58555540 	 0.62888012 
1.22500000 	 -0.59727335 	 0.64124907 
1.25000000 	 -0.60996780 	 0.65361802 
1.27500000 	 -0.62103476 	 0.66501047 
1.30000000 	 -0.63307821 	 0.67737942 
1.32500000 	 -0.64414516 	 0.68877187 
1.35000000 	 -0.65683961 	 0.70081533 
1.37500000 	 -0.66855756 	 0.71220778 
1.40000000 	 -0.68060101 	 0.72327473 
1.42500000 	 -0.69199347 	 0.73564368 
