time (s) 	 Output Voltage(v) 	 Input Voltage(v)
0.00000000 	 0.20992994 	 0.78251549 
0.00012500 	 0.21025544 	 0.78284099 
0.00025000 	 0.21058094 	 0.78414298 
0.00037500 	 0.21123194 	 0.78544498 
0.00050000 	 0.21188293 	 0.78674697 
0.00062500 	 0.21188293 	 0.78772347 
0.00075000 	 0.21318493 	 0.78935096 
0.00087500 	 0.21253393 	 0.79065296 
0.00100000 	 0.21253393 	 0.79065296 
0.00112500 	 0.21383593 	 0.79293145 
0.00125000 	 0.21416142 	 0.79358245 
0.00137500 	 0.21481242 	 0.79488444 
0.00150000 	 0.21513792 	 0.79618643 
0.00162500 	 0.21481242 	 0.79683743 
0.00175000 	 0.21481242 	 0.79748843 
0.00187500 	 0.21546342 	 0.79944142 
0.00200000 	 0.21578892 	 0.80041792 
0.00212500 	 0.21546342 	 0.80171991 
0.00225000 	 0.21643992 	 0.80302191 
0.00237500 	 0.21676541 	 0.80432390 
0.00250000 	 0.21741641 	 0.80497490 
0.00262500 	 0.21774191 	 0.80725339 
0.00275000 	 0.21806741 	 0.80757889 
0.00287500 	 0.21806741 	 0.80888088 
0.00300000 	 0.21806741 	 0.81050838 
0.00312500 	 0.21871841 	 0.81115937 
0.00325000 	 0.21936940 	 0.81115937 
0.00337500 	 0.21936940 	 0.81343786 
0.00350000 	 0.22002040 	 0.81506536 
0.00362500 	 0.22067140 	 0.81571635 
0.00375000 	 0.22099690 	 0.81636735 
0.00387500 	 0.22132240 	 0.81832034 
0.00400000 	 0.22164789 	 0.81897134 
0.00412500 	 0.22197339 	 0.81994784 
0.00425000 	 0.22197339 	 0.82092433 
0.00437500 	 0.22229889 	 0.82222633 
0.00450000 	 0.22229889 	 0.82352832 
0.00462500 	 0.22360089 	 0.82483032 
0.00475000 	 0.22392638 	 0.82548131 
0.00487500 	 0.22392638 	 0.82678331 
0.00500000 	 0.22457738 	 0.82841080 
0.00512500 	 0.22457738 	 0.83003830 
0.00525000 	 0.22457738 	 0.83036379 
0.00537500 	 0.22490288 	 0.83101479 
0.00550000 	 0.22620488 	 0.83199129 
0.00562500 	 0.22587938 	 0.83394428 
0.00575000 	 0.22653037 	 0.83524627 
0.00587500 	 0.22685587 	 0.83524627 
0.00600000 	 0.22783237 	 0.83719927 
0.00612500 	 0.22815787 	 0.83850126 
0.00625000 	 0.22750687 	 0.83980326 
0.00637500 	 0.22848337 	 0.84143075 
0.00650000 	 0.22848337 	 0.84175625 
0.00662500 	 0.22978536 	 0.84370924 
0.00675000 	 0.22945986 	 0.84370924 
0.00687500 	 0.22978536 	 0.84468574 
0.00700000 	 0.23011086 	 0.84663873 
0.00712500 	 0.23043636 	 0.84761522 
0.00725000 	 0.23141285 	 0.84826622 
0.00737500 	 0.23108736 	 0.84924272 
0.00750000 	 0.23173835 	 0.85054471 
0.00762500 	 0.23238935 	 0.85217220 
0.00775000 	 0.23238935 	 0.85347420 
0.00787500 	 0.23271485 	 0.85412520 
0.00800000 	 0.23369134 	 0.85510169 
0.00812500 	 0.23336585 	 0.85672919 
0.00825000 	 0.23304035 	 0.85835668 
0.00837500 	 0.23401684 	 0.85965867 
0.00850000 	 0.23499334 	 0.85998417 
0.00862500 	 0.23499334 	 0.86161167 
0.00875000 	 0.23531884 	 0.86226266 
0.00887500 	 0.23596984 	 0.86356466 
0.00900000 	 0.23596984 	 0.86389016 
0.00912500 	 0.23629533 	 0.86551765 
0.00925000 	 0.23727183 	 0.86681964 
0.00937500 	 0.23694633 	 0.86779614 
0.00950000 	 0.23792283 	 0.86877264 
0.00962500 	 0.23759733 	 0.87072563 
0.00975000 	 0.23857382 	 0.87105113 
0.00987500 	 0.23922482 	 0.87235312 
0.01000000 	 0.23955032 	 0.87365512 
0.01012500 	 0.23987582 	 0.87495711 
0.01025000 	 0.23955032 	 0.87625911 
0.01037500 	 0.24020132 	 0.87723560 
0.01050000 	 0.24085232 	 0.87821210 
0.01062500 	 0.24085232 	 0.87886310 
0.01075000 	 0.24150331 	 0.87983959 
0.01087500 	 0.24215431 	 0.88179258 
0.01100000 	 0.24215431 	 0.88276908 
0.01112500 	 0.24247981 	 0.88407107 
0.01125000 	 0.24280531 	 0.88472207 
0.01137500 	 0.24313081 	 0.88602407 
0.01150000 	 0.24345630 	 0.88765156 
0.01162500 	 0.24443280 	 0.88732606 
0.01175000 	 0.24475830 	 0.88927905 
0.01187500 	 0.24443280 	 0.89058105 
0.01200000 	 0.24475830 	 0.89188304 
0.01212500 	 0.24508380 	 0.89285954 
0.01225000 	 0.24606029 	 0.89318504 
0.01237500 	 0.24671129 	 0.89481253 
0.01250000 	 0.24671129 	 0.89611452 
0.01262500 	 0.24671129 	 0.89741652 
0.01275000 	 0.24801329 	 0.89839302 
0.01287500 	 0.24801329 	 0.89936951 
0.01300000 	 0.24833878 	 0.90034601 
0.01312500 	 0.24898978 	 0.90197350 
0.01325000 	 0.24931528 	 0.90327550 
0.01337500 	 0.24898978 	 0.90457749 
0.01350000 	 0.24964078 	 0.90555399 
0.01362500 	 0.25061728 	 0.90587948 
0.01375000 	 0.25029178 	 0.90718148 
0.01387500 	 0.25126827 	 0.90848347 
0.01400000 	 0.25126827 	 0.91011097 
0.01412500 	 0.25191927 	 0.91011097 
0.01425000 	 0.25257027 	 0.91238946 
0.01437500 	 0.25191927 	 0.91271496 
0.01450000 	 0.25289577 	 0.91369145 
0.01462500 	 0.25322126 	 0.91466795 
0.01475000 	 0.25387226 	 0.91596994 
0.01487500 	 0.25354676 	 0.91727194 
0.01500000 	 0.25517426 	 0.91824843 
0.01512500 	 0.25452326 	 0.92052692 
0.01525000 	 0.25517426 	 0.92085242 
0.01537500 	 0.25517426 	 0.92215442 
0.01550000 	 0.25615075 	 0.92345641 
0.01562500 	 0.25647625 	 0.92475841 
0.01575000 	 0.25777825 	 0.92475841 
0.01587500 	 0.25712725 	 0.92606040 
0.01600000 	 0.25745275 	 0.92671140 
0.01612500 	 0.25810374 	 0.92931539 
0.01625000 	 0.25810374 	 0.92964089 
0.01637500 	 0.25908024 	 0.93126838 
0.01650000 	 0.25940574 	 0.93191938 
0.01662500 	 0.25940574 	 0.93387237 
0.01675000 	 0.26038224 	 0.93322137 
0.01687500 	 0.25973124 	 0.93517436 
0.01700000 	 0.26038224 	 0.93615086 
0.01712500 	 0.26168423 	 0.93745286 
0.01725000 	 0.26168423 	 0.93875485 
0.01737500 	 0.26135873 	 0.93940585 
0.01750000 	 0.26266073 	 0.94103334 
0.01762500 	 0.26298622 	 0.94135884 
0.01775000 	 0.26331172 	 0.94363733 
0.01787500 	 0.26331172 	 0.94428833 
0.01800000 	 0.26396272 	 0.94461383 
0.01812500 	 0.26428822 	 0.94689232 
0.01825000 	 0.26493922 	 0.94851981 
0.01837500 	 0.26493922 	 0.94949631 
0.01850000 	 0.26591571 	 0.94982180 
0.01862500 	 0.26624121 	 0.95014730 
0.01875000 	 0.26656671 	 0.95177480 
0.01887500 	 0.26689221 	 0.95307679 
0.01900000 	 0.26721771 	 0.95372779 
0.01912500 	 0.26754321 	 0.95470428 
0.01925000 	 0.26754321 	 0.95600628 
0.01937500 	 0.26851970 	 0.95698278 
0.01950000 	 0.26851970 	 0.95861027 
0.01962500 	 0.26982170 	 0.95893577 
0.01975000 	 0.26982170 	 0.96121426 
0.01987500 	 0.26982170 	 0.96186526 
0.02000000 	 0.27047269 	 0.96219075 
0.02012500 	 0.27112369 	 0.96349275 
0.02025000 	 0.27112369 	 0.96414375 
0.02037500 	 0.27210019 	 0.96544574 
0.02050000 	 0.27177469 	 0.96739873 
0.02062500 	 0.27307668 	 0.96804973 
0.02075000 	 0.27307668 	 0.96870073 
0.02087500 	 0.27340218 	 0.97000272 
0.02100000 	 0.27307668 	 0.97065372 
0.02112500 	 0.27437868 	 0.97228121 
0.02125000 	 0.27437868 	 0.97423420 
0.02137500 	 0.27502968 	 0.97455970 
0.02150000 	 0.27535517 	 0.97521070 
0.02162500 	 0.27568067 	 0.97683819 
0.02175000 	 0.27633167 	 0.97879119 
0.02187500 	 0.27698267 	 0.97944218 
0.02200000 	 0.27730817 	 0.98041868 
0.02212500 	 0.27763366 	 0.98139518 
0.02225000 	 0.27763366 	 0.98106968 
0.02237500 	 0.27795916 	 0.98399916 
0.02250000 	 0.27861016 	 0.98432466 
0.02262500 	 0.27991216 	 0.98595216 
0.02275000 	 0.27926116 	 0.98725415 
