time (s) 	 Output Voltage(v) 	 Input Voltage(v)
0.00000000 	 0.36714580 	 1.68902928 
0.00005000 	 0.36714580 	 1.68935477 
0.00010000 	 0.36714580 	 1.69065677 
0.00015000 	 0.36714580 	 1.69033127 
0.00020000 	 0.36812229 	 1.69195876 
0.00025000 	 0.36812229 	 1.69195876 
0.00030000 	 0.36844779 	 1.69293526 
0.00035000 	 0.36877329 	 1.69260976 
0.00040000 	 0.36909879 	 1.69423725 
0.00045000 	 0.37040078 	 1.69488825 
0.00050000 	 0.37040078 	 1.69456275 
0.00055000 	 0.37007529 	 1.69553925 
0.00060000 	 0.37040078 	 1.69619025 
0.00065000 	 0.37040078 	 1.69716674 
0.00070000 	 0.37040078 	 1.69749224 
0.00075000 	 0.37170278 	 1.69781774 
0.00080000 	 0.37105178 	 1.69846874 
0.00085000 	 0.37267927 	 1.69944523 
0.00090000 	 0.37267927 	 1.70074723 
0.00095000 	 0.37170278 	 1.70107273 
0.00100000 	 0.37235378 	 1.70237472 
0.00105000 	 0.37300477 	 1.70172372 
0.00110000 	 0.37267927 	 1.70335122 
0.00115000 	 0.37300477 	 1.70335122 
0.00120000 	 0.37365577 	 1.70497871 
0.00125000 	 0.37430677 	 1.70497871 
0.00130000 	 0.37463227 	 1.70497871 
0.00135000 	 0.37463227 	 1.70660620 
0.00140000 	 0.37528326 	 1.70693170 
0.00145000 	 0.37463227 	 1.70758270 
0.00150000 	 0.37495777 	 1.70725720 
0.00155000 	 0.37528326 	 1.71018669 
0.00160000 	 0.37625976 	 1.70986119 
0.00165000 	 0.37625976 	 1.71018669 
0.00170000 	 0.37658526 	 1.71051219 
0.00175000 	 0.37691076 	 1.71181418 
0.00180000 	 0.37756175 	 1.71246518 
0.00185000 	 0.37821275 	 1.71376717 
0.00190000 	 0.37723626 	 1.71344167 
0.00195000 	 0.37853825 	 1.71474367 
0.00200000 	 0.37853825 	 1.71539467 
0.00205000 	 0.37886375 	 1.71539467 
0.00210000 	 0.37886375 	 1.71702216 
0.00215000 	 0.37951475 	 1.71669666 
0.00220000 	 0.38016574 	 1.71799866 
0.00225000 	 0.37984025 	 1.71799866 
0.00230000 	 0.38049124 	 1.71767316 
0.00235000 	 0.38016574 	 1.71897515 
0.00240000 	 0.38016574 	 1.71995165 
0.00245000 	 0.38081674 	 1.72060265 
0.00250000 	 0.38081674 	 1.72060265 
0.00255000 	 0.38179324 	 1.72125364 
0.00260000 	 0.38146774 	 1.72223014 
0.00265000 	 0.38211874 	 1.72255564 
0.00270000 	 0.38244423 	 1.72320663 
0.00275000 	 0.38179324 	 1.72385763 
0.00280000 	 0.38374623 	 1.72548513 
0.00285000 	 0.38374623 	 1.72548513 
0.00290000 	 0.38342073 	 1.72581062 
0.00295000 	 0.38472273 	 1.72646162 
0.00300000 	 0.38407173 	 1.72776362 
0.00305000 	 0.38472273 	 1.72841461 
0.00310000 	 0.38504822 	 1.72939111 
0.00315000 	 0.38569922 	 1.72906561 
0.00320000 	 0.38569922 	 1.73069310 
0.00325000 	 0.38537372 	 1.73036761 
0.00330000 	 0.38635022 	 1.73069310 
0.00335000 	 0.38602472 	 1.73199510 
0.00340000 	 0.38667572 	 1.73232060 
0.00345000 	 0.38667572 	 1.73394809 
0.00350000 	 0.38732671 	 1.73329709 
0.00355000 	 0.38765221 	 1.73394809 
0.00360000 	 0.38830321 	 1.73557558 
0.00365000 	 0.38797771 	 1.73557558 
0.00370000 	 0.38830321 	 1.73622658 
0.00375000 	 0.38895421 	 1.73720308 
0.00380000 	 0.38927971 	 1.73752858 
0.00385000 	 0.38960521 	 1.73883057 
0.00390000 	 0.38895421 	 1.73915607 
0.00395000 	 0.39025620 	 1.73948157 
0.00400000 	 0.38993070 	 1.74078356 
0.00405000 	 0.39155820 	 1.74045806 
0.00410000 	 0.39090720 	 1.74176006 
0.00415000 	 0.39123270 	 1.74241106 
0.00420000 	 0.39155820 	 1.74241106 
0.00425000 	 0.39123270 	 1.74403855 
0.00430000 	 0.39286019 	 1.74338755 
0.00435000 	 0.39188370 	 1.74403855 
0.00440000 	 0.39286019 	 1.74566604 
0.00445000 	 0.39253469 	 1.74599154 
0.00450000 	 0.39318569 	 1.74599154 
0.00455000 	 0.39351119 	 1.74599154 
0.00460000 	 0.39383669 	 1.74696804 
0.00465000 	 0.39448769 	 1.74924653 
0.00470000 	 0.39481318 	 1.74827003 
0.00475000 	 0.39513868 	 1.74924653 
0.00480000 	 0.39448769 	 1.74957203 
0.00485000 	 0.39513868 	 1.75022302 
0.00490000 	 0.39578968 	 1.75152502 
0.00495000 	 0.39578968 	 1.75152502 
0.00500000 	 0.39611518 	 1.75185052 
0.00505000 	 0.39676618 	 1.75315251 
0.00510000 	 0.39709167 	 1.75380351 
0.00515000 	 0.39709167 	 1.75478001 
0.00520000 	 0.39774267 	 1.75380351 
0.00525000 	 0.39806817 	 1.75575650 
0.00530000 	 0.39741717 	 1.75640750 
0.00535000 	 0.39774267 	 1.75575650 
0.00540000 	 0.39871917 	 1.75705850 
0.00545000 	 0.39871917 	 1.75640750 
0.00550000 	 0.39839367 	 1.75770949 
0.00555000 	 0.39969566 	 1.75933699 
0.00560000 	 0.39969566 	 1.75901149 
0.00565000 	 0.40034666 	 1.75998798 
0.00570000 	 0.40067216 	 1.76031348 
0.00575000 	 0.39969566 	 1.76128998 
0.00580000 	 0.40132316 	 1.76128998 
0.00585000 	 0.40164866 	 1.76226647 
0.00590000 	 0.40229965 	 1.76324297 
0.00595000 	 0.40164866 	 1.76389397 
0.00600000 	 0.40262515 	 1.76454497 
0.00605000 	 0.40229965 	 1.76487046 
0.00610000 	 0.40295065 	 1.76584696 
0.00615000 	 0.40327615 	 1.76617246 
0.00620000 	 0.40360165 	 1.76649796 
0.00625000 	 0.40295065 	 1.76714895 
0.00630000 	 0.40392715 	 1.76779995 
0.00635000 	 0.40425265 	 1.76845095 
0.00640000 	 0.40425265 	 1.76877645 
0.00645000 	 0.40457814 	 1.77007844 
0.00650000 	 0.40490364 	 1.77007844 
0.00655000 	 0.40490364 	 1.77138044 
0.00660000 	 0.40555464 	 1.77072944 
0.00665000 	 0.40653114 	 1.77268243 
0.00670000 	 0.40555464 	 1.77235693 
0.00675000 	 0.40588014 	 1.77333343 
0.00680000 	 0.40750763 	 1.77333343 
0.00685000 	 0.40750763 	 1.77398443 
0.00690000 	 0.40718213 	 1.77528642 
0.00695000 	 0.40750763 	 1.77528642 
0.00700000 	 0.40783313 	 1.77528642 
0.00705000 	 0.40815863 	 1.77658842 
0.00710000 	 0.40848413 	 1.77723941 
0.00715000 	 0.40880963 	 1.77789041 
0.00720000 	 0.40946062 	 1.77854141 
0.00725000 	 0.41011162 	 1.77886691 
0.00730000 	 0.40978612 	 1.77951790 
0.00735000 	 0.41011162 	 1.78049440 
0.00740000 	 0.41043712 	 1.78016890 
0.00745000 	 0.41108812 	 1.78147090 
0.00750000 	 0.41076262 	 1.78147090 
0.00755000 	 0.41141362 	 1.78244739 
0.00760000 	 0.41206461 	 1.78244739 
0.00765000 	 0.41206461 	 1.78342389 
0.00770000 	 0.41206461 	 1.78309839 
0.00775000 	 0.41271561 	 1.78440038 
0.00780000 	 0.41336661 	 1.78505138 
0.00785000 	 0.41336661 	 1.78635338 
0.00790000 	 0.41304111 	 1.78635338 
0.00795000 	 0.41401761 	 1.78765537 
0.00800000 	 0.41434310 	 1.78667887 
0.00805000 	 0.41466860 	 1.78765537 
0.00810000 	 0.41466860 	 1.78798087 
0.00815000 	 0.41499410 	 1.78895737 
0.00820000 	 0.41564510 	 1.78928286 
0.00825000 	 0.41531960 	 1.79123586 
0.00830000 	 0.41597060 	 1.79123586 
0.00835000 	 0.41662159 	 1.79123586 
0.00840000 	 0.41662159 	 1.79156135 
0.00845000 	 0.41662159 	 1.79286335 
0.00850000 	 0.41662159 	 1.79383985 
0.00855000 	 0.41662159 	 1.79351435 
0.00860000 	 0.41824909 	 1.79449084 
0.00865000 	 0.41792359 	 1.79449084 
0.00870000 	 0.41824909 	 1.79449084 
0.00875000 	 0.41890009 	 1.79546734 
0.00880000 	 0.41890009 	 1.79579284 
0.00885000 	 0.41922558 	 1.79611834 
0.00890000 	 0.41922558 	 1.79742033 
0.00895000 	 0.41987658 	 1.79774583 
0.00900000 	 0.41987658 	 1.79807133 
0.00905000 	 0.42020208 	 1.79937332 
0.00910000 	 0.41987658 	 1.79937332 
0.00915000 	 0.42182957 	 1.79937332 
0.00920000 	 0.42150407 	 1.80100082 
0.00925000 	 0.42150407 	 1.80100082 
0.00930000 	 0.42215507 	 1.80132631 
0.00935000 	 0.42248057 	 1.80262831 
0.00940000 	 0.42215507 	 1.80230281 
0.00945000 	 0.42313157 	 1.80360481 
0.00950000 	 0.42345707 	 1.80490680 
0.00955000 	 0.42410806 	 1.80425580 
0.00960000 	 0.42313157 	 1.80555780 
0.00965000 	 0.42378257 	 1.80653429 
0.00970000 	 0.42443356 	 1.80620879 
0.00975000 	 0.42475906 	 1.80588330 
0.00980000 	 0.42443356 	 1.80751079 
0.00985000 	 0.42508456 	 1.80816179 
0.00990000 	 0.42606106 	 1.80751079 
0.00995000 	 0.42638655 	 1.80881278 
0.01000000 	 0.42638655 	 1.80848729 
0.01005000 	 0.42703755 	 1.81011478 
0.01010000 	 0.42703755 	 1.81076578 
0.01015000 	 0.42736305 	 1.81076578 
0.01020000 	 0.42736305 	 1.81109127 
0.01025000 	 0.42768855 	 1.81239327 
0.01030000 	 0.42768855 	 1.81239327 
0.01035000 	 0.42866505 	 1.81304427 
0.01040000 	 0.42899054 	 1.81434626 
0.01045000 	 0.42866505 	 1.81402076 
0.01050000 	 0.42899054 	 1.81499726 
0.01055000 	 0.42964154 	 1.81532276 
0.01060000 	 0.42996704 	 1.81564826 
0.01065000 	 0.42964154 	 1.81629925 
0.01070000 	 0.43094354 	 1.81629925 
0.01075000 	 0.43061804 	 1.81760125 
0.01080000 	 0.43126903 	 1.81857774 
0.01085000 	 0.43126903 	 1.81890324 
0.01090000 	 0.43159453 	 1.81857774 
0.01095000 	 0.43159453 	 1.81890324 
0.01100000 	 0.43289653 	 1.81955424 
0.01105000 	 0.43322203 	 1.82053074 
0.01110000 	 0.43257103 	 1.82085623 
