time (s) 	 Output Voltage(v) 	 Input Voltage(v)
0.00000000 	 -1.00056620 	 0.64157457 
0.00333333 	 -0.99666022 	 0.66533597 
0.00666666 	 -0.99340523 	 0.68877187 
0.00999999 	 -0.99112674 	 0.71058029 
0.01333332 	 -0.98884825 	 0.73596918 
0.01666665 	 -0.98591876 	 0.75940509 
0.01999998 	 -0.98429127 	 0.78218999 
0.02333331 	 -0.98429127 	 0.80530040 
0.02666664 	 -0.98168728 	 0.82906180 
0.02999997 	 -0.98136178 	 0.85054471 
0.03333330 	 -0.98005979 	 0.87365512 
0.03666663 	 -0.98005979 	 0.89546353 
0.03999996 	 -0.98005979 	 0.91824843 
0.04333329 	 -0.98038528 	 0.94038234 
0.04666662 	 -0.98201278 	 0.96284175 
0.04999995 	 -0.98266377 	 0.98465016 
0.05333328 	 -0.98396577 	 1.00645857 
0.05666661 	 -0.98559326 	 1.02794148 
0.05999994 	 -0.98689526 	 1.04974990 
0.06333327 	 -0.98949925 	 1.06993081 
0.06666660 	 -0.99242873 	 1.09173922 
0.06999993 	 -0.99438173 	 1.11224564 
0.07333326 	 -0.99731121 	 1.13405405 
0.07666659 	 -1.00089170 	 1.15390947 
0.07999992 	 -1.00382119 	 1.17506688 
0.08333325 	 -1.00707617 	 1.19427130 
0.08666658 	 -1.01130766 	 1.21477772 
0.08999991 	 -1.01521364 	 1.23463314 
0.09333324 	 -1.01879413 	 1.25383756 
0.09666657 	 -1.02400211 	 1.27336748 
0.09999990 	 -1.02823359 	 1.29322290 
0.10333323 	 -1.03376707 	 1.31210182 
0.10666656 	 -1.03767305 	 1.33228274 
0.10999989 	 -1.04288103 	 1.35051066 
0.11333322 	 -1.04808901 	 1.36776209 
0.11666655 	 -1.05492448 	 1.38599002 
0.11999988 	 -1.05948146 	 1.40486894 
0.12333321 	 -1.06534044 	 1.42146937 
0.12666654 	 -1.07185041 	 1.43969730 
0.12999987 	 -1.07770939 	 1.45597223 
0.13333320 	 -1.08487036 	 1.47387466 
0.13666653 	 -1.09105483 	 1.49080059 
0.13999986 	 -1.09756480 	 1.50740102 
0.14333319 	 -1.10440028 	 1.52465245 
0.14666652 	 -1.11025925 	 1.54027638 
0.14999985 	 -1.11872222 	 1.55655132 
0.15333318 	 -1.12588319 	 1.57152426 
0.15666651 	 -1.13206766 	 1.58682269 
0.15999984 	 -1.14085613 	 1.60147013 
0.16333317 	 -1.14769160 	 1.61644307 
0.16666650 	 -1.15485257 	 1.63206701 
0.16999983 	 -1.16233904 	 1.64606345 
0.17333316 	 -1.17047651 	 1.66005989 
0.17666649 	 -1.17796297 	 1.67405634 
0.17999982 	 -1.18610044 	 1.68772728 
0.18333315 	 -1.19456341 	 1.70074723 
0.18666648 	 -1.20237537 	 1.71409267 
0.18999981 	 -1.21051284 	 1.72581062 
0.19333314 	 -1.21799931 	 1.73850507 
0.19666647 	 -1.22711327 	 1.75087402 
0.19999980 	 -1.23492524 	 1.76324297 
0.20333313 	 -1.24338821 	 1.77463542 
0.20666646 	 -1.25120017 	 1.78635338 
0.20999979 	 -1.26031414 	 1.79742033 
0.21333312 	 -1.26910260 	 1.80881278 
0.21666645 	 -1.27724007 	 1.81922874 
