time (s) 	 Output Voltage(v) 	 Input Voltage(v)
0.00000000 	 0.09926040 	 0.05990845 
0.00166667 	 0.09926040 	 0.06055945 
0.00333334 	 0.09893490 	 0.06218694 
0.00500001 	 0.09991139 	 0.06218694 
0.00666668 	 0.09926040 	 0.06381444 
0.00833335 	 0.10056239 	 0.06609293 
0.01000002 	 0.10056239 	 0.06674392 
0.01166669 	 0.10153889 	 0.06804592 
0.01333336 	 0.10251538 	 0.06934791 
0.01500003 	 0.10153889 	 0.07032441 
0.01666670 	 0.10251538 	 0.07227740 
0.01833337 	 0.10284088 	 0.07357940 
0.02000004 	 0.10349188 	 0.07390489 
0.02166671 	 0.10414288 	 0.07553239 
0.02333338 	 0.10414288 	 0.07683438 
0.02500005 	 0.10511937 	 0.07846188 
0.02666672 	 0.10511937 	 0.07943837 
0.02833339 	 0.10479387 	 0.08008937 
0.03000006 	 0.10642137 	 0.08204236 
0.03166673 	 0.10674686 	 0.08334436 
0.03333340 	 0.10707236 	 0.08399535 
0.03500007 	 0.10772336 	 0.08627384 
0.03666674 	 0.10837436 	 0.08627384 
0.03833341 	 0.10869986 	 0.08725034 
0.04000008 	 0.10902536 	 0.08920333 
0.04166675 	 0.10967635 	 0.08920333 
0.04333342 	 0.11000185 	 0.09115632 
0.04500009 	 0.11065285 	 0.09343481 
0.04666676 	 0.11065285 	 0.09408581 
0.04833343 	 0.11097835 	 0.09571331 
0.05000010 	 0.11228034 	 0.09668980 
0.05166677 	 0.11228034 	 0.09701530 
0.05333344 	 0.11325684 	 0.09994479 
0.05500011 	 0.11358234 	 0.09961929 
0.05666678 	 0.11423333 	 0.10189778 
0.05833345 	 0.11423333 	 0.10319977 
0.06000012 	 0.11520983 	 0.10450177 
0.06166679 	 0.11553533 	 0.10645476 
0.06333346 	 0.11651182 	 0.10743126 
0.06500013 	 0.11748832 	 0.10710576 
0.06666680 	 0.11748832 	 0.10905875 
0.06833347 	 0.11781382 	 0.11101174 
0.07000014 	 0.11911581 	 0.11166274 
0.07166681 	 0.12009231 	 0.11263924 
0.07333348 	 0.12041781 	 0.11491773 
0.07500015 	 0.12139430 	 0.11589422 
0.07666682 	 0.12139430 	 0.11654522 
0.07833349 	 0.12171980 	 0.11849821 
0.08000016 	 0.12269630 	 0.11947471 
0.08166683 	 0.12269630 	 0.12110220 
0.08333350 	 0.12367280 	 0.12175320 
0.08500017 	 0.12367280 	 0.12338069 
0.08666684 	 0.12497479 	 0.12468269 
0.08833351 	 0.12497479 	 0.12565918 
0.09000018 	 0.12627678 	 0.12631018 
0.09166685 	 0.12725328 	 0.12826317 
0.09333352 	 0.12790428 	 0.12956517 
0.09500019 	 0.12790428 	 0.13151816 
0.09666686 	 0.12888077 	 0.13086716 
0.09833353 	 0.12985727 	 0.13347115 
0.10000020 	 0.12985727 	 0.13379665 
0.10166687 	 0.13050827 	 0.13477315 
0.10333354 	 0.13115926 	 0.13705164 
0.10500021 	 0.13148476 	 0.13835363 
0.10666688 	 0.13278676 	 0.13933013 
0.10833355 	 0.13376325 	 0.13998112 
0.11000022 	 0.13408875 	 0.14128312 
0.11166689 	 0.13473975 	 0.14258511 
0.11333356 	 0.13539075 	 0.14486360 
0.11500023 	 0.13636724 	 0.14518910 
0.11666690 	 0.13734374 	 0.14714209 
0.11833357 	 0.13799474 	 0.14811859 
0.12000024 	 0.13864573 	 0.14942059 
0.12166691 	 0.13897123 	 0.15104808 
0.12333358 	 0.13994773 	 0.15235007 
0.12500025 	 0.14059873 	 0.15332657 
0.12666692 	 0.14124972 	 0.15430307 
0.12833359 	 0.14124972 	 0.15625606 
0.13000026 	 0.14255172 	 0.15658156 
0.13166693 	 0.14287722 	 0.15853455 
0.13333360 	 0.14417921 	 0.15983654 
0.13500027 	 0.14483021 	 0.16081304 
0.13666694 	 0.14515571 	 0.16211503 
0.13833361 	 0.14645770 	 0.16374253 
0.14000028 	 0.14678320 	 0.16471902 
0.14166695 	 0.14710870 	 0.16537002 
0.14333362 	 0.14841069 	 0.16667201 
0.14500029 	 0.14971269 	 0.16764851 
0.14666696 	 0.14971269 	 0.16895051 
0.14833363 	 0.15003819 	 0.17090350 
0.15000030 	 0.15068918 	 0.17122900 
0.15166697 	 0.15264218 	 0.17350749 
0.15333364 	 0.15296768 	 0.17383299 
0.15500031 	 0.15426967 	 0.17611148 
0.15666698 	 0.15459517 	 0.17741347 
0.15833365 	 0.15524617 	 0.17806447 
0.16000032 	 0.15622266 	 0.17969196 
0.16166699 	 0.15687366 	 0.18034296 
0.16333366 	 0.15785016 	 0.18197045 
0.16500033 	 0.15850115 	 0.18359795 
0.16666700 	 0.15947765 	 0.18457444 
0.16833367 	 0.16045414 	 0.18522544 
0.17000034 	 0.16077964 	 0.18717843 
0.17166701 	 0.16175614 	 0.18880592 
