time (s) 	 Output Voltage(v) 	 Input Voltage(v)
0.00000000 	 -1.91554295 	 2.49952095 
0.20000000 	 -2.28270545 	 2.52360785 
0.40000000 	 -2.46042772 	 2.54964775 
0.60000000 	 -2.55612433 	 2.57340915 
0.80000000 	 -2.61373759 	 2.59847255 
1.00000000 	 -2.65344843 	 2.62418694 
1.20000000 	 -2.68567279 	 2.64990134 
1.40000000 	 -2.71399118 	 2.67431374 
1.60000000 	 -2.74100757 	 2.69840064 
1.80000000 	 -2.76639646 	 2.72411503 
2.00000000 	 -2.79276186 	 2.74917843 
2.20000000 	 -2.81782525 	 2.77489282 
2.40000000 	 -2.84158666 	 2.79963072 
2.60000000 	 -2.86697555 	 2.82371762 
2.80000000 	 -2.89138795 	 2.84878102 
3.00000000 	 -2.91677685 	 2.87384442 
3.20000000 	 -2.94151475 	 2.89793132 
3.40000000 	 -2.96592715 	 2.92266922 
3.60000000 	 -2.99099054 	 2.94675612 
3.80000000 	 -3.01475195 	 2.97181952 
4.00000000 	 -3.03981534 	 2.99623192 
4.20000000 	 -3.06325125 	 3.01999332 
4.40000000 	 -3.08831464 	 3.04440572 
4.60000000 	 -3.11175055 	 3.06816712 
4.80000000 	 -3.13648845 	 3.09257952 
5.00000000 	 -3.16024985 	 3.11634093 
5.20000000 	 -3.18433675 	 3.14107882 
5.40000000 	 -3.20809815 	 3.16451473 
5.60000000 	 -3.23251055 	 3.18860163 
5.80000000 	 -3.25594646 	 3.21138654 
6.00000000 	 -3.27970786 	 3.23547344 
6.20000000 	 -3.30379476 	 3.25825834 
6.40000000 	 -3.32527767 	 3.28104325 
6.60000000 	 -3.34936457 	 3.30480465 
6.80000000 	 -3.37312598 	 3.32791506 
7.00000000 	 -3.39623638 	 3.35037447 
7.20000000 	 -3.41804479 	 3.37283387 
7.40000000 	 -3.44180620 	 3.39529328 
7.60000000 	 -3.46328911 	 3.41807819 
7.80000000 	 -3.48607401 	 3.43956110 
8.00000000 	 -3.50820792 	 3.46202051 
8.20000000 	 -3.53034183 	 3.48415442 
8.40000000 	 -3.55215024 	 3.50563733 
8.60000000 	 -3.57363316 	 3.52777124 
8.80000000 	 -3.59576706 	 3.54957965 
9.00000000 	 -3.61724998 	 3.57008607 
9.20000000 	 -3.63840739 	 3.59156898 
9.40000000 	 -3.66086680 	 3.61305189 
9.60000000 	 -3.68039672 	 3.63323281 
9.80000000 	 -3.70220513 	 3.65373922 
10.00000000 	 -3.72238605 	 3.67489664 
10.20000000 	 -3.74354346 	 3.69442656 
10.40000000 	 -3.76242238 	 3.71428197 
10.60000000 	 -3.78325430 	 3.73446289 
10.80000000 	 -3.80310971 	 3.75431831 
11.00000000 	 -3.82296513 	 3.77287173 
11.20000000 	 -3.84184406 	 3.79337815 
11.40000000 	 -3.86137398 	 3.81193157 
11.60000000 	 -3.88090390 	 3.83015950 
11.80000000 	 -3.90043382 	 3.84903842 
12.00000000 	 -3.91833624 	 3.86726635 
12.20000000 	 -3.93721517 	 3.88581977 
12.40000000 	 -3.95544309 	 3.90404770 
12.60000000 	 -3.97367102 	 3.92097363 
12.80000000 	 -3.99092245 	 3.93920155 
13.00000000 	 -4.00947587 	 3.95645298 
13.20000000 	 -4.02575080 	 3.97370441 
13.40000000 	 -4.04397873 	 3.99030484 
13.60000000 	 -4.06057916 	 4.00755627 
13.80000000 	 -4.07750509 	 4.02415670 
14.00000000 	 -4.09378002 	 4.03978064 
14.20000000 	 -4.10940396 	 4.05605557 
14.40000000 	 -4.12632989 	 4.07167951 
14.60000000 	 -4.14195383 	 4.08697795 
14.80000000 	 -4.15725226 	 4.10195089 
15.00000000 	 -4.17189970 	 4.11692382 
15.20000000 	 -4.18784914 	 4.13026927 
15.40000000 	 -4.20314758 	 4.14589321 
15.60000000 	 -4.21616752 	 4.15988965 
15.80000000 	 -4.23114046 	 4.17356059 
16.00000000 	 -4.24448591 	 4.18788253 
16.20000000 	 -4.25848235 	 4.20057698 
16.40000000 	 -4.27215329 	 4.21457342 
16.60000000 	 -4.28452224 	 4.22759337 
16.80000000 	 -4.29754219 	 4.23898582 
17.00000000 	 -4.31088763 	 4.25102927 
17.20000000 	 -4.32293108 	 4.26339822 
17.40000000 	 -4.33530003 	 4.27479068 
17.60000000 	 -4.34669249 	 4.28683413 
17.80000000 	 -4.35808494 	 4.29790108 
18.00000000 	 -4.36850090 	 4.30896804 
18.20000000 	 -4.38054435 	 4.31970949 
18.40000000 	 -4.39161130 	 4.32947445 
18.60000000 	 -4.40202726 	 4.33923941 
18.80000000 	 -4.41179222 	 4.34965537 
19.00000000 	 -4.42123168 	 4.35909483 
19.20000000 	 -4.43132214 	 4.36755780 
19.40000000 	 -4.44043610 	 4.37602076 
19.60000000 	 -4.44889907 	 4.38480923 
19.80000000 	 -4.45866403 	 4.39327219 
20.00000000 	 -4.46615050 	 4.40140966 
20.20000000 	 -4.47396247 	 4.40954712 
20.40000000 	 -4.48209993 	 4.41605710 
20.60000000 	 -4.48893540 	 4.42321807 
20.80000000 	 -4.49674737 	 4.42940254 
21.00000000 	 -4.50358284 	 4.43526152 
21.20000000 	 -4.50976732 	 4.44209699 
21.40000000 	 -4.51627729 	 4.44795597 
21.60000000 	 -4.52181077 	 4.45414044 
21.80000000 	 -4.52734425 	 4.45869742 
22.00000000 	 -4.53320322 	 4.46325440 
22.20000000 	 -4.53710921 	 4.46781139 
22.40000000 	 -4.54296818 	 4.47171737 
22.60000000 	 -4.54687417 	 4.47627435 
22.80000000 	 -4.55078015 	 4.48050583 
23.00000000 	 -4.55501163 	 4.48278432 
23.20000000 	 -4.55859212 	 4.48571381 
23.40000000 	 -4.56152161 	 4.48864330 
23.60000000 	 -4.56445109 	 4.49157279 
23.80000000 	 -4.56672959 	 4.49320028 
24.00000000 	 -4.56965907 	 4.49450228 
24.20000000 	 -4.57063557 	 4.49612977 
24.40000000 	 -4.57258856 	 4.49743176 
24.60000000 	 -4.57356506 	 4.49808276 
24.80000000 	 -4.57454155 	 4.49873376 
25.00000000 	 -4.57486705 	 4.49840826 
25.20000000 	 -4.57421605 	 4.49808276 
25.40000000 	 -4.57551805 	 4.49905926 
25.60000000 	 -4.57486705 	 4.49775726 
25.80000000 	 -4.57421605 	 4.49678077 
26.00000000 	 -4.57258856 	 4.49385128 
26.20000000 	 -4.57193756 	 4.49417678 
26.40000000 	 -4.57031007 	 4.49092179 
26.60000000 	 -4.56835708 	 4.48896880 
26.80000000 	 -4.56705508 	 4.48701581 
27.00000000 	 -4.56380010 	 4.48278432 
27.20000000 	 -4.56087061 	 4.48018034 
27.40000000 	 -4.55859212 	 4.47594885 
27.60000000 	 -4.55436064 	 4.47269387 
27.80000000 	 -4.54980365 	 4.46813688 
28.00000000 	 -4.54687417 	 4.46455640 
28.20000000 	 -4.54199169 	 4.45837192 
28.40000000 	 -4.53710921 	 4.45348944 
28.60000000 	 -4.53190123 	 4.44763047 
28.80000000 	 -4.52604225 	 4.44209699 
29.00000000 	 -4.52083427 	 4.43656351 
