time (s) 	 Voltage output 	 Flowrate (scfm) 
0.158000 	 2.360093 	 0.600377 
0.159000 	 2.360093 	 0.600377 
0.160000 	 2.360093 	 0.600377 
0.161000 	 2.360093 	 0.600377 
0.162000 	 2.349908 	 0.187199 
0.163000 	 2.360093 	 0.600377 
0.164000 	 2.360093 	 0.600377 
0.165000 	 2.360093 	 0.600377 
0.166000 	 2.360093 	 0.600377 
0.167000 	 2.360093 	 0.600377 
0.168000 	 2.349908 	 0.187199 
0.169000 	 2.349908 	 0.187199 
0.170000 	 2.349908 	 0.187199 
0.171000 	 2.360093 	 0.600377 
0.172000 	 2.349908 	 0.187199 
0.173000 	 2.349908 	 0.187199 
0.174000 	 2.360093 	 0.600377 
0.175000 	 2.349908 	 0.187199 
0.176000 	 2.360093 	 0.600377 
0.177000 	 2.360093 	 0.600377 
0.178000 	 2.349908 	 0.187199 
0.179000 	 2.349908 	 0.187199 
0.180000 	 2.360093 	 0.600377 
0.181000 	 2.349908 	 0.187199 
0.182000 	 2.360093 	 0.600377 
0.183000 	 2.349908 	 0.187199 
0.184000 	 2.349908 	 0.187199 
0.185000 	 2.360093 	 0.600377 
0.186000 	 2.349908 	 0.187199 
0.187000 	 2.349908 	 0.187199 
0.188000 	 2.360093 	 0.600377 
0.189000 	 2.349908 	 0.187199 
0.190000 	 2.349908 	 0.187199 
0.191000 	 2.360093 	 0.600377 
0.192000 	 2.360093 	 0.600377 
0.193000 	 2.349908 	 0.187199 
0.194000 	 2.360093 	 0.600377 
0.195000 	 2.349908 	 0.187199 
0.196000 	 2.360093 	 0.600377 
0.197000 	 2.360093 	 0.600377 
0.198000 	 2.349908 	 0.187199 
0.199000 	 2.349908 	 0.187199 
0.200000 	 2.349908 	 0.187199 
0.201000 	 2.360093 	 0.600377 
0.202000 	 2.360093 	 0.600377 
0.203000 	 2.360093 	 0.600377 
0.204000 	 2.349908 	 0.187199 
0.205000 	 2.360093 	 0.600377 
0.206000 	 2.349908 	 0.187199 
0.207000 	 2.349908 	 0.187199 
0.208000 	 2.360093 	 0.600377 
0.209000 	 2.349908 	 0.187199 
0.210000 	 2.349908 	 0.187199 
0.211000 	 2.360093 	 0.600377 
0.212000 	 2.349908 	 0.187199 
0.213000 	 2.349908 	 0.187199 
0.214000 	 2.349908 	 0.187199 
0.215000 	 2.360093 	 0.600377 
0.216000 	 2.360093 	 0.600377 
0.217000 	 2.349908 	 0.187199 
0.218000 	 2.349908 	 0.187199 
0.219000 	 2.349908 	 0.187199 
0.220000 	 2.349908 	 0.187199 
0.221000 	 2.360093 	 0.600377 
0.222000 	 2.349908 	 0.187199 
0.223000 	 2.349908 	 0.187199 
0.224000 	 2.349908 	 0.187199 
0.225000 	 2.349908 	 0.187199 
0.226000 	 2.360093 	 0.600377 
0.227000 	 2.349908 	 0.187199 
0.228000 	 2.360093 	 0.600377 
0.229000 	 2.349908 	 0.187199 
0.230000 	 2.360093 	 0.600377 
0.231000 	 2.349908 	 0.187199 
0.232000 	 2.349908 	 0.187199 
0.233000 	 2.349908 	 0.187199 
0.234000 	 2.360093 	 0.600377 
0.235000 	 2.360093 	 0.600377 
0.236000 	 2.360093 	 0.600377 
0.237000 	 2.349908 	 0.187199 
0.238000 	 2.349908 	 0.187199 
0.239000 	 2.349908 	 0.187199 
0.240000 	 2.349908 	 0.187199 
0.241000 	 2.349908 	 0.187199 
0.242000 	 2.360093 	 0.600377 
0.243000 	 2.349908 	 0.187199 
0.244000 	 2.349908 	 0.187199 
0.245000 	 2.349908 	 0.187199 
0.246000 	 2.360093 	 0.600377 
0.247000 	 2.360093 	 0.600377 
0.248000 	 2.360093 	 0.600377 
0.249000 	 2.360093 	 0.600377 
0.250000 	 2.360093 	 0.600377 
0.251000 	 2.349908 	 0.187199 
0.252000 	 2.349908 	 0.187199 
0.253000 	 2.349908 	 0.187199 
0.254000 	 2.360093 	 0.600377 
0.255000 	 2.349908 	 0.187199 
0.256000 	 2.360093 	 0.600377 
0.257000 	 2.360093 	 0.600377 
0.258000 	 2.349908 	 0.187199 
0.259000 	 2.360093 	 0.600377 
0.260000 	 2.349908 	 0.187199 
0.261000 	 2.360093 	 0.600377 
0.262000 	 2.349908 	 0.187199 
0.263000 	 2.349908 	 0.187199 
0.264000 	 2.360093 	 0.600377 
0.265000 	 2.349908 	 0.187199 
0.266000 	 2.360093 	 0.600377 
0.267000 	 2.360093 	 0.600377 
0.268000 	 2.349908 	 0.187199 
0.269000 	 2.349908 	 0.187199 
0.270000 	 2.360093 	 0.600377 
0.271000 	 2.349908 	 0.187199 
0.272000 	 2.360093 	 0.600377 
0.273000 	 2.349908 	 0.187199 
0.274000 	 2.349908 	 0.187199 
0.275000 	 2.349908 	 0.187199 
0.276000 	 2.360093 	 0.600377 
0.277000 	 2.349908 	 0.187199 
0.278000 	 2.349908 	 0.187199 
0.279000 	 2.349908 	 0.187199 
0.280000 	 2.349908 	 0.187199 
