Times (s),Input Voltage (v),Output Voltage (v)
4.790000,10.623488,4.884364 
4.795000,10.623488,4.888583 
4.800000,10.623488,4.894425 
4.805000,10.623488,4.898645 
4.810000,10.623488,4.903837 
4.815000,10.623488,4.909355 
4.820000,10.623488,4.912925 
4.825000,10.623488,4.920065 
4.830000,10.623488,4.924609 
4.835000,10.623488,4.929477 
4.840000,10.623488,4.934346 
4.845000,10.623488,4.939214 
4.850000,10.623488,4.944732 
4.855000,10.623488,4.949600 
4.860000,10.623488,4.953495 
4.865000,10.623488,4.959661 
4.870000,10.623488,4.964205 
4.875000,10.623488,4.969398 
4.880000,10.623488,4.975240 
4.885000,10.623488,4.979459 
4.890000,10.623488,4.984652 
4.895000,10.623488,4.989520 
