0.000000 	 2.629344 
0.033333 	 2.631918 
0.066667 	 2.629344 
0.100000 	 2.631918 
0.133333 	 2.633205 
0.166667 	 2.631918 
0.200000 	 2.630631 
0.233333 	 2.633205 
0.266667 	 2.631918 
0.300000 	 2.631918 
0.333333 	 2.633205 
0.366667 	 2.631918 
0.400000 	 2.637066 
0.433333 	 2.631918 
0.466667 	 2.631918 
0.500000 	 2.630631 
0.533333 	 2.630631 
0.566667 	 2.631918 
0.600000 	 2.631918 
0.633333 	 2.631918 
0.666666 	 2.631918 
0.700000 	 2.631918 
0.733333 	 2.633205 
0.766666 	 2.631918 
0.800000 	 2.629344 
0.833333 	 2.633205 
0.866666 	 2.634492 
0.900000 	 2.630631 
0.933333 	 2.633205 
0.966666 	 2.633205 
1.000000 	 2.633205 
1.033333 	 2.631918 
1.066666 	 2.633205 
1.100000 	 2.631918 
1.133333 	 2.631918 
1.166666 	 2.633205 
1.200000 	 2.633205 
1.233333 	 2.631918 
1.266666 	 2.629344 
1.300000 	 2.630631 
1.333333 	 2.633205 
1.366666 	 2.633205 
1.400000 	 2.629344 
1.433333 	 2.631918 
1.466666 	 2.629344 
1.500000 	 2.630631 
1.533333 	 2.637066 
1.566666 	 2.629344 
1.600000 	 2.633205 
1.633333 	 2.631918 
1.666666 	 2.631918 
1.700000 	 2.630631 
1.733333 	 2.631918 
1.766666 	 2.630631 
1.800000 	 2.631918 
1.833333 	 2.630631 
1.866666 	 2.631918 
1.900000 	 2.631918 
1.933333 	 2.631918 
1.966666 	 2.634492 
1.999999 	 2.631918 
2.033333 	 2.634492 
2.066666 	 2.633205 
2.099999 	 2.633205 
2.133333 	 2.631918 
2.166666 	 2.631918 
2.199999 	 2.631918 
2.233333 	 2.631918 
2.266666 	 2.631918 
2.299999 	 2.630631 
2.333333 	 2.631918 
2.366666 	 2.630631 
2.399999 	 2.631918 
2.433333 	 2.634492 
2.466666 	 2.633205 
2.499999 	 2.631918 
2.533333 	 2.633205 
2.566666 	 2.633205 
2.599999 	 2.634492 
2.633333 	 2.631918 
2.666666 	 2.631918 
2.699999 	 2.631918 
2.733333 	 2.630631 
2.766666 	 2.630631 
2.799999 	 2.631918 
2.833333 	 2.631918 
2.866666 	 2.631918 
2.899999 	 2.634492 
2.933333 	 2.633205 
2.966666 	 2.634492 
2.999999 	 2.633205 
3.033333 	 2.630631 
3.066666 	 2.633205 
3.099999 	 2.631918 
3.133333 	 2.630631 
3.166666 	 2.630631 
3.199999 	 2.631918 
3.233333 	 2.633205 
3.266666 	 2.631918 
3.299999 	 2.631918 
3.333332 	 2.631918 
3.366666 	 2.633205 
3.399999 	 2.631918 
3.433332 	 2.633205 
3.466666 	 2.633205 
3.499999 	 2.629344 
3.533332 	 2.628057 
3.566666 	 2.634492 
3.599999 	 2.633205 
3.633332 	 2.631918 
3.666666 	 2.631918 
3.699999 	 2.631918 
3.733332 	 2.631918 
3.766666 	 2.630631 
3.799999 	 2.633205 
3.833332 	 2.631918 
3.866666 	 2.631918 
3.899999 	 2.635779 
3.933332 	 2.633205 
3.966666 	 2.630631 
3.999999 	 2.630631 
4.033332 	 2.633205 
4.066666 	 2.633205 
4.099999 	 2.633205 
4.133332 	 2.630631 
4.166666 	 2.631918 
4.199999 	 2.631918 
4.233332 	 2.631918 
4.266666 	 2.631918 
4.299999 	 2.635779 
4.333332 	 2.631918 
4.366666 	 2.631918 
4.399999 	 2.631918 
4.433332 	 2.630631 
4.466666 	 2.631918 
4.499999 	 2.631918 
4.533332 	 2.631918 
4.566666 	 2.633205 
4.599999 	 2.631918 
4.633332 	 2.630631 
4.666665 	 2.631918 
4.699999 	 2.631918 
4.733332 	 2.631918 
4.766665 	 2.631918 
4.799999 	 2.631918 
4.833332 	 2.631918 
4.866665 	 2.630631 
4.899999 	 2.629344 
4.933332 	 2.630631 
4.966665 	 2.631918 
4.999999 	 2.633205 
5.033332 	 2.630631 
5.066665 	 2.633205 
5.099999 	 2.633205 
5.133332 	 2.633205 
5.166665 	 2.631918 
5.199999 	 2.631918 
5.233332 	 2.631918 
5.266665 	 2.629344 
5.299999 	 2.630631 
5.333332 	 2.633205 
5.366665 	 2.633205 
5.399999 	 2.633205 
5.433332 	 2.633205 
5.466665 	 2.629344 
5.499999 	 2.633205 
5.533332 	 2.630631 
5.566665 	 2.631918 
5.599999 	 2.630631 
5.633332 	 2.631918 
5.666665 	 2.637066 
5.699999 	 2.631918 
