#Digilent WaveForms Data Logger
#Device Name: DiscoveryStudio
#Serial Number: SN:210384BE34E6
#Date Time: 2026-07-09 17:15:18.438

Time (s),C1 (V)
0,2.237742218961754
0.05,2.237742218961754
0.1,2.237742218961754
0.15,2.237742218961754
0.2,2.237742218961754
0.25,2.237742218961754
0.3,2.237742218961754
0.35,2.237742218961754
0.4,2.237742218961754
0.45,2.237742218961754
0.5,2.237742218961754
0.55,2.237742218961754
0.6000000000000001,2.237742218961754
0.65,2.237742218961754
0.7000000000000001,2.237742218961754
0.75,2.237742218961754
0.8,2.237742218961754
0.8500000000000001,2.237742218961754
0.9,2.237742218961754
0.9500000000000001,2.237742218961754
1,2.237742218961754
1.05,2.237742218961754
1.1,2.237742218961754
1.15,2.237742218961754
1.2,2.237742218961754
1.25,2.237742218961754
1.3,2.237742218961754
1.35,2.237742218961754
1.4,2.237742218961754
1.45,2.237742218961754
1.5,2.237742218961754
1.55,2.237742218961754
1.6,2.237742218961754
1.65,2.237742218961754
1.7,2.237742218961754
1.75,2.237742218961754
1.8,2.237742218961754
1.85,2.237742218961754
1.9,2.237742218961754
1.95,2.237742218961754
2,2.237742218961754
2.05,2.237742218961754
2.1,2.237742218961754
2.15,2.237742218961754
2.2,2.237742218961754
2.25,2.237742218961754
2.3,2.237742218961754
2.35,2.237742218961754
2.4,2.237742218961754
2.45,2.237742218961754
2.5,2.237742218961754
2.55,2.237742218961754
2.6,2.237742218961754
2.65,2.237742218961754
2.7,2.237742218961754
2.75,2.237742218961754
2.8,2.237742218961754
2.85,2.237742218961754
2.9,2.237742218961754
2.95,2.237742218961754
3,2.237742218961754
3.05,2.237742218961754
3.1,2.237742218961754
3.15,2.237742218961754
3.2,2.237742218961754
3.25,2.237742218961754
3.3,2.237742218961754
3.35,2.237742218961754
3.4,2.237742218961754
3.45,2.237742218961754
3.5,2.237742218961754
3.55,2.237742218961754
3.6,2.237742218961754
3.65,2.237742218961754
3.7,2.237742218961754
3.75,2.237742218961754
3.8,2.237742218961754
3.85,2.237742218961754
3.9,2.237742218961754
3.95,2.237742218961754
4,2.237742218961754
4.05,2.237742218961754
4.100000000000001,2.237742218961754
4.15,2.237742218961754
4.2,2.237742218961754
4.25,2.237742218961754
4.3,2.237742218961754
4.350000000000001,2.237742218961754
4.4,2.237742218961754
4.45,2.237742218961754
4.5,2.237742218961754
4.55,2.237742218961754
4.600000000000001,2.237742218961754
4.65,2.237742218961754
4.7,2.237742218961754
4.75,2.237742218961754
4.800000000000001,2.237742218961754
4.850000000000001,2.237742218961754
4.9,2.237742218961754
4.95,2.237742218961754
5,2.237742218961754
5.050000000000001,2.237742218961754
5.100000000000001,2.237742218961754
5.15,2.237742218961754
5.2,2.237742218961754
5.25,2.237742218961754
5.300000000000001,2.237742218961754
5.350000000000001,2.237742218961754
5.4,2.237742218961754
5.45,2.237742218961754
5.5,2.237742218961754
5.550000000000001,2.237742218961754
5.600000000000001,2.237742218961754
5.65,2.237742218961754
5.7,2.237742218961754
5.75,2.237742218961754
5.800000000000001,2.237742218961754
5.850000000000001,2.237742218961754
5.9,2.237742218961754
5.95,2.237742218961754
6,2.237742218961754
6.050000000000001,2.237742218961754
6.100000000000001,2.237742218961754
6.15,2.237742218961754
6.2,2.237742218961754
6.25,2.237742218961754
6.300000000000001,2.237742218961754
6.350000000000001,2.237742218961754
6.4,2.237742218961754
6.45,2.237742218961754
6.5,2.237742218961754
6.550000000000001,2.237742218961754
6.600000000000001,2.237742218961754
6.65,2.237742218961754
6.7,2.237742218961754
6.75,2.237742218961754
6.800000000000001,2.237742218961754
6.850000000000001,2.237742218961754
6.9,2.237742218961754
6.95,2.237742218961754
7,2.237742218961754
7.050000000000001,2.237742218961754
7.100000000000001,2.237742218961754
7.15,2.237742218961754
7.2,2.237742218961754
7.25,2.237742218961754
7.300000000000001,2.237742218961754
7.350000000000001,2.237742218961754
7.4,2.237742218961754
7.45,2.237742218961754
7.5,2.237742218961754
7.550000000000001,2.237742218961754
7.600000000000001,2.237742218961754
7.65,2.237742218961754
7.7,2.237742218961754
7.75,2.237742218961754
7.800000000000001,2.237742218961754
7.850000000000001,2.237742218961754
7.9,2.237742218961754
7.95,2.237742218961754
8,2.237742218961754
8.050000000000001,2.237742218961754
8.1,2.237742218961754
8.15,2.237742218961754
8.200000000000001,2.237742218961754
8.25,2.237742218961754
8.300000000000001,2.237742218961754
8.35,2.237742218961754
8.4,2.237742218961754
8.450000000000001,2.237742218961754
8.5,2.237742218961754
8.550000000000001,2.237742218961754
8.6,2.237742218961754
8.65,2.237742218961754
8.700000000000001,2.237742218961754
8.75,2.237742218961754
8.800000000000001,2.237742218961754
8.85,2.237742218961754
8.9,2.237742218961754
8.950000000000001,2.234008072094453
9,2.237742218961754
9.050000000000001,2.237742218961754
9.1,2.237742218961754
9.15,2.237742218961754
9.200000000000001,2.237742218961754
9.25,2.237742218961754
9.300000000000001,2.237742218961754
9.35,2.237742218961754
9.4,2.237742218961754
9.450000000000001,2.237742218961754
9.5,2.237742218961754
9.550000000000001,2.237742218961754
9.600000000000001,2.237742218961754
9.65,2.237742218961754
9.700000000000001,2.237742218961754
9.75,2.237742218961754
9.800000000000001,2.237742218961754
9.850000000000001,2.237742218961754
9.9,2.237742218961754
9.950000000000001,2.237742218961754
10,1.009207899619956
