Times (s),Voltage (Volts)
0.199000,94.463118,0.331696 
0.200000,94.486325,0.331696 
0.201000,94.463118,0.254645 
0.202000,94.509531,0.193005 
0.203000,94.532738,0.316286 
0.204000,94.555945,0.208415 
0.205000,94.532738,0.069723 
0.206000,94.579152,0.285465 
0.207000,94.532738,0.316286 
0.208000,94.486325,0.316286 
0.209000,94.555945,0.285465 
0.210000,94.532738,0.239235 
0.211000,94.532738,0.254645 
0.212000,94.579152,0.347106 
0.213000,94.532738,0.208415 
0.214000,94.532738,0.223825 
0.215000,94.509531,0.193005 
0.216000,94.463118,0.239235 
0.217000,94.439911,0.285465 
0.218000,94.486325,0.254645 
0.219000,94.463118,0.270055 
0.220000,94.509531,0.285465 
0.221000,94.509531,0.300876 
0.222000,94.509531,0.254645 
0.223000,94.463118,0.285465 
0.224000,94.463118,0.331696 
0.225000,94.509531,0.270055 
0.226000,94.486325,0.331696 
0.227000,94.486325,0.300876 
0.228000,94.439911,0.300876 
0.229000,94.463118,0.270055 
0.230000,94.463118,0.316286 
0.231000,94.463118,0.193005 
0.232000,94.416704,0.239235 
0.233000,94.439911,0.208415 
0.234000,94.463118,0.223825 
0.235000,94.463118,0.223825 
0.236000,94.439911,0.377926 
0.237000,94.463118,0.362516 
0.238000,94.439911,0.254645 
0.239000,94.439911,0.270055 
0.240000,94.463118,0.270055 
0.241000,94.463118,0.377926 
0.242000,94.393497,0.316286 
0.243000,94.439911,0.347106 
0.244000,94.463118,0.193005 
0.245000,94.416704,0.193005 
0.246000,94.416704,0.285465 
0.247000,94.393497,0.362516 
0.248000,94.416704,0.300876 
0.249000,94.347083,0.177594 
0.250000,94.393497,0.193005 
0.251000,94.393497,0.331696 
0.252000,94.416704,0.347106 
0.253000,94.416704,0.239235 
0.254000,94.370290,0.285465 
0.255000,94.393497,0.239235 
0.256000,94.323876,0.300876 
0.257000,94.323876,0.285465 
0.258000,94.347083,0.316286 
0.259000,94.300670,0.316286 
0.260000,94.323876,0.254645 
0.261000,94.300670,0.115954 
0.262000,94.254256,0.193005 
0.263000,94.347083,0.239235 
0.264000,94.254256,0.208415 
0.265000,94.231049,0.239235 
0.266000,94.277463,0.162184 
0.267000,94.300670,0.193005 
0.268000,94.254256,0.162184 
0.269000,94.231049,0.254645 
0.270000,94.254256,0.254645 
0.271000,94.184635,0.162184 
0.272000,94.254256,0.316286 
0.273000,94.207842,0.270055 
0.274000,94.207842,0.131364 
0.275000,94.254256,0.208415 
0.276000,94.231049,0.285465 
0.277000,94.231049,0.223825 
0.278000,94.231049,0.239235 
0.279000,94.184635,0.362516 
0.280000,94.207842,0.300876 
0.281000,94.207842,0.254645 
0.282000,94.184635,0.115954 
0.283000,94.207842,0.177594 
0.284000,94.207842,0.285465 
0.285000,94.207842,0.177594 
0.286000,94.184635,0.270055 
0.287000,94.161428,0.115954 
0.288000,94.207842,0.254645 
