Times (s),Voltage (Volts)
14.450000,1.920756 
14.500000,1.921081 
14.550000,1.922382 
14.600000,1.920105 
14.650000,1.923358 
14.700000,1.920756 
14.750000,1.920756 
14.800000,1.921406 
14.850000,1.923684 
14.900000,1.920430 
14.950000,1.922057 
15.000000,1.918479 
15.050000,1.921081 
15.100000,1.920105 
15.150000,1.919129 
15.200000,1.921081 
15.250000,1.920756 
15.300000,1.919780 
15.350000,1.922382 
15.400000,1.922708 
15.450000,1.920756 
15.500000,1.921732 
15.550000,1.919129 
15.600000,1.918153 
15.650000,1.922708 
15.700000,1.922382 
15.750000,1.922708 
15.800000,1.917828 
15.850000,1.917503 
15.900000,1.919780 
15.950000,1.925310 
16.000000,1.920430 
16.050000,1.919780 
16.100000,1.921732 
16.150000,1.919455 
16.200000,1.920430 
16.250000,1.920430 
16.300000,1.921081 
16.350000,1.921732 
16.400000,1.920105 
16.450000,1.921732 
16.500000,1.921081 
16.550000,1.919129 
16.600000,1.918479 
16.650000,1.922708 
16.700000,1.921406 
16.750000,1.921081 
16.800000,1.919780 
16.850000,1.919780 
16.900000,1.917828 
16.950000,1.918479 
17.000000,1.919129 
17.050000,1.918153 
17.100000,1.919129 
17.150000,1.919129 
17.200000,1.920430 
17.250000,1.920105 
17.300000,1.918479 
17.350000,1.920430 
17.400000,1.921732 
17.450000,1.918804 
17.500000,1.921081 
17.550000,1.922057 
17.600000,1.920756 
17.650000,1.920756 
17.700000,1.920430 
17.750000,1.922708 
17.800000,1.919780 
17.850000,1.920105 
17.900000,1.919780 
17.950000,1.920430 
18.000000,1.921081 
18.050000,1.921081 
18.100000,1.922708 
18.150000,1.922708 
18.200000,1.922708 
18.250000,1.920756 
18.300000,1.919455 
18.350000,1.920756 
18.400000,1.919780 
18.450000,1.921081 
18.500000,1.919780 
18.550000,1.918153 
18.600000,1.921406 
18.650000,1.918153 
18.700000,1.919780 
18.750000,1.920756 
18.800000,1.921732 
18.850000,1.919455 
18.900000,1.919780 
18.950000,1.919129 
19.000000,1.922382 
19.050000,1.919455 
19.100000,1.921081 
19.150000,1.916527 
19.200000,1.921081 
19.250000,1.923358 
19.300000,1.922057 
19.350000,1.917828 
19.400000,1.919129 
19.450000,1.918479 
19.500000,1.919780 
19.550000,1.918804 
19.600000,1.922057 
19.650000,1.919455 
19.700000,1.921406 
19.750000,1.919455 
19.800000,1.922057 
19.850000,1.921081 
19.900000,1.920105 
19.950000,1.920756 
