time (s) 	 Voltage output 	 Flowrate (scfm) 
1.580000 	 2.508364 	 2.508364 
1.590000 	 2.508364 	 2.508364 
1.600000 	 2.509651 	 2.509651 
1.610000 	 2.508364 	 2.508364 
1.620000 	 2.508364 	 2.508364 
1.630000 	 2.508364 	 2.508364 
1.640000 	 2.508364 	 2.508364 
1.650000 	 2.508364 	 2.508364 
1.660000 	 2.508364 	 2.508364 
1.670000 	 2.509651 	 2.509651 
1.680000 	 2.508364 	 2.508364 
1.690000 	 2.508364 	 2.508364 
1.700000 	 2.508364 	 2.508364 
1.710000 	 2.508364 	 2.508364 
1.720000 	 2.508364 	 2.508364 
1.730000 	 2.508364 	 2.508364 
1.740000 	 2.508364 	 2.508364 
1.750000 	 2.509651 	 2.509651 
1.760000 	 2.508364 	 2.508364 
1.770000 	 2.508364 	 2.508364 
1.780000 	 2.508364 	 2.508364 
1.790000 	 2.508364 	 2.508364 
1.800000 	 2.508364 	 2.508364 
1.810000 	 2.508364 	 2.508364 
1.820000 	 2.509651 	 2.509651 
1.830000 	 2.508364 	 2.508364 
1.840000 	 2.508364 	 2.508364 
1.850000 	 2.508364 	 2.508364 
1.860000 	 2.508364 	 2.508364 
1.870000 	 2.508364 	 2.508364 
1.880000 	 2.508364 	 2.508364 
1.890000 	 2.508364 	 2.508364 
1.900000 	 2.508364 	 2.508364 
1.910000 	 2.508364 	 2.508364 
1.920000 	 2.508364 	 2.508364 
1.930000 	 2.508364 	 2.508364 
1.940000 	 2.508364 	 2.508364 
1.950000 	 2.508364 	 2.508364 
1.960000 	 2.508364 	 2.508364 
1.970000 	 2.508364 	 2.508364 
1.980000 	 2.508364 	 2.508364 
1.990000 	 2.508364 	 2.508364 
2.000000 	 2.508364 	 2.508364 
2.010000 	 2.508364 	 2.508364 
2.020000 	 2.509651 	 2.509651 
2.030000 	 2.508364 	 2.508364 
2.040000 	 2.508364 	 2.508364 
2.050000 	 2.508364 	 2.508364 
2.060000 	 2.508364 	 2.508364 
2.070000 	 2.508364 	 2.508364 
2.080000 	 2.508364 	 2.508364 
2.090000 	 2.508364 	 2.508364 
2.100000 	 2.508364 	 2.508364 
2.110000 	 2.508364 	 2.508364 
2.120000 	 2.508364 	 2.508364 
2.130000 	 2.508364 	 2.508364 
2.140000 	 2.508364 	 2.508364 
2.150000 	 2.508364 	 2.508364 
2.160000 	 2.508364 	 2.508364 
2.170000 	 2.508364 	 2.508364 
2.180000 	 2.508364 	 2.508364 
2.190000 	 2.508364 	 2.508364 
2.200000 	 2.508364 	 2.508364 
2.210000 	 2.508364 	 2.508364 
2.220000 	 2.508364 	 2.508364 
2.230000 	 2.508364 	 2.508364 
2.240000 	 2.508364 	 2.508364 
2.250000 	 2.508364 	 2.508364 
2.260000 	 2.508364 	 2.508364 
2.270000 	 2.508364 	 2.508364 
2.280000 	 2.508364 	 2.508364 
2.290000 	 2.508364 	 2.508364 
2.300000 	 2.508364 	 2.508364 
2.310000 	 2.508364 	 2.508364 
2.320000 	 2.508364 	 2.508364 
2.330000 	 2.508364 	 2.508364 
2.340000 	 2.509651 	 2.509651 
2.350000 	 2.508364 	 2.508364 
2.360000 	 2.508364 	 2.508364 
2.370000 	 2.508364 	 2.508364 
2.380000 	 2.508364 	 2.508364 
2.390000 	 2.508364 	 2.508364 
2.400000 	 2.508364 	 2.508364 
2.410000 	 2.508364 	 2.508364 
2.420000 	 2.509651 	 2.509651 
2.430000 	 2.508364 	 2.508364 
2.440000 	 2.508364 	 2.508364 
2.450000 	 2.508364 	 2.508364 
2.460000 	 2.508364 	 2.508364 
2.470000 	 2.508364 	 2.508364 
2.480000 	 2.508364 	 2.508364 
2.490000 	 2.508364 	 2.508364 
2.500000 	 2.508364 	 2.508364 
2.510000 	 2.508364 	 2.508364 
2.520000 	 2.508364 	 2.508364 
2.530000 	 2.508364 	 2.508364 
2.540000 	 2.509651 	 2.509651 
2.550000 	 2.508364 	 2.508364 
2.560000 	 2.508364 	 2.508364 
2.570000 	 2.508364 	 2.508364 
2.580000 	 2.508364 	 2.508364 
2.590000 	 2.508364 	 2.508364 
2.600000 	 2.508364 	 2.508364 
2.610000 	 2.508364 	 2.508364 
2.620000 	 2.508364 	 2.508364 
2.630000 	 2.508364 	 2.508364 
2.640000 	 2.508364 	 2.508364 
2.650000 	 2.508364 	 2.508364 
2.660000 	 2.508364 	 2.508364 
2.670000 	 2.508364 	 2.508364 
2.680000 	 2.508364 	 2.508364 
2.690000 	 2.508364 	 2.508364 
2.700000 	 2.508364 	 2.508364 
2.710000 	 2.508364 	 2.508364 
2.720000 	 2.508364 	 2.508364 
2.730000 	 2.508364 	 2.508364 
2.740000 	 2.508364 	 2.508364 
2.750000 	 2.508364 	 2.508364 
2.760000 	 2.508364 	 2.508364 
2.770000 	 2.508364 	 2.508364 
2.780000 	 2.508364 	 2.508364 
2.790000 	 2.508364 	 2.508364 
2.800000 	 2.508364 	 2.508364 
2.810000 	 2.508364 	 2.508364 
2.820000 	 2.508364 	 2.508364 
2.830000 	 2.508364 	 2.508364 
2.840000 	 2.508364 	 2.508364 
2.850000 	 2.508364 	 2.508364 
2.860000 	 2.508364 	 2.508364 
2.870000 	 2.508364 	 2.508364 
2.880000 	 2.508364 	 2.508364 
2.890000 	 2.508364 	 2.508364 
2.900000 	 2.508364 	 2.508364 
2.910000 	 2.508364 	 2.508364 
2.920000 	 2.508364 	 2.508364 
2.930000 	 2.508364 	 2.508364 
2.940000 	 2.508364 	 2.508364 
2.950000 	 2.508364 	 2.508364 
2.960000 	 2.508364 	 2.508364 
2.970000 	 2.508364 	 2.508364 
2.980000 	 2.508364 	 2.508364 
2.990000 	 2.508364 	 2.508364 
3.000000 	 2.508364 	 2.508364 
3.010000 	 2.508364 	 2.508364 
3.020000 	 2.508364 	 2.508364 
3.030000 	 2.509651 	 2.509651 
3.040000 	 2.508364 	 2.508364 
3.050000 	 2.508364 	 2.508364 
3.060000 	 2.508364 	 2.508364 
3.070000 	 2.508364 	 2.508364 
3.080000 	 2.508364 	 2.508364 
