time (s) 	 Flowrate (scfm) 
0.244000 	 20.239052 
0.245000 	 20.365050 
0.246000 	 20.365050 
0.247000 	 20.617045 
0.248000 	 20.617045 
0.249000 	 20.239052 
0.250000 	 20.491048 
0.251000 	 20.491048 
0.252000 	 20.743043 
0.253000 	 20.743043 
0.254000 	 20.617045 
0.255000 	 20.491048 
0.256000 	 20.617045 
0.257000 	 20.365050 
0.258000 	 20.491048 
0.259000 	 20.617045 
0.260000 	 20.365050 
0.261000 	 20.617045 
0.262000 	 20.239052 
0.263000 	 20.491048 
0.264000 	 20.617045 
0.265000 	 20.491048 
0.266000 	 20.239052 
0.267000 	 20.365050 
0.268000 	 20.491048 
0.269000 	 20.617045 
0.270000 	 20.617045 
0.271000 	 20.365050 
0.272000 	 20.365050 
0.273000 	 20.491048 
0.274000 	 20.743043 
0.275000 	 20.365050 
0.276000 	 20.491048 
0.277000 	 20.365050 
0.278000 	 20.617045 
0.279000 	 20.365050 
0.280000 	 20.617045 
0.281000 	 20.743043 
0.282000 	 20.491048 
0.283000 	 20.365050 
0.284000 	 20.491048 
0.285000 	 20.617045 
0.286000 	 20.743043 
0.287000 	 20.491048 
0.288000 	 20.491048 
0.289000 	 20.491048 
0.290000 	 20.365050 
0.291000 	 20.491048 
0.292000 	 20.365050 
0.293000 	 20.617045 
0.294000 	 20.365050 
0.295000 	 20.491048 
0.296000 	 20.617045 
0.297000 	 20.365050 
0.298000 	 20.491048 
0.299000 	 20.491048 
0.300000 	 20.365050 
0.301000 	 20.365050 
0.302000 	 20.617045 
0.303000 	 20.617045 
0.304000 	 20.365050 
0.305000 	 20.617045 
0.306000 	 20.617045 
0.307000 	 20.491048 
0.308000 	 20.491048 
0.309000 	 20.113054 
0.310000 	 20.365050 
0.311000 	 20.365050 
0.312000 	 20.365050 
0.313000 	 20.617045 
0.314000 	 20.491048 
0.315000 	 20.365050 
0.316000 	 20.239052 
0.317000 	 20.491048 
0.318000 	 20.491048 
0.319000 	 20.743043 
0.320000 	 20.491048 
0.321000 	 20.239052 
0.322000 	 20.365050 
0.323000 	 20.113054 
0.324000 	 20.743043 
0.325000 	 20.365050 
0.326000 	 20.491048 
0.327000 	 20.239052 
0.328000 	 20.491048 
0.329000 	 20.365050 
0.330000 	 20.491048 
0.331000 	 20.617045 
0.332000 	 20.491048 
0.333000 	 20.239052 
0.334000 	 20.491048 
0.335000 	 20.743043 
0.336000 	 20.491048 
0.337000 	 20.365050 
0.338000 	 20.491048 
0.339000 	 20.491048 
0.340000 	 20.491048 
0.341000 	 20.491048 
0.342000 	 20.491048 
0.343000 	 20.239052 
0.344000 	 20.743043 
0.345000 	 20.491048 
