time (s) 	 Temperature (C) 
0.244000 	 36.139446 
0.245000 	 36.044266 
0.246000 	 36.107719 
0.247000 	 36.139446 
0.248000 	 36.266353 
0.249000 	 36.075993 
0.250000 	 35.822179 
0.251000 	 36.234626 
0.252000 	 36.202900 
0.253000 	 36.298080 
0.254000 	 36.234626 
0.255000 	 36.202900 
0.256000 	 36.107719 
0.257000 	 35.885632 
0.258000 	 36.044266 
0.259000 	 36.075993 
0.260000 	 36.234626 
0.261000 	 36.234626 
0.262000 	 36.202900 
0.263000 	 36.139446 
0.264000 	 36.107719 
0.265000 	 36.171173 
0.266000 	 36.171173 
0.267000 	 35.980812 
0.268000 	 36.329807 
0.269000 	 35.980812 
0.270000 	 36.107719 
0.271000 	 36.202900 
0.272000 	 36.139446 
0.273000 	 36.202900 
0.274000 	 36.107719 
0.275000 	 36.012539 
0.276000 	 35.885632 
0.277000 	 36.171173 
0.278000 	 36.202900 
0.279000 	 36.139446 
0.280000 	 36.202900 
0.281000 	 36.171173 
0.282000 	 35.980812 
0.283000 	 36.424987 
0.284000 	 36.171173 
0.285000 	 35.949086 
0.286000 	 36.171173 
0.287000 	 36.139446 
0.288000 	 36.329807 
0.289000 	 36.234626 
0.290000 	 35.917359 
0.291000 	 36.329807 
0.292000 	 36.075993 
0.293000 	 36.171173 
0.294000 	 36.266353 
0.295000 	 35.980812 
0.296000 	 36.075993 
0.297000 	 36.044266 
0.298000 	 36.234626 
0.299000 	 36.012539 
0.300000 	 36.044266 
0.301000 	 36.107719 
0.302000 	 36.075993 
0.303000 	 36.234626 
0.304000 	 36.329807 
0.305000 	 36.139446 
0.306000 	 36.298080 
0.307000 	 36.107719 
0.308000 	 36.202900 
0.309000 	 36.139446 
0.310000 	 36.298080 
0.311000 	 36.044266 
0.312000 	 36.329807 
0.313000 	 36.329807 
0.314000 	 36.202900 
0.315000 	 36.329807 
0.316000 	 36.075993 
0.317000 	 35.949086 
0.318000 	 36.107719 
0.319000 	 36.075993 
0.320000 	 35.980812 
0.321000 	 36.234626 
0.322000 	 36.139446 
0.323000 	 36.202900 
0.324000 	 36.393260 
0.325000 	 36.361533 
0.326000 	 36.329807 
0.327000 	 36.393260 
0.328000 	 36.202900 
0.329000 	 36.012539 
0.330000 	 36.202900 
0.331000 	 36.171173 
0.332000 	 36.107719 
0.333000 	 35.885632 
0.334000 	 36.139446 
0.335000 	 36.107719 
0.336000 	 36.234626 
0.337000 	 36.139446 
0.338000 	 36.202900 
0.339000 	 36.329807 
0.340000 	 36.171173 
0.341000 	 36.139446 
0.342000 	 35.949086 
0.343000 	 36.361533 
0.344000 	 36.171173 
0.345000 	 36.361533 
0.346000 	 36.234626 
0.347000 	 36.139446 
0.348000 	 36.044266 
0.349000 	 36.075993 
0.350000 	 36.234626 
0.351000 	 36.298080 
0.352000 	 36.012539 
0.353000 	 36.171173 
0.354000 	 36.361533 
0.355000 	 36.298080 
0.356000 	 36.107719 
0.357000 	 36.234626 
0.358000 	 36.044266 
0.359000 	 36.234626 
0.360000 	 36.329807 
0.361000 	 36.202900 
0.362000 	 35.949086 
0.363000 	 36.139446 
0.364000 	 36.202900 
0.365000 	 35.949086 
0.366000 	 35.917359 
0.367000 	 36.171173 
0.368000 	 36.202900 
0.369000 	 36.202900 
0.370000 	 36.139446 
0.371000 	 36.202900 
0.372000 	 36.012539 
0.373000 	 36.075993 
0.374000 	 36.075993 
0.375000 	 36.107719 
0.376000 	 36.234626 
0.377000 	 36.329807 
0.378000 	 36.298080 
0.379000 	 36.171173 
0.380000 	 36.107719 
0.381000 	 35.949086 
0.382000 	 36.044266 
0.383000 	 36.171173 
0.384000 	 36.075993 
0.385000 	 36.202900 
0.386000 	 36.012539 
0.387000 	 36.075993 
0.388000 	 35.885632 
0.389000 	 35.885632 
0.390000 	 36.266353 
0.391000 	 36.202900 
0.392000 	 36.171173 
0.393000 	 35.917359 
0.394000 	 36.266353 
0.395000 	 36.234626 
0.396000 	 36.202900 
0.397000 	 36.171173 
0.398000 	 35.980812 
0.399000 	 36.202900 
0.400000 	 36.202900 
0.401000 	 36.171173 
0.402000 	 36.107719 
0.403000 	 36.234626 
0.404000 	 36.139446 
0.405000 	 36.298080 
0.406000 	 36.234626 
0.407000 	 35.980812 
0.408000 	 36.075993 
0.409000 	 36.107719 
0.410000 	 36.520167 
0.411000 	 36.202900 
0.412000 	 36.456714 
0.413000 	 36.139446 
0.414000 	 36.075993 
0.415000 	 36.171173 
0.416000 	 36.107719 
0.417000 	 36.456714 
0.418000 	 36.266353 
0.419000 	 36.044266 
0.420000 	 36.266353 
0.421000 	 36.234626 
0.422000 	 36.107719 
0.423000 	 36.075993 
0.424000 	 36.075993 
0.425000 	 36.107719 
0.426000 	 36.044266 
0.427000 	 36.075993 
0.428000 	 36.298080 
0.429000 	 36.139446 
0.430000 	 36.266353 
0.431000 	 36.107719 
0.432000 	 36.075993 
0.433000 	 36.075993 
0.434000 	 36.298080 
0.435000 	 36.329807 
0.436000 	 36.393260 
0.437000 	 36.361533 
0.438000 	 35.949086 
0.439000 	 36.012539 
0.440000 	 36.202900 
0.441000 	 36.075993 
0.442000 	 36.044266 
0.443000 	 36.139446 
0.444000 	 36.234626 
0.445000 	 36.298080 
0.446000 	 36.044266 
0.447000 	 36.456714 
0.448000 	 35.949086 
0.449000 	 36.266353 
0.450000 	 36.139446 
0.451000 	 36.012539 
0.452000 	 36.044266 
0.453000 	 36.361533 
0.454000 	 36.329807 
0.455000 	 36.044266 
0.456000 	 35.949086 
0.457000 	 35.917359 
0.458000 	 36.012539 
0.459000 	 36.107719 
0.460000 	 36.044266 
0.461000 	 36.266353 
0.462000 	 36.329807 
0.463000 	 36.075993 
0.464000 	 36.298080 
0.465000 	 36.266353 
0.466000 	 36.202900 
0.467000 	 36.329807 
0.468000 	 36.075993 
0.469000 	 36.075993 
0.470000 	 36.075993 
0.471000 	 36.171173 
0.472000 	 35.758725 
0.473000 	 36.298080 
0.474000 	 36.012539 
0.475000 	 36.171173 
0.476000 	 36.361533 
0.477000 	 36.139446 
0.478000 	 36.171173 
0.479000 	 36.107719 
0.480000 	 36.171173 
0.481000 	 36.456714 
0.482000 	 36.234626 
0.483000 	 35.980812 
0.484000 	 36.075993 
0.485000 	 36.298080 
0.486000 	 36.266353 
0.487000 	 36.329807 
0.488000 	 36.107719 
0.489000 	 36.171173 
0.490000 	 36.107719 
0.491000 	 36.171173 
0.492000 	 36.298080 
0.493000 	 36.075993 
0.494000 	 36.044266 
0.495000 	 35.980812 
0.496000 	 36.075993 
0.497000 	 36.075993 
0.498000 	 36.044266 
0.499000 	 36.171173 
0.500000 	 36.202900 
0.501000 	 36.171173 
0.502000 	 36.202900 
0.503000 	 36.329807 
0.504000 	 36.234626 
0.505000 	 36.171173 
0.506000 	 36.044266 
0.507000 	 36.139446 
0.508000 	 35.853905 
0.509000 	 36.266353 
0.510000 	 36.171173 
0.511000 	 36.171173 
0.512000 	 36.139446 
0.513000 	 36.298080 
0.514000 	 36.139446 
0.515000 	 36.139446 
0.516000 	 36.361533 
0.517000 	 36.044266 
0.518000 	 36.171173 
0.519000 	 36.171173 
0.520000 	 36.107719 
0.521000 	 36.361533 
0.522000 	 36.202900 
0.523000 	 36.234626 
0.524000 	 36.266353 
0.525000 	 35.885632 
0.526000 	 36.298080 
0.527000 	 36.202900 
0.528000 	 36.139446 
0.529000 	 36.075993 
0.530000 	 36.202900 
0.531000 	 36.012539 
0.532000 	 36.234626 
0.533000 	 35.949086 
0.534000 	 36.044266 
0.535000 	 36.361533 
0.536000 	 36.234626 
0.537000 	 36.234626 
0.538000 	 36.107719 
0.539000 	 36.044266 
0.540000 	 36.107719 
0.541000 	 36.044266 
0.542000 	 36.234626 
0.543000 	 36.266353 
0.544000 	 36.012539 
0.545000 	 36.139446 
0.546000 	 36.234626 
0.547000 	 36.202900 
0.548000 	 36.139446 
0.549000 	 36.266353 
0.550000 	 36.202900 
0.551000 	 36.234626 
0.552000 	 36.044266 
0.553000 	 36.234626 
0.554000 	 36.202900 
0.555000 	 36.202900 
0.556000 	 36.266353 
0.557000 	 36.234626 
0.558000 	 36.234626 
0.559000 	 36.107719 
0.560000 	 36.171173 
0.561000 	 36.234626 
0.562000 	 36.266353 
0.563000 	 36.424987 
0.564000 	 36.202900 
0.565000 	 36.202900 
0.566000 	 35.980812 
0.567000 	 36.139446 
0.568000 	 36.202900 
0.569000 	 36.044266 
0.570000 	 36.044266 
0.571000 	 36.266353 
0.572000 	 36.171173 
0.573000 	 36.044266 
0.574000 	 35.917359 
0.575000 	 36.171173 
0.576000 	 36.139446 
0.577000 	 35.980812 
0.578000 	 36.298080 
0.579000 	 36.075993 
0.580000 	 36.139446 
0.581000 	 36.107719 
0.582000 	 36.012539 
0.583000 	 35.980812 
0.584000 	 36.107719 
0.585000 	 35.949086 
0.586000 	 36.171173 
0.587000 	 36.044266 
0.588000 	 36.202900 
0.589000 	 36.044266 
0.590000 	 36.075993 
0.591000 	 35.885632 
0.592000 	 36.139446 
0.593000 	 36.075993 
0.594000 	 36.044266 
0.595000 	 36.171173 
0.596000 	 36.107719 
0.597000 	 36.361533 
0.598000 	 36.202900 
0.599000 	 36.202900 
0.600000 	 35.885632 
0.601000 	 36.234626 
0.602000 	 36.424987 
0.603000 	 36.107719 
0.604000 	 36.075993 
0.605000 	 36.234626 
0.606000 	 36.361533 
0.607000 	 36.044266 
0.608000 	 35.949086 
0.609000 	 36.234626 
0.610000 	 36.266353 
0.611000 	 36.202900 
0.612000 	 36.266353 
0.613000 	 36.139446 
0.614000 	 36.012539 
0.615000 	 36.075993 
0.616000 	 36.107719 
0.617000 	 36.075993 
0.618000 	 36.107719 
0.619000 	 36.139446 
0.620000 	 36.234626 
0.621000 	 36.361533 
0.622000 	 36.107719 
0.623000 	 36.139446 
0.624000 	 36.329807 
0.625000 	 36.107719 
0.626000 	 36.234626 
0.627000 	 36.202900 
0.628000 	 36.139446 
0.629000 	 36.139446 
0.630000 	 36.044266 
0.631000 	 36.139446 
0.632000 	 35.885632 
0.633000 	 36.171173 
0.634000 	 36.075993 
0.635000 	 36.075993 
0.636000 	 36.393260 
0.637000 	 36.171173 
0.638000 	 36.329807 
0.639000 	 36.234626 
