# time_s,loadcell_V
0.000000,0.087383
0.001000,0.087648
0.002000,0.084063
0.003000,0.092458
0.004000,0.090215
0.005000,0.089515
0.006000,0.090610
0.007000,0.089427
0.008000,0.092220
0.009000,0.092723
0.010000,0.089447
0.011000,0.085393
0.012000,0.086037
0.013000,0.091018
0.014000,0.092677
0.015000,0.089425
0.016000,0.087273
0.017000,0.092644
0.018000,0.085757
0.019000,0.089262
0.020000,0.087402
0.021000,0.090693
0.022000,0.083553
0.023000,0.089643
0.024000,0.087342
0.025000,0.088058
0.026000,0.091982
0.027000,0.090283
0.028000,0.089549
0.029000,0.093271
0.030000,0.089294
0.031000,0.089750
0.032000,0.087513
0.033000,0.089102
0.034000,0.087115
0.035000,0.090565
0.036000,0.088079
0.037000,0.089606
0.038000,0.089550
0.039000,0.094639
0.040000,0.090529
0.041000,0.087138
0.042000,0.089267
0.043000,0.096667
0.044000,0.089793
0.045000,0.091395
0.046000,0.091441
0.047000,0.089120
0.048000,0.091434
0.049000,0.093024
0.050000,0.088740
0.051000,0.093893
0.052000,0.091978
0.053000,0.091816
0.054000,0.087261
0.055000,0.087862
0.056000,0.087864
0.057000,0.091071
0.058000,0.085244
0.059000,0.086864
0.060000,0.091878
0.061000,0.090078
0.062000,0.088057
0.063000,0.093423
0.064000,0.094676
0.065000,0.091476
0.066000,0.089543
0.067000,0.087400
0.068000,0.083241
0.069000,0.092385
0.070000,0.092504
0.071000,0.088901
0.072000,0.088967
0.073000,0.088082
0.074000,0.087493
0.075000,0.090481
0.076000,0.086446
0.077000,0.086987
0.078000,0.087055
0.079000,0.090043
0.080000,0.094065
0.081000,0.086566
0.082000,0.093762
0.083000,0.089871
0.084000,0.088482
0.085000,0.087512
0.086000,0.090580
0.087000,0.089918
0.088000,0.089662
0.089000,0.096725
0.090000,0.087835
0.091000,0.087876
0.092000,0.085398
0.093000,0.085565
0.094000,0.094797
0.095000,0.087134
0.096000,0.086539
0.097000,0.086678
0.098000,0.083397
0.099000,0.089957
0.100000,0.086421
0.101000,0.095383
0.102000,0.085159
0.103000,0.087958
0.104000,0.088973
0.105000,0.093168
0.106000,0.091544
0.107000,0.088536
0.108000,0.088003
0.109000,0.091908
0.110000,0.095281
0.111000,0.088406
0.112000,0.089010
0.113000,0.088790
0.114000,0.089058
0.115000,0.086032
0.116000,0.088935
0.117000,0.085843
0.118000,0.095555
0.119000,0.090049
0.120000,0.091686
0.121000,0.090840
0.122000,0.089580
0.123000,0.084804
0.124000,0.085655
0.125000,0.086804
0.126000,0.089489
0.127000,0.092327
0.128000,0.087601
0.129000,0.092108
0.130000,0.086263
0.131000,0.092253
0.132000,0.084583
0.133000,0.093306
0.134000,0.089750
0.135000,0.091214
0.136000,0.090714
0.137000,0.085935
0.138000,0.089533
0.139000,0.088617
0.140000,0.090324
0.141000,0.093707
0.142000,0.090407
0.143000,0.089339
0.144000,0.089773
0.145000,0.087611
0.146000,0.087440
0.147000,0.091748
0.148000,0.089515
0.149000,0.090587
0.150000,0.092319
0.151000,0.087978
