Times (s),Input Voltage (v),Output Voltage (v)
3.960000,3.112053,3.134500 
3.980000,3.114656,3.132873 
4.000000,3.124415,3.135150 
4.020000,3.129945,3.138729 
4.040000,3.124090,3.139379 
4.060000,3.114656,3.137102 
4.080000,3.116933,3.135476 
4.100000,3.127343,3.138729 
4.120000,3.132223,3.142307 
4.140000,3.126692,3.143609 
4.160000,3.117258,3.139705 
4.180000,3.120511,3.138729 
4.200000,3.130921,3.140355 
4.220000,3.135150,3.145235 
4.240000,3.128644,3.145560 
4.260000,3.119861,3.142958 
4.280000,3.123439,3.141006 
4.300000,3.133198,3.143934 
4.320000,3.137753,3.147512 
4.340000,3.131247,3.148814 
4.360000,3.122138,3.144910 
4.380000,3.125716,3.143609 
4.400000,3.134500,3.146211 
4.420000,3.141006,3.150115 
4.440000,3.133198,3.150440 
4.460000,3.125066,3.147512 
4.480000,3.127993,3.146211 
4.500000,3.137753,3.148814 
4.520000,3.143283,3.152392 
4.540000,3.137102,3.153043 
4.560000,3.127018,3.150115 
4.580000,3.130271,3.148814 
4.600000,3.141006,3.151091 
4.620000,3.145560,3.155645 
4.640000,3.139705,3.156946 
4.660000,3.129620,3.152717 
4.680000,3.132873,3.151741 
4.700000,3.143609,3.153693 
4.720000,3.147187,3.156946 
4.740000,3.141982,3.158898 
4.760000,3.133524,3.155320 
4.780000,3.135801,3.154019 
4.800000,3.145560,3.156946 
4.820000,3.150765,3.160525 
4.840000,3.144259,3.161175 
4.860000,3.136126,3.158248 
4.880000,3.138404,3.156621 
