time (s) 	 Flowrate (scfm) 
0.244000 	 22.255017 
0.245000 	 22.381014 
0.246000 	 22.255017 
0.247000 	 22.129019 
0.248000 	 22.255017 
0.249000 	 22.255017 
0.250000 	 22.129019 
0.251000 	 22.129019 
0.252000 	 22.255017 
0.253000 	 22.381014 
0.254000 	 22.381014 
0.255000 	 22.381014 
0.256000 	 22.381014 
0.257000 	 22.003021 
0.258000 	 22.255017 
0.259000 	 22.507012 
0.260000 	 22.255017 
0.261000 	 22.255017 
0.262000 	 22.255017 
0.263000 	 22.129019 
0.264000 	 22.003021 
0.265000 	 22.129019 
0.266000 	 22.381014 
0.267000 	 22.255017 
0.268000 	 22.255017 
0.269000 	 22.255017 
0.270000 	 22.381014 
0.271000 	 22.507012 
0.272000 	 22.507012 
0.273000 	 22.255017 
0.274000 	 22.255017 
0.275000 	 22.129019 
0.276000 	 22.381014 
0.277000 	 22.381014 
0.278000 	 22.381014 
0.279000 	 22.255017 
0.280000 	 22.381014 
0.281000 	 22.129019 
0.282000 	 22.255017 
0.283000 	 22.129019 
0.284000 	 22.129019 
0.285000 	 22.129019 
0.286000 	 22.255017 
0.287000 	 22.129019 
0.288000 	 22.381014 
0.289000 	 22.381014 
0.290000 	 22.381014 
0.291000 	 22.255017 
0.292000 	 22.255017 
0.293000 	 22.381014 
0.294000 	 22.003021 
0.295000 	 22.255017 
0.296000 	 22.255017 
0.297000 	 22.255017 
0.298000 	 22.255017 
0.299000 	 22.129019 
0.300000 	 22.381014 
0.301000 	 21.877023 
0.302000 	 22.255017 
0.303000 	 22.255017 
0.304000 	 22.129019 
0.305000 	 22.507012 
0.306000 	 22.507012 
0.307000 	 22.381014 
0.308000 	 22.129019 
0.309000 	 22.381014 
0.310000 	 22.129019 
0.311000 	 22.255017 
0.312000 	 22.381014 
0.313000 	 22.255017 
0.314000 	 22.129019 
0.315000 	 22.129019 
0.316000 	 22.129019 
0.317000 	 22.129019 
0.318000 	 22.003021 
0.319000 	 22.129019 
0.320000 	 22.381014 
0.321000 	 22.381014 
0.322000 	 22.381014 
0.323000 	 22.255017 
0.324000 	 22.255017 
0.325000 	 22.129019 
0.326000 	 22.381014 
0.327000 	 22.507012 
0.328000 	 22.255017 
0.329000 	 22.381014 
0.330000 	 22.003021 
0.331000 	 22.129019 
0.332000 	 22.129019 
0.333000 	 22.129019 
0.334000 	 22.255017 
0.335000 	 22.129019 
0.336000 	 22.255017 
0.337000 	 22.255017 
0.338000 	 22.381014 
0.339000 	 22.381014 
0.340000 	 22.255017 
0.341000 	 22.129019 
0.342000 	 22.255017 
0.343000 	 22.255017 
0.344000 	 22.381014 
0.345000 	 22.381014 
0.346000 	 22.255017 
0.347000 	 22.381014 
0.348000 	 22.129019 
0.349000 	 22.255017 
0.350000 	 22.255017 
0.351000 	 22.129019 
0.352000 	 22.255017 
0.353000 	 22.255017 
0.354000 	 22.381014 
0.355000 	 22.381014 
0.356000 	 22.381014 
0.357000 	 22.255017 
0.358000 	 22.255017 
0.359000 	 22.255017 
0.360000 	 22.507012 
0.361000 	 22.255017 
0.362000 	 22.381014 
0.363000 	 22.381014 
0.364000 	 22.381014 
0.365000 	 22.255017 
0.366000 	 22.129019 
0.367000 	 22.129019 
0.368000 	 22.129019 
0.369000 	 22.003021 
0.370000 	 22.255017 
0.371000 	 22.129019 
0.372000 	 22.255017 
0.373000 	 22.507012 
0.374000 	 22.255017 
0.375000 	 22.129019 
0.376000 	 22.381014 
0.377000 	 22.255017 
0.378000 	 22.255017 
0.379000 	 22.381014 
0.380000 	 22.003021 
0.381000 	 22.129019 
0.382000 	 22.255017 
0.383000 	 22.255017 
0.384000 	 22.129019 
0.385000 	 22.003021 
0.386000 	 22.129019 
0.387000 	 22.255017 
0.388000 	 22.255017 
0.389000 	 22.507012 
0.390000 	 22.255017 
0.391000 	 22.003021 
0.392000 	 22.003021 
0.393000 	 22.129019 
0.394000 	 22.381014 
0.395000 	 22.255017 
0.396000 	 22.255017 
0.397000 	 22.129019 
0.398000 	 22.255017 
0.399000 	 22.255017 
0.400000 	 22.129019 
0.401000 	 22.003021 
0.402000 	 22.129019 
0.403000 	 22.255017 
0.404000 	 22.129019 
0.405000 	 22.381014 
0.406000 	 22.255017 
0.407000 	 22.129019 
0.408000 	 22.255017 
0.409000 	 22.255017 
