Times (s),Voltage (Volts)
9.633332,2.644810 
9.666666,2.637650 
9.699999,2.638952 
9.733332,2.646438 
9.766666,2.644485 
9.799999,2.644485 
9.833332,2.642857 
9.866666,2.634395 
9.899999,2.641230 
9.933332,2.640579 
9.966666,2.639928 
9.999999,2.642207 
10.033332,2.640254 
10.066666,2.640254 
10.099999,2.643834 
10.133332,2.641556 
10.166666,2.640579 
10.199999,2.643183 
10.233332,2.641230 
10.266666,2.638301 
10.299999,2.639928 
10.333332,2.638626 
10.366666,2.638626 
10.399999,2.643508 
10.433332,2.640254 
10.466666,2.640254 
10.499999,2.638626 
10.533332,2.639603 
10.566666,2.641881 
10.599999,2.639603 
10.633332,2.642207 
10.666666,2.639277 
10.699999,2.640905 
10.733332,2.642532 
10.766666,2.637975 
10.799999,2.639277 
10.833332,2.643183 
10.866666,2.640579 
10.899999,2.635372 
10.933332,2.636348 
10.966666,2.640254 
10.999999,2.640254 
11.033332,2.639603 
11.066666,2.642207 
11.099999,2.638301 
11.133332,2.640905 
11.166666,2.639603 
11.199999,2.633419 
11.233332,2.632768 
11.266666,2.644810 
11.299999,2.636673 
11.333332,2.641881 
11.366666,2.642532 
11.399999,2.642207 
11.433332,2.639277 
11.466666,2.642532 
11.499999,2.639277 
11.533332,2.641881 
11.566666,2.637975 
11.599999,2.635372 
11.633332,2.636023 
11.666666,2.638626 
11.699999,2.637650 
11.733332,2.639277 
11.766665,2.638952 
11.799999,2.645136 
11.833332,2.641881 
11.866665,2.642532 
11.899999,2.640905 
11.933332,2.639928 
11.966665,2.640579 
11.999999,2.644159 
12.033332,2.640579 
12.066665,2.639277 
12.099999,2.638626 
12.133332,2.638301 
12.166665,2.642207 
12.199999,2.639928 
12.233332,2.637324 
12.266665,2.639928 
12.299999,2.640905 
12.333332,2.637975 
12.366665,2.641556 
12.399999,2.641881 
12.433332,2.640254 
12.466665,2.636348 
12.499999,2.639277 
12.533332,2.639928 
12.566665,2.641881 
12.599999,2.644810 
12.633332,2.642207 
12.666665,2.636673 
12.699999,2.633093 
12.733332,2.639277 
12.766665,2.643508 
12.799999,2.639603 
12.833332,2.644485 
12.866665,2.639603 
12.899999,2.643508 
12.933332,2.640579 
12.966665,2.636999 
12.999999,2.632117 
13.033332,2.641230 
13.066665,2.638952 
13.099999,2.642207 
13.133332,2.643183 
13.166665,2.641881 
13.199999,2.639603 
13.233332,2.638952 
13.266665,2.642857 
13.299999,2.643834 
13.333332,2.639603 
13.366665,2.634395 
13.399999,2.640254 
13.433332,2.639277 
13.466665,2.642207 
13.499999,2.641230 
13.533332,2.640254 
13.566665,2.646438 
13.599999,2.642532 
13.633332,2.642532 
13.666665,2.641556 
13.699999,2.640579 
13.733332,2.638952 
13.766665,2.638626 
13.799999,2.640905 
13.833332,2.641556 
13.866665,2.639277 
13.899999,2.642207 
13.933332,2.638301 
13.966665,2.641556 
13.999999,2.642532 
14.033332,2.643834 
14.066665,2.644485 
14.099999,2.641230 
14.133332,2.642857 
14.166665,2.639928 
14.199999,2.640254 
14.233332,2.640905 
14.266665,2.642857 
14.299999,2.640254 
14.333332,2.637975 
14.366665,2.641556 
14.399999,2.641556 
14.433332,2.640254 
14.466665,2.638626 
14.499999,2.638626 
14.533332,2.641881 
14.566665,2.639277 
14.599999,2.639928 
14.633332,2.638952 
14.666665,2.638301 
14.699999,2.635372 
14.733332,2.633093 
14.766665,2.634721 
14.799999,2.641230 
14.833332,2.638952 
14.866665,2.639603 
14.899999,2.636023 
14.933332,2.640254 
14.966665,2.636023 
14.999999,2.638301 
15.033332,2.640905 
15.066665,2.640254 
15.099998,2.640905 
15.133332,2.637324 
15.166665,2.640579 
15.199998,2.638952 
15.233332,2.635372 
15.266665,2.641556 
15.299998,2.638952 
15.333332,2.640579 
15.366665,2.639603 
15.399998,2.643183 
15.433332,2.639277 
15.466665,2.644485 
15.499998,2.640254 
15.533332,2.639928 
15.566665,2.644810 
15.599998,2.641881 
15.633332,2.634721 
15.666665,2.639603 
15.699998,2.642207 
15.733332,2.642207 
15.766665,2.640254 
15.799998,2.637650 
15.833332,2.641230 
15.866665,2.639277 
15.899998,2.632768 
15.933332,2.638626 
15.966665,2.639603 
15.999998,2.641230 
16.033332,2.641230 
16.066665,2.640905 
16.099998,2.643183 
16.133332,2.638626 
16.166665,2.641556 
16.199998,2.636023 
16.233332,2.637650 
16.266665,2.636348 
16.299998,2.640254 
16.333332,2.643508 
16.366665,2.640579 
16.399998,2.641556 
16.433332,2.643508 
16.466665,2.632117 
16.499998,2.635046 
16.533332,2.641230 
16.566665,2.638301 
16.599998,2.642857 
16.633332,2.641230 
16.666665,2.638626 
16.699998,2.640905 
16.733332,2.637975 
16.766665,2.636023 
16.799998,2.633093 
16.833332,2.635697 
16.866665,2.635372 
16.899998,2.637650 
16.933332,2.640579 
16.966665,2.639928 
16.999998,2.638952 
17.033332,2.634070 
17.066665,2.643183 
17.099998,2.640905 
17.133332,2.641881 
17.166665,2.642532 
17.199998,2.642207 
17.233332,2.641556 
17.266665,2.641556 
17.299998,2.642857 
17.333332,2.636999 
17.366665,2.639928 
17.399998,2.642532 
17.433332,2.641556 
17.466665,2.644159 
17.499998,2.643508 
17.533332,2.641556 
17.566665,2.640905 
17.599998,2.639277 
17.633332,2.637650 
17.666665,2.638626 
17.699998,2.638626 
17.733332,2.638952 
17.766665,2.637650 
17.799998,2.639603 
17.833332,2.642857 
17.866665,2.641556 
17.899998,2.642207 
17.933332,2.638301 
17.966665,2.638952 
17.999998,2.640254 
18.033332,2.642857 
18.066665,2.631791 
18.099998,2.638626 
18.133332,2.636999 
18.166665,2.641556 
18.199998,2.640579 
18.233332,2.640905 
18.266665,2.642207 
18.299998,2.642207 
18.333331,2.638626 
18.366665,2.635046 
18.399998,2.639603 
18.433331,2.640579 
18.466665,2.642532 
18.499998,2.645136 
18.533331,2.632117 
18.566665,2.631466 
18.599998,2.635046 
18.633331,2.642532 
18.666665,2.640905 
18.699998,2.640579 
18.733331,2.640254 
18.766665,2.640905 
18.799998,2.636023 
18.833331,2.640905 
18.866665,2.641230 
18.899998,2.637324 
18.933331,2.639928 
18.966665,2.645136 
18.999998,2.639928 
19.033331,2.642207 
19.066665,2.638626 
19.099998,2.640254 
19.133331,2.641556 
19.166665,2.641556 
19.199998,2.640579 
19.233331,2.640254 
19.266665,2.640254 
19.299998,2.642532 
19.333331,2.642207 
19.366665,2.641881 
19.399998,2.642532 
19.433331,2.643508 
19.466665,2.641230 
19.499998,2.631466 
19.533331,2.639277 
19.566665,2.643834 
19.599998,2.639277 
19.633331,2.637650 
19.666665,2.638301 
19.699998,2.637975 
19.733331,2.637324 
19.766665,2.640579 
19.799998,2.639603 
19.833331,2.645136 
19.866665,2.639603 
19.899998,2.639603 
19.933331,2.633744 
19.966665,2.639928 
