Times (s),Voltage (Volts)
9.633332,2.562791 
9.666666,2.561814 
9.699999,2.561814 
9.733332,2.561814 
9.766666,2.559211 
9.799999,2.559536 
9.833332,2.560838 
9.866666,2.565069 
9.899999,2.561164 
9.933332,2.560187 
9.966666,2.562791 
9.999999,2.563767 
10.033332,2.560513 
10.066666,2.563116 
10.099999,2.562791 
10.133332,2.562140 
10.166666,2.561489 
10.199999,2.564418 
10.233332,2.564744 
10.266666,2.563767 
10.299999,2.563767 
10.333332,2.562791 
10.366666,2.560513 
10.399999,2.564418 
10.433332,2.558885 
10.466666,2.560838 
10.499999,2.563116 
10.533332,2.563442 
10.566666,2.562140 
10.599999,2.562791 
10.633332,2.560513 
10.666666,2.562465 
10.699999,2.561489 
10.733332,2.564093 
10.766666,2.560187 
10.799999,2.562791 
10.833332,2.561814 
10.866666,2.560838 
10.899999,2.559862 
10.933332,2.559862 
10.966666,2.560838 
10.999999,2.561814 
11.033332,2.560513 
11.066666,2.559211 
11.099999,2.558560 
11.133332,2.561814 
11.166666,2.562791 
11.199999,2.562140 
11.233332,2.562140 
11.266666,2.561814 
11.299999,2.559862 
11.333332,2.563767 
11.366666,2.561814 
11.399999,2.561814 
11.433332,2.562791 
11.466666,2.563767 
11.499999,2.562465 
11.533332,2.562791 
11.566666,2.562791 
11.599999,2.562465 
11.633332,2.559211 
11.666666,2.560187 
11.699999,2.562140 
11.733332,2.563767 
11.766665,2.562465 
11.799999,2.562791 
11.833332,2.562140 
11.866665,2.561164 
11.899999,2.560187 
11.933332,2.560187 
11.966665,2.557583 
11.999999,2.562140 
12.033332,2.559862 
12.066665,2.566371 
12.099999,2.563442 
12.133332,2.561489 
12.166665,2.561489 
12.199999,2.563116 
12.233332,2.561489 
12.266665,2.563116 
12.299999,2.562791 
12.333332,2.562465 
12.366665,2.564093 
12.399999,2.562791 
12.433332,2.562791 
12.466665,2.562140 
12.499999,2.565395 
12.533332,2.562140 
12.566665,2.559211 
12.599999,2.563442 
12.633332,2.563442 
12.666665,2.563767 
12.699999,2.560513 
12.733332,2.561814 
12.766665,2.562465 
12.799999,2.563442 
12.833332,2.559536 
12.866665,2.561814 
12.899999,2.560513 
12.933332,2.560513 
12.966665,2.562465 
12.999999,2.558234 
13.033332,2.560838 
13.066665,2.561489 
13.099999,2.560513 
13.133332,2.561814 
13.166665,2.559862 
13.199999,2.563767 
13.233332,2.562791 
13.266665,2.564418 
13.299999,2.563767 
13.333332,2.561489 
13.366665,2.562465 
13.399999,2.561164 
13.433332,2.561489 
13.466665,2.561489 
13.499999,2.564418 
13.533332,2.560187 
13.566665,2.560513 
13.599999,2.563767 
13.633332,2.560187 
13.666665,2.563116 
13.699999,2.561489 
13.733332,2.561164 
13.766665,2.565720 
13.799999,2.561489 
13.833332,2.562140 
13.866665,2.561814 
13.899999,2.563442 
13.933332,2.563767 
13.966665,2.561164 
13.999999,2.561489 
14.033332,2.562465 
14.066665,2.561164 
14.099999,2.559211 
14.133332,2.563767 
14.166665,2.561814 
14.199999,2.561814 
14.233332,2.562465 
14.266665,2.563767 
14.299999,2.563442 
14.333332,2.560838 
14.366665,2.564093 
14.399999,2.564093 
14.433332,2.565069 
14.466665,2.561814 
14.499999,2.563116 
14.533332,2.555305 
14.566665,2.561164 
14.599999,2.561489 
14.633332,2.564418 
14.666665,2.560838 
14.699999,2.562791 
14.733332,2.561489 
14.766665,2.563442 
14.799999,2.562140 
14.833332,2.561164 
14.866665,2.562140 
14.899999,2.562791 
14.933332,2.564418 
14.966665,2.563116 
14.999999,2.562140 
15.033332,2.563767 
15.066665,2.562465 
15.099998,2.559862 
15.133332,2.562140 
15.166665,2.562791 
15.199998,2.563116 
15.233332,2.560513 
15.266665,2.561164 
15.299998,2.559862 
15.333332,2.564093 
15.366665,2.564418 
15.399998,2.564744 
15.433332,2.559862 
15.466665,2.562140 
15.499998,2.559536 
15.533332,2.561164 
15.566665,2.563116 
15.599998,2.564744 
15.633332,2.561164 
15.666665,2.561164 
15.699998,2.559211 
15.733332,2.563767 
15.766665,2.560838 
15.799998,2.562791 
15.833332,2.564744 
15.866665,2.563767 
15.899998,2.561489 
15.933332,2.563442 
15.966665,2.561489 
15.999998,2.564418 
16.033332,2.563442 
16.066665,2.563767 
16.099998,2.562140 
16.133332,2.562465 
16.166665,2.560513 
16.199998,2.560838 
16.233332,2.559211 
16.266665,2.562465 
16.299998,2.563442 
16.333332,2.564744 
16.366665,2.560513 
16.399998,2.564093 
16.433332,2.562140 
16.466665,2.559211 
16.499998,2.562465 
16.533332,2.563767 
16.566665,2.563116 
16.599998,2.564093 
16.633332,2.562465 
16.666665,2.557583 
16.699998,2.565069 
16.733332,2.563116 
16.766665,2.562465 
16.799998,2.563767 
16.833332,2.561814 
16.866665,2.561814 
16.899998,2.562140 
16.933332,2.561489 
16.966665,2.564093 
16.999998,2.561814 
17.033332,2.562465 
17.066665,2.561164 
17.099998,2.561814 
17.133332,2.561164 
17.166665,2.563442 
17.199998,2.559211 
17.233332,2.560838 
17.266665,2.564093 
17.299998,2.563116 
17.333332,2.563442 
17.366665,2.562791 
17.399998,2.559536 
17.433332,2.565069 
17.466665,2.563442 
17.499998,2.562140 
17.533332,2.560513 
17.566665,2.560187 
17.599998,2.561814 
17.633332,2.561164 
17.666665,2.562465 
17.699998,2.562791 
17.733332,2.562140 
17.766665,2.561164 
17.799998,2.565720 
17.833332,2.560187 
17.866665,2.563767 
17.899998,2.562791 
17.933332,2.561489 
17.966665,2.560513 
17.999998,2.562140 
18.033332,2.563442 
18.066665,2.562465 
18.099998,2.561489 
18.133332,2.563116 
18.166665,2.562140 
18.199998,2.560187 
18.233332,2.562791 
18.266665,2.562791 
18.299998,2.562465 
18.333331,2.563442 
18.366665,2.560513 
18.399998,2.564418 
18.433331,2.562791 
18.466665,2.562465 
18.499998,2.558560 
18.533331,2.561489 
18.566665,2.562791 
18.599998,2.560838 
18.633331,2.560187 
18.666665,2.562465 
18.699998,2.560513 
18.733331,2.564744 
18.766665,2.560513 
18.799998,2.560513 
18.833331,2.562465 
18.866665,2.563767 
18.899998,2.561489 
18.933331,2.562791 
18.966665,2.563767 
18.999998,2.561164 
19.033331,2.562465 
19.066665,2.560187 
19.099998,2.561489 
19.133331,2.563767 
19.166665,2.565395 
19.199998,2.563442 
19.233331,2.564093 
19.266665,2.565395 
19.299998,2.564093 
19.333331,2.560513 
19.366665,2.563116 
19.399998,2.563116 
19.433331,2.563442 
19.466665,2.564093 
19.499998,2.562465 
19.533331,2.562791 
19.566665,2.562140 
19.599998,2.564744 
19.633331,2.561814 
19.666665,2.561489 
19.699998,2.562465 
19.733331,2.563116 
19.766665,2.565069 
19.799998,2.561164 
19.833331,2.560187 
19.866665,2.562791 
19.899998,2.559536 
19.933331,2.561814 
19.966665,2.563767 
