# throttle_pct,loadcell_V,current_V
10.000000,0.097441,2.523566
15.000000,0.104665,2.528500
20.000000,0.114768,2.538504
25.000000,0.126817,2.557498
30.000000,0.141212,2.578208
35.000000,0.158411,2.612449
40.000000,0.175837,2.655708
45.000000,0.194045,2.709033
50.000000,0.215556,2.771530
55.000000,0.237289,2.845795
60.000000,0.260780,2.927234
65.000000,0.282822,3.024219
70.000000,0.308232,3.130939
