Time(s) 	 Volt (v) 
11.85000 	 37.29516 
11.90000 	 28.79542 
11.95000 	 17.11994 
12.00000 	 2.73576 
12.05000 	 -12.02204 
12.10000 	 -25.93921 
12.15000 	 -36.58724 
12.20000 	 -44.05954 
12.25000 	 -46.95506 
12.30000 	 -45.27379 
12.35000 	 -39.94978 
12.40000 	 -30.32919 
12.45000 	 -18.28010 
12.50000 	 -4.73655 
12.55000 	 8.43339 
12.60000 	 20.29567 
12.65000 	 29.07563 
12.70000 	 33.83922 
12.75000 	 34.39965 
12.80000 	 30.66349 
12.85000 	 23.37800 
12.90000 	 13.10358 
12.95000 	 0.77428 
13.00000 	 -11.83523 
13.05000 	 -23.51071 
13.10000 	 -32.66428 
13.15000 	 -38.64212 
13.20000 	 -40.97722 
13.25000 	 -39.10914 
13.30000 	 -33.87853 
13.35000 	 -25.37879 
13.40000 	 -14.63735 
13.45000 	 -3.14868 
13.50000 	 8.24658 
13.55000 	 17.77377 
13.60000 	 24.77905 
13.65000 	 28.23500 
13.70000 	 27.95478 
13.75000 	 24.03182 
13.80000 	 17.21335 
13.85000 	 7.87297 
13.90000 	 -2.58826 
13.95000 	 -13.32970 
14.00000 	 -22.38986 
14.05000 	 -29.76876 
14.10000 	 -34.06534 
14.15000 	 -34.81257 
14.20000 	 -32.47747 
14.25000 	 -27.06005 
14.30000 	 -19.30754 
14.35000 	 -10.15397 
14.40000 	 -0.53337 
14.45000 	 8.43339 
14.50000 	 15.99910 
14.55000 	 21.22971 
14.60000 	 22.72417 
14.65000 	 21.69673 
14.70000 	 17.40015 
14.75000 	 10.76848 
14.80000 	 2.73576 
14.85000 	 -6.23101 
14.90000 	 -14.63735 
14.95000 	 -21.82944 
15.00000 	 -26.87325 
15.05000 	 -29.20834 
15.10000 	 -28.92813 
15.15000 	 -26.31282 
15.20000 	 -20.98881 
15.25000 	 -13.89012 
15.30000 	 -6.04420 
15.35000 	 1.98853 
15.40000 	 8.52679 
15.45000 	 14.13102 
15.50000 	 17.11994 
15.55000 	 17.30675 
15.60000 	 14.97166 
15.65000 	 10.86189 
15.70000 	 5.07085 
15.75000 	 -1.84103 
15.80000 	 -9.12652 
15.85000 	 -15.29117 
15.90000 	 -20.61519 
15.95000 	 -23.51071 
16.00000 	 -24.35134 
16.05000 	 -23.04369 
16.10000 	 -19.68115 
16.15000 	 -14.91756 
16.20000 	 -9.12652 
16.25000 	 -2.86847 
16.30000 	 3.01597 
16.35000 	 7.87297 
16.40000 	 11.14210 
16.45000 	 12.26295 
16.50000 	 11.60912 
16.55000 	 8.99381 
16.60000 	 5.25766 
16.65000 	 0.12045 
16.70000 	 -5.20356 
16.75000 	 -10.52758 
16.80000 	 -14.91756 
16.85000 	 -17.99989 
16.90000 	 -19.21413 
16.95000 	 -19.02733 
17.00000 	 -17.06585 
17.05000 	 -14.26373 
17.10000 	 -10.06056 
17.15000 	 -5.39037 
17.20000 	 -1.00039 
17.25000 	 2.82916 
17.30000 	 5.72468 
17.35000 	 7.31254 
17.40000 	 7.40595 
17.45000 	 6.09829 
17.50000 	 3.66980 
17.55000 	 0.49407 
17.60000 	 -3.33549 
17.65000 	 -7.25845 
17.70000 	 -10.52758 
17.75000 	 -13.14289 
17.80000 	 -14.63735 
17.85000 	 -14.91756 
17.90000 	 -14.07693 
17.95000 	 -12.30225 
18.00000 	 -9.68695 
18.05000 	 -7.07164 
18.10000 	 -3.80251 
18.15000 	 -1.00039 
18.20000 	 1.42810 
18.25000 	 2.73576 
18.30000 	 3.10937 
18.35000 	 2.64235 
18.40000 	 1.42810 
18.45000 	 -0.53337 
18.50000 	 -2.77507 
18.55000 	 -5.01676 
18.60000 	 -7.25845 
18.65000 	 -9.12652 
18.70000 	 -10.15397 
18.75000 	 -10.62099 
18.80000 	 -10.24737 
18.85000 	 -9.50014 
18.90000 	 -8.09908 
18.95000 	 -7.07164 
19.00000 	 -5.11016 
19.05000 	 -3.70910 
19.10000 	 -2.40145 
19.15000 	 -1.37401 
19.20000 	 -1.09380 
19.25000 	 -1.18720 
19.30000 	 -1.46741 
19.35000 	 -2.30805 
19.40000 	 -3.24208 
19.45000 	 -4.17612 
19.50000 	 -4.92335 
19.55000 	 -5.67058 
19.60000 	 -6.41781 
19.65000 	 -6.69803 
19.70000 	 -6.60462 
19.75000 	 -6.51122 
19.80000 	 -6.32441 
19.85000 	 -5.95080 
19.90000 	 -5.76399 
19.95000 	 -5.48378 
