Time(s) 	 Volt (v) 
0.00000 	 2.96473 
0.05000 	 2.96473 
0.10000 	 2.96602 
0.15000 	 2.96602 
0.20000 	 2.96602 
0.25000 	 2.96473 
0.30000 	 2.96602 
0.35000 	 2.96473 
0.40000 	 2.96602 
0.45000 	 2.96602 
0.50000 	 2.96602 
0.55000 	 2.96602 
0.60000 	 2.96602 
0.65000 	 2.96602 
0.70000 	 2.96473 
0.75000 	 2.96602 
0.80000 	 2.96602 
0.85000 	 2.96602 
0.90000 	 2.96602 
0.95000 	 2.96602 
1.00000 	 2.96602 
1.05000 	 2.96602 
1.10000 	 2.96602 
1.15000 	 2.96602 
1.20000 	 2.96602 
1.25000 	 2.96473 
1.30000 	 2.96602 
1.35000 	 2.96602 
1.40000 	 2.96602 
1.45000 	 2.96602 
1.50000 	 2.96602 
1.55000 	 2.96602 
1.60000 	 2.96602 
1.65000 	 2.96602 
1.70000 	 2.96602 
1.75000 	 2.96602 
1.80000 	 2.96602 
1.85000 	 2.96602 
1.90000 	 2.96602 
1.95000 	 2.96602 
2.00000 	 2.96602 
2.05000 	 2.96602 
2.10000 	 2.96602 
2.15000 	 2.96602 
2.20000 	 2.96473 
2.25000 	 2.96602 
2.30000 	 2.96473 
2.35000 	 2.96473 
2.40000 	 2.96602 
2.45000 	 2.96602 
2.50000 	 2.96602 
2.55000 	 2.96602 
2.60000 	 2.96602 
2.65000 	 2.96602 
2.70000 	 2.96602 
2.75000 	 2.96602 
2.80000 	 2.96473 
2.85000 	 2.96602 
2.90000 	 2.96473 
2.95000 	 2.96473 
3.00000 	 2.96473 
3.05000 	 2.96602 
3.10000 	 2.96473 
3.15000 	 2.96473 
3.20000 	 2.96473 
3.25000 	 2.96473 
3.30000 	 2.96473 
3.35000 	 2.96473 
3.40000 	 2.96473 
3.45000 	 2.96473 
3.50000 	 2.96473 
3.55000 	 2.96473 
3.60000 	 2.96344 
3.65000 	 2.96344 
3.70000 	 2.96344 
3.75000 	 2.96344 
3.80000 	 2.96344 
3.85000 	 2.96344 
3.90000 	 2.96344 
3.95000 	 2.96344 
4.00000 	 2.96344 
4.05000 	 2.96344 
4.10000 	 2.96344 
4.15000 	 2.96344 
4.20000 	 2.96344 
4.25000 	 2.96344 
4.30000 	 2.96344 
4.35000 	 2.96344 
4.40000 	 2.96344 
4.45000 	 2.96344 
4.50000 	 2.96344 
4.55000 	 2.96344 
4.60000 	 2.96344 
4.65000 	 2.96344 
4.70000 	 2.96344 
4.75000 	 2.96344 
4.80000 	 2.96344 
4.85000 	 2.96344 
4.90000 	 2.96344 
4.95000 	 2.96344 
