Times (s),Voltage (Volts)
0.182000,2.401444 
-9.792777,0.183000 
2.540685,-9.715726 
0.184000,2.471065 
-9.715726,0.185000 
2.494271,-9.746546 
0.186000,2.424651 
-9.761956,0.187000 
2.447858,-9.777367 
0.188000,2.633513 
-9.777367,0.189000 
2.447858,-9.654085 
0.190000,2.447858 
-9.684906,0.191000 
2.494271,-9.731136 
0.192000,2.471065 
-9.808187,0.193000 
2.471065,-9.669495 
0.194000,2.378237 
-9.746546,0.195000 
2.494271,-9.808187 
0.196000,2.424651 
-9.700316,0.197000 
2.471065,-9.746546 
0.198000,2.517478 
-9.900648,0.199000 
2.494271,-9.777367 
0.200000,2.424651 
-9.869828,0.201000 
2.447858,-9.731136 
0.202000,2.471065 
-9.761956,0.203000 
2.401444,-9.854417 
0.204000,2.563892 
-9.746546,0.205000 
2.494271,-9.715726 
0.206000,2.447858 
-9.746546,0.207000 
2.517478,-9.808187 
0.208000,2.447858 
-9.761956,0.209000 
2.471065,-9.731136 
0.210000,2.471065 
-9.777367,0.211000 
2.563892,-9.746546 
0.212000,2.401444 
-9.669495,0.213000 
2.587099,-9.839007 
0.214000,2.471065 
-9.623265,0.215000 
2.540685,-9.715726 
0.216000,2.471065 
-9.731136,0.217000 
2.517478,-9.761956 
0.218000,2.424651 
-9.761956,0.219000 
2.378237,-9.669495 
0.220000,2.494271 
-9.700316,0.221000 
2.494271,-9.792777 
0.222000,2.471065 
-9.792777,0.223000 
2.471065,-9.746546 
0.224000,2.471065 
-9.823597,0.225000 
2.587099,-9.731136 
0.226000,2.610306 
-9.669495,0.227000 
2.471065,-9.746546 
0.228000,2.494271 
-9.777367,0.229000 
2.471065,-9.823597 
0.230000,2.517478 
-9.854417,0.231000 
2.447858,-9.746546 
0.232000,2.424651 
-9.761956,0.233000 
2.378237,-9.777367 
0.234000,2.471065 
-9.746546,0.235000 
2.494271,-9.792777 
0.236000,2.447858 
-9.823597,0.237000 
2.517478,-9.823597 
0.238000,2.424651 
-9.808187,0.239000 
2.471065,-9.746546 
0.240000,2.540685 
-9.761956,0.241000 
2.447858,-9.869828 
0.242000,2.424651 
-9.792777,0.243000 
2.471065,-9.869828 
0.244000,2.447858 
-9.746546,0.245000 
2.494271,-9.808187 
0.246000,2.447858 
-9.885238,0.247000 
2.447858,-9.854417 
0.248000,2.424651 
-9.931468,0.249000 
2.447858,-9.777367 
0.250000,2.424651 
-9.761956,0.251000 
2.447858,-9.839007 
0.252000,2.540685 
-9.654085,0.253000 
2.447858,-9.777367 
0.254000,2.447858 
-9.684906,0.255000 
2.471065,-9.777367 
0.256000,2.378237 
-9.731136,0.257000 
2.401444,-9.684906 
0.258000,2.378237 
-9.607855,0.259000 
2.517478,-9.684906 
0.260000,2.447858 
-9.746546,0.261000 
2.633513,-9.792777 
0.262000,2.749547 
-9.715726,0.263000 
2.563892,-9.777367 
0.264000,2.587099 
-9.684906,0.265000 
2.563892,-9.700316 
0.266000,2.587099 
-9.792777,0.267000 
2.517478,-9.607855 
0.268000,2.517478 
-9.623265,0.269000 
2.517478,-9.746546 
0.270000,2.563892 
-9.715726,0.271000 
2.471065,-9.761956 
0.272000,2.633513 
-9.731136,0.273000 
2.633513,-9.654085 
0.274000,2.795961 
-9.684906,0.275000 
2.563892,-9.654085 
0.276000,2.703133 
-9.607855,0.277000 
2.587099,-9.607855 
0.278000,2.703133 
-9.654085,0.279000 
2.540685,-9.561624 
0.280000,2.517478 
-9.669495,0.281000 
2.563892,-9.654085 
0.282000,2.587099 
-9.684906,0.283000 
2.563892,-9.623265 
0.284000,2.563892 
-9.700316,0.285000 
2.540685,-9.669495 
0.286000,2.563892 
-9.761956,0.287000 
2.679926,-9.684906 
0.288000,2.633513 
-9.638675,0.289000 
2.587099,-9.684906 
0.290000,2.587099 
-9.684906,0.291000 
2.540685,-9.777367 
0.292000,2.587099 
-9.669495,0.293000 
2.587099,-9.746546 
0.294000,2.656720 
-9.777367,0.295000 
2.424651,-9.777367 
0.296000,2.494271 
-9.746546,0.297000 
2.679926,-9.638675 
0.298000,2.494271 
-9.669495,0.299000 
2.610306,-9.808187 
0.300000,2.447858 
-9.792777,0.301000 
2.563892,-9.777367 
0.302000,2.540685 
-9.854417,0.303000 
2.587099,-9.792777 
0.304000,2.563892 
-9.777367,0.305000 
2.494271,-9.854417 
0.306000,2.610306 
-9.700316,0.307000 
2.517478,-9.792777 
0.308000,2.587099 
-9.777367,0.309000 
2.471065,-9.684906 
0.310000,2.633513 
-9.823597,0.311000 
2.587099,-9.792777 
0.312000,2.656720 
-9.823597,0.313000 
2.540685,-9.684906 
0.314000,2.540685 
-9.669495,0.315000 
2.610306,-9.638675 
0.316000,2.679926 
-9.654085,0.317000 
2.587099,-9.777367 
0.318000,2.424651 
-9.869828,0.319000 
2.633513,-9.700316 
0.320000,2.633513 
-9.839007,0.321000 
2.610306,-9.823597 
0.322000,2.633513 
-9.808187,0.323000 
2.540685,-9.946878 
0.324000,2.540685 
-9.839007,0.325000 
2.610306,-9.823597 
0.326000,2.656720 
-9.746546,0.327000 
2.656720,-9.746546 
0.328000,2.563892 
-9.761956,0.329000 
2.563892,-9.746546 
0.330000,2.656720 
-9.684906,0.331000 
2.633513,-9.839007 
0.332000,2.656720 
-9.916058,0.333000 
2.471065,-9.761956 
0.334000,2.563892 
