Time(s) 	 Volt (v) 
0.00000 	 3.67302 
0.05000 	 3.67431 
0.10000 	 3.67302 
0.15000 	 3.67302 
0.20000 	 3.67302 
0.25000 	 3.67302 
0.30000 	 3.67302 
0.35000 	 3.67302 
0.40000 	 3.67302 
0.45000 	 3.67431 
0.50000 	 3.67302 
0.55000 	 3.67302 
0.60000 	 3.67302 
0.65000 	 3.67431 
0.70000 	 3.67431 
0.75000 	 3.67431 
0.80000 	 3.67431 
0.85000 	 3.67431 
0.90000 	 3.67431 
0.95000 	 3.67431 
1.00000 	 3.67431 
1.05000 	 3.67431 
1.10000 	 3.67431 
1.15000 	 3.67431 
1.20000 	 3.67431 
1.25000 	 3.67431 
1.30000 	 3.67431 
1.35000 	 3.67431 
1.40000 	 3.67431 
1.45000 	 3.67431 
1.50000 	 3.67559 
1.55000 	 3.67431 
1.60000 	 3.67431 
1.65000 	 3.67431 
1.70000 	 3.67431 
1.75000 	 3.67431 
1.80000 	 3.67431 
1.85000 	 3.67431 
1.90000 	 3.67431 
1.95000 	 3.67431 
2.00000 	 3.67431 
2.05000 	 3.67431 
2.10000 	 3.67559 
2.15000 	 3.67431 
2.20000 	 3.67559 
2.25000 	 3.67431 
2.30000 	 3.67559 
2.35000 	 3.67559 
2.40000 	 3.67559 
2.45000 	 3.67559 
2.50000 	 3.67431 
2.55000 	 3.67559 
2.60000 	 3.67559 
2.65000 	 3.67559 
2.70000 	 3.67559 
2.75000 	 3.67559 
2.80000 	 3.67559 
2.85000 	 3.67559 
2.90000 	 3.67559 
2.95000 	 3.67559 
3.00000 	 3.67559 
3.05000 	 3.67559 
3.10000 	 3.67559 
3.15000 	 3.67688 
3.20000 	 3.67559 
3.25000 	 3.67688 
3.30000 	 3.67559 
3.35000 	 3.67559 
3.40000 	 3.67688 
3.45000 	 3.67559 
3.50000 	 3.67559 
3.55000 	 3.67431 
3.60000 	 3.67431 
3.65000 	 3.67431 
3.70000 	 3.67559 
3.75000 	 3.67559 
3.80000 	 3.67559 
3.85000 	 3.67559 
3.90000 	 3.67559 
3.95000 	 3.67431 
4.00000 	 3.67559 
4.05000 	 3.67431 
4.10000 	 3.67559 
4.15000 	 3.67559 
4.20000 	 3.67559 
4.25000 	 3.67559 
4.30000 	 3.67559 
4.35000 	 3.67559 
4.40000 	 3.67559 
4.45000 	 3.67431 
4.50000 	 3.67559 
4.55000 	 3.67559 
4.60000 	 3.67431 
4.65000 	 3.67559 
4.70000 	 3.67559 
4.75000 	 3.67559 
4.80000 	 3.67559 
4.85000 	 3.67559 
4.90000 	 3.67431 
4.95000 	 3.67559 
