Time(s) 	 Volt (v) 
0.00000 	 3.18623 
0.05000 	 3.18623 
0.10000 	 3.18623 
0.15000 	 3.18623 
0.20000 	 3.18623 
0.25000 	 3.18623 
0.30000 	 3.18623 
0.35000 	 3.18752 
0.40000 	 3.18623 
0.45000 	 3.18752 
0.50000 	 3.18623 
0.55000 	 3.18623 
0.60000 	 3.18752 
0.65000 	 3.18752 
0.70000 	 3.18623 
0.75000 	 3.18623 
0.80000 	 3.18752 
0.85000 	 3.18752 
0.90000 	 3.18623 
0.95000 	 3.18623 
1.00000 	 3.18623 
1.05000 	 3.18752 
1.10000 	 3.18752 
1.15000 	 3.18752 
1.20000 	 3.18623 
1.25000 	 3.18752 
1.30000 	 3.18752 
1.35000 	 3.18752 
1.40000 	 3.18623 
1.45000 	 3.18752 
1.50000 	 3.18623 
1.55000 	 3.18623 
1.60000 	 3.18623 
1.65000 	 3.18623 
1.70000 	 3.18623 
1.75000 	 3.18623 
1.80000 	 3.18623 
1.85000 	 3.18752 
1.90000 	 3.18623 
1.95000 	 3.18623 
2.00000 	 3.18623 
2.05000 	 3.18623 
2.10000 	 3.18623 
2.15000 	 3.18623 
2.20000 	 3.18494 
2.25000 	 3.18623 
2.30000 	 3.18623 
2.35000 	 3.18623 
2.40000 	 3.18623 
2.45000 	 3.18623 
2.50000 	 3.18623 
2.55000 	 3.18623 
2.60000 	 3.18623 
2.65000 	 3.18623 
2.70000 	 3.18623 
2.75000 	 3.18623 
2.80000 	 3.18623 
2.85000 	 3.18623 
2.90000 	 3.18623 
2.95000 	 3.18623 
3.00000 	 3.18623 
3.05000 	 3.18623 
3.10000 	 3.18623 
3.15000 	 3.18623 
3.20000 	 3.18752 
3.25000 	 3.18752 
3.30000 	 3.18752 
3.35000 	 3.18752 
3.40000 	 3.18752 
3.45000 	 3.18752 
3.50000 	 3.18623 
3.55000 	 3.18752 
3.60000 	 3.18752 
3.65000 	 3.18623 
3.70000 	 3.18623 
3.75000 	 3.18752 
3.80000 	 3.18752 
3.85000 	 3.18752 
3.90000 	 3.18752 
3.95000 	 3.18752 
4.00000 	 3.18752 
4.05000 	 3.18623 
4.10000 	 3.18752 
4.15000 	 3.18752 
4.20000 	 3.18752 
4.25000 	 3.18623 
4.30000 	 3.18752 
4.35000 	 3.18752 
4.40000 	 3.18623 
4.45000 	 3.18752 
4.50000 	 3.18752 
4.55000 	 3.18752 
4.60000 	 3.18752 
4.65000 	 3.18752 
4.70000 	 3.18752 
4.75000 	 3.18752 
4.80000 	 3.18752 
4.85000 	 3.18752 
4.90000 	 3.18752 
4.95000 	 3.18752 
