time (s) 	 Voltage (V) 
0.244000 	 2.464389 
0.245000 	 2.473402 
0.246000 	 2.481126 
0.247000 	 2.492713 
0.248000 	 2.503013 
0.249000 	 2.512025 
0.250000 	 2.524899 
0.251000 	 2.531336 
0.252000 	 2.541636 
0.253000 	 2.551936 
0.254000 	 2.563522 
0.255000 	 2.572535 
0.256000 	 2.582834 
0.257000 	 2.591846 
0.258000 	 2.603433 
0.259000 	 2.612445 
0.260000 	 2.622745 
0.261000 	 2.633044 
0.262000 	 2.643344 
0.263000 	 2.652356 
0.264000 	 2.663943 
0.265000 	 2.674243 
0.266000 	 2.684542 
0.267000 	 2.697416 
0.268000 	 2.705141 
0.269000 	 2.716728 
0.270000 	 2.725740 
0.271000 	 2.739902 
0.272000 	 2.745052 
0.273000 	 2.757926 
0.274000 	 2.768226 
0.275000 	 2.778525 
0.276000 	 2.787537 
0.277000 	 2.799124 
0.278000 	 2.809424 
0.279000 	 2.822298 
0.280000 	 2.830023 
0.281000 	 2.840323 
0.282000 	 2.851910 
0.283000 	 2.863497 
0.284000 	 2.873796 
0.285000 	 2.882808 
0.286000 	 2.893108 
0.287000 	 2.905982 
0.288000 	 2.914994 
0.289000 	 2.926581 
0.290000 	 2.936881 
0.291000 	 2.948468 
0.292000 	 2.960055 
0.293000 	 2.969067 
0.294000 	 2.980654 
0.295000 	 2.990953 
0.296000 	 3.002540 
0.297000 	 3.014127 
0.298000 	 3.024427 
0.299000 	 3.036014 
0.300000 	 3.046313 
0.301000 	 3.057900 
0.302000 	 3.068200 
0.303000 	 3.079787 
0.304000 	 3.090086 
0.305000 	 3.102961 
0.306000 	 3.111973 
0.307000 	 3.124847 
0.308000 	 3.135147 
0.309000 	 3.146734 
0.310000 	 3.157033 
0.311000 	 3.168620 
0.312000 	 3.180207 
0.313000 	 3.190507 
0.314000 	 3.203381 
0.315000 	 3.213681 
0.316000 	 3.222693 
0.317000 	 3.235567 
0.318000 	 3.248442 
0.319000 	 3.258741 
0.320000 	 3.270328 
0.321000 	 3.281915 
0.322000 	 3.293502 
0.323000 	 3.303802 
0.324000 	 3.314101 
0.325000 	 3.326976 
