time (s) 	 Voltage (V) 
0.000000 	 1.841267 
0.001000 	 2.521037 
0.002000 	 8.135573 
0.003000 	 7.457091 
0.004000 	 1.839980 
0.005000 	 2.522324 
0.006000 	 8.138148 
0.007000 	 7.454516 
0.008000 	 1.837405 
0.009000 	 2.524899 
0.010000 	 8.139435 
0.011000 	 7.451941 
0.012000 	 1.834830 
0.013000 	 2.527474 
0.014000 	 8.138148 
0.015000 	 7.449366 
0.016000 	 1.832255 
0.017000 	 2.528762 
0.018000 	 8.142010 
0.019000 	 7.446791 
0.020000 	 1.830968 
0.021000 	 2.531336 
0.022000 	 8.144585 
0.023000 	 7.445504 
0.024000 	 1.829680 
0.025000 	 2.532624 
0.026000 	 8.145872 
0.027000 	 7.442929 
0.028000 	 1.827106 
0.029000 	 2.535199 
0.030000 	 8.148447 
0.031000 	 7.440354 
0.032000 	 1.825818 
0.033000 	 2.537774 
0.034000 	 8.151022 
0.035000 	 7.437779 
0.036000 	 1.823243 
0.037000 	 2.539061 
0.038000 	 8.152309 
0.039000 	 7.435204 
0.040000 	 1.821956 
0.041000 	 2.541636 
0.042000 	 8.153597 
0.043000 	 7.432629 
0.044000 	 1.823243 
0.045000 	 2.544211 
0.046000 	 8.156172 
0.047000 	 7.430054 
0.048000 	 1.820668 
0.049000 	 2.546786 
0.050000 	 8.157459 
0.051000 	 7.427479 
0.052000 	 1.818093 
0.053000 	 2.549361 
0.054000 	 8.160034 
0.055000 	 7.426192 
0.056000 	 1.816806 
0.057000 	 2.550648 
0.058000 	 8.161322 
0.059000 	 7.423617 
0.060000 	 1.814231 
0.061000 	 2.557085 
0.062000 	 8.163896 
0.063000 	 7.419755 
0.064000 	 1.811656 
0.065000 	 2.558373 
0.066000 	 8.165184 
0.067000 	 7.418467 
0.068000 	 1.809081 
0.069000 	 2.559660 
0.070000 	 8.167759 
0.071000 	 7.415892 
0.072000 	 1.807794 
0.073000 	 2.562235 
0.074000 	 8.170334 
0.075000 	 7.413318 
0.076000 	 1.806506 
0.077000 	 2.564810 
0.078000 	 8.170334 
0.079000 	 7.410743 
0.080000 	 1.805219 
0.081000 	 2.566097 
0.082000 	 8.171621 
0.083000 	 7.409455 
0.084000 	 1.802644 
0.085000 	 2.568672 
0.086000 	 8.174196 
0.087000 	 7.406880 
0.088000 	 1.800069 
0.089000 	 2.571247 
0.090000 	 8.175483 
0.091000 	 7.403018 
0.092000 	 1.798782 
0.093000 	 2.573822 
0.094000 	 8.178058 
0.095000 	 7.401731 
0.096000 	 1.796207 
0.097000 	 2.575109 
0.098000 	 8.179346 
0.099000 	 7.397868 
0.100000 	 1.794919 
0.101000 	 2.577684 
0.102000 	 8.180633 
0.103000 	 7.396581 
0.104000 	 1.792345 
0.105000 	 2.580259 
0.106000 	 8.183208 
0.107000 	 7.394006 
0.108000 	 1.794919 
0.109000 	 2.581547 
0.110000 	 8.185783 
0.111000 	 7.390144 
0.112000 	 1.792345 
0.113000 	 2.584122 
0.114000 	 8.187070 
0.115000 	 7.388856 
0.116000 	 1.789770 
0.117000 	 2.586696 
0.118000 	 8.188358 
0.119000 	 7.386281 
0.120000 	 1.787195 
0.121000 	 2.589271 
0.122000 	 8.190933 
0.123000 	 7.384994 
0.124000 	 1.785907 
0.125000 	 2.593134 
0.126000 	 8.193508 
0.127000 	 7.382419 
0.128000 	 1.783332 
0.129000 	 2.594421 
0.130000 	 8.194795 
0.131000 	 7.379844 
0.132000 	 1.780758 
0.133000 	 2.596996 
0.134000 	 8.196082 
0.135000 	 7.377269 
0.136000 	 1.779470 
0.137000 	 2.600858 
0.138000 	 8.196082 
0.139000 	 7.374694 
0.140000 	 1.778183 
0.141000 	 2.603433 
0.142000 	 8.198657 
0.143000 	 7.373407 
0.144000 	 1.775608 
0.145000 	 2.604721 
0.146000 	 8.199945 
0.147000 	 7.370832 
0.148000 	 1.773033 
0.149000 	 2.607296 
0.150000 	 8.201232 
0.151000 	 7.368257 
0.152000 	 1.771745 
0.153000 	 2.609870 
0.154000 	 8.203807 
0.155000 	 7.363107 
0.156000 	 1.770458 
0.157000 	 2.611158 
0.158000 	 8.205095 
0.159000 	 7.360532 
0.160000 	 1.767883 
0.161000 	 2.613733 
0.162000 	 8.207669 
0.163000 	 7.359245 
0.164000 	 1.765308 
0.165000 	 2.616308 
0.166000 	 8.210244 
0.167000 	 7.356670 
0.168000 	 1.764021 
0.169000 	 2.618883 
0.170000 	 8.211532 
0.171000 	 7.355383 
0.172000 	 1.764021 
0.173000 	 2.621457 
0.174000 	 8.212819 
0.175000 	 7.352808 
0.176000 	 1.762733 
0.177000 	 2.622745 
0.178000 	 8.215394 
0.179000 	 7.350233 
0.180000 	 1.760159 
0.181000 	 2.625320 
0.182000 	 8.216682 
0.183000 	 7.348945 
0.184000 	 1.758871 
0.185000 	 2.627895 
0.186000 	 8.219256 
0.187000 	 7.346371 
0.188000 	 1.755009 
0.189000 	 2.631757 
0.190000 	 8.220544 
0.191000 	 7.343796 
0.192000 	 1.753721 
0.193000 	 2.634332 
0.194000 	 8.223119 
0.195000 	 7.341221 
0.196000 	 1.752434 
0.197000 	 2.635619 
0.198000 	 8.224406 
0.199000 	 7.338646 
0.200000 	 1.749859 
0.201000 	 2.638194 
0.202000 	 8.221831 
0.203000 	 7.337358 
0.204000 	 1.748572 
0.205000 	 2.642056 
0.206000 	 8.225694 
0.207000 	 7.333496 
0.208000 	 1.747284 
0.209000 	 2.643344 
0.210000 	 8.228269 
0.211000 	 7.332209 
0.212000 	 1.744709 
0.213000 	 2.645919 
0.214000 	 8.229556 
0.215000 	 7.330921 
0.216000 	 1.743422 
0.217000 	 2.647206 
0.218000 	 8.232131 
0.219000 	 7.325771 
0.220000 	 1.740847 
0.221000 	 2.651069 
0.222000 	 8.233418 
0.223000 	 7.323197 
0.224000 	 1.739559 
0.225000 	 2.652356 
0.226000 	 8.235993 
0.227000 	 7.321909 
0.228000 	 1.738272 
0.229000 	 2.654931 
0.230000 	 8.237281 
0.231000 	 7.319334 
0.232000 	 1.735697 
0.233000 	 2.657506 
0.234000 	 8.239856 
0.235000 	 7.316759 
0.236000 	 1.735697 
0.237000 	 2.660081 
0.238000 	 8.241143 
0.239000 	 7.314185 
0.240000 	 1.733122 
0.241000 	 2.662656 
0.242000 	 8.242430 
0.243000 	 7.312897 
0.244000 	 1.731835 
0.245000 	 2.665230 
0.246000 	 8.245005 
0.247000 	 7.309035 
0.248000 	 1.729260 
0.249000 	 2.669093 
0.250000 	 8.247580 
0.251000 	 7.307747 
0.252000 	 1.727972 
0.253000 	 2.671668 
0.254000 	 8.250155 
0.255000 	 7.305172 
0.256000 	 1.726685 
0.257000 	 2.674243 
0.258000 	 8.251443 
0.259000 	 7.302598 
0.260000 	 1.724110 
0.261000 	 2.676817 
0.262000 	 8.252730 
0.263000 	 7.301310 
0.264000 	 1.721535 
0.265000 	 2.678105 
0.266000 	 8.250155 
0.267000 	 7.298735 
0.268000 	 1.721535 
0.269000 	 2.680680 
0.270000 	 8.252730 
0.271000 	 7.294873 
0.272000 	 1.718960 
0.273000 	 2.683255 
0.274000 	 8.256592 
0.275000 	 7.292298 
0.276000 	 1.716385 
0.277000 	 2.684542 
0.278000 	 8.257880 
0.279000 	 7.291011 
0.280000 	 1.715098 
0.281000 	 2.687117 
0.282000 	 8.259167 
0.283000 	 7.288436 
0.284000 	 1.712523 
0.285000 	 2.690979 
0.286000 	 8.261742 
0.287000 	 7.285861 
0.288000 	 1.711236 
0.289000 	 2.692267 
0.290000 	 8.264317 
0.291000 	 7.283286 
0.292000 	 1.709948 
0.293000 	 2.693554 
0.294000 	 8.265604 
0.295000 	 7.280711 
0.296000 	 1.711236 
0.297000 	 2.696129 
0.298000 	 8.268179 
0.299000 	 7.276849 
0.300000 	 1.708661 
0.301000 	 2.698704 
0.302000 	 8.269467 
0.303000 	 7.274274 
0.304000 	 1.707373 
0.305000 	 2.701279 
0.306000 	 8.270754 
0.307000 	 7.272986 
0.308000 	 1.704798 
0.309000 	 2.703854 
0.310000 	 8.272042 
0.311000 	 7.271699 
0.312000 	 1.703511 
0.313000 	 2.709003 
0.314000 	 8.274616 
0.315000 	 7.269124 
0.316000 	 1.700936 
0.317000 	 2.710291 
0.318000 	 8.277191 
0.319000 	 7.265262 
0.320000 	 1.699649 
0.321000 	 2.712866 
0.322000 	 8.278479 
0.323000 	 7.263974 
0.324000 	 1.697074 
0.325000 	 2.714153 
0.326000 	 8.279766 
0.327000 	 7.261399 
0.328000 	 1.694499 
0.329000 	 2.718016 
0.330000 	 8.279766 
0.331000 	 7.258825 
0.332000 	 1.693212 
0.333000 	 2.719303 
0.334000 	 8.283629 
0.335000 	 7.256250 
0.336000 	 1.691924 
0.337000 	 2.721878 
0.338000 	 8.283629 
0.339000 	 7.253675 
0.340000 	 1.690637 
0.341000 	 2.724453 
0.342000 	 8.286203 
0.343000 	 7.249812 
0.344000 	 1.688062 
0.345000 	 2.727028 
0.346000 	 8.288778 
0.347000 	 7.247238 
0.348000 	 1.685487 
0.349000 	 2.729603 
0.350000 	 8.290066 
0.351000 	 7.245950 
0.352000 	 1.685487 
0.353000 	 2.730890 
0.354000 	 8.291353 
0.355000 	 7.243375 
