times (s) 	 Voltage (V) 
0.000000 	 3.029974 
0.001000 	 0.558287 
0.002000 	 1.936840 
0.003000 	 4.406898 
0.004000 	 3.028996 
0.005000 	 0.558287 
0.006000 	 1.937492 
0.007000 	 4.407550 
0.008000 	 3.028996 
0.009000 	 0.557961 
0.010000 	 1.937492 
0.011000 	 4.407876 
0.012000 	 3.028996 
0.013000 	 0.557961 
0.014000 	 1.938795 
0.015000 	 4.408527 
0.016000 	 3.028996 
0.017000 	 0.559590 
0.018000 	 1.938144 
0.019000 	 4.408201 
0.020000 	 3.028996 
0.021000 	 0.558613 
0.022000 	 1.939447 
0.023000 	 4.408853 
0.024000 	 3.028996 
0.025000 	 0.558938 
0.026000 	 1.939121 
0.027000 	 4.408527 
0.028000 	 3.028345 
0.029000 	 0.557961 
0.030000 	 1.938795 
0.031000 	 4.408527 
0.032000 	 3.028019 
0.033000 	 0.559264 
0.034000 	 1.940750 
0.035000 	 4.408527 
0.036000 	 3.028019 
0.037000 	 0.559264 
0.038000 	 1.939447 
0.039000 	 4.409179 
0.040000 	 3.027367 
0.041000 	 0.558613 
0.042000 	 1.940099 
0.043000 	 4.408853 
0.044000 	 3.026390 
0.045000 	 0.558613 
0.046000 	 1.940099 
0.047000 	 4.409505 
0.048000 	 3.027367 
0.049000 	 0.558287 
0.050000 	 1.940099 
0.051000 	 4.407876 
0.052000 	 3.027041 
0.053000 	 0.557961 
0.054000 	 1.940424 
0.055000 	 4.408201 
0.056000 	 3.026390 
0.057000 	 0.558613 
0.058000 	 1.940750 
0.059000 	 4.408201 
0.060000 	 3.026064 
0.061000 	 0.557309 
0.062000 	 1.941076 
0.063000 	 4.407876 
0.064000 	 3.026064 
0.065000 	 0.557309 
0.066000 	 1.941402 
0.067000 	 4.408853 
0.068000 	 3.025738 
0.069000 	 0.558613 
0.070000 	 1.941728 
0.071000 	 4.408527 
0.072000 	 3.025738 
0.073000 	 0.556984 
0.074000 	 1.941402 
0.075000 	 4.408527 
0.076000 	 3.025738 
0.077000 	 0.556984 
0.078000 	 1.941728 
0.079000 	 4.408853 
0.080000 	 3.025412 
0.081000 	 0.560242 
0.082000 	 1.941728 
0.083000 	 4.408853 
0.084000 	 3.023783 
0.085000 	 0.559264 
0.086000 	 1.941402 
0.087000 	 4.410156 
0.088000 	 3.024435 
0.089000 	 0.558287 
0.090000 	 1.942379 
0.091000 	 4.409179 
0.092000 	 3.023457 
0.093000 	 0.558287 
0.094000 	 1.942705 
0.095000 	 4.409505 
0.096000 	 3.023131 
0.097000 	 0.557635 
0.098000 	 1.942705 
0.099000 	 4.409830 
