times (s) 	 Voltage (V) 
0.000000 	 4.426447 
0.001000 	 4.428728 
0.002000 	 4.431986 
0.003000 	 4.434267 
0.004000 	 4.436548 
0.005000 	 4.437525 
0.006000 	 4.442087 
0.007000 	 4.445019 
0.008000 	 4.447300 
0.009000 	 4.448278 
0.010000 	 4.451536 
0.011000 	 4.454794 
0.012000 	 4.455446 
0.013000 	 4.456749 
0.014000 	 4.460985 
0.015000 	 4.462288 
0.016000 	 4.463917 
0.017000 	 4.465220 
0.018000 	 4.467827 
0.019000 	 4.468153 
0.020000 	 4.470433 
0.021000 	 4.471411 
0.022000 	 4.472388 
0.023000 	 4.474995 
0.024000 	 4.474669 
0.025000 	 4.476298 
0.026000 	 4.477276 
0.027000 	 4.478253 
0.028000 	 4.480860 
0.029000 	 4.479882 
0.030000 	 4.480208 
0.031000 	 4.482489 
0.032000 	 4.482489 
0.033000 	 4.483466 
0.034000 	 4.482489 
0.035000 	 4.484118 
0.036000 	 4.484118 
0.037000 	 4.484118 
0.038000 	 4.484118 
0.039000 	 4.483792 
0.040000 	 4.484770 
0.041000 	 4.483792 
0.042000 	 4.483792 
0.043000 	 4.483140 
0.044000 	 4.483792 
0.045000 	 4.482163 
0.046000 	 4.481837 
0.047000 	 4.481186 
0.048000 	 4.481511 
0.049000 	 4.480534 
0.050000 	 4.478579 
0.051000 	 4.477927 
0.052000 	 4.476624 
0.053000 	 4.475321 
0.054000 	 4.474669 
0.055000 	 4.473366 
0.056000 	 4.471411 
0.057000 	 4.470433 
0.058000 	 4.469130 
0.059000 	 4.468153 
0.060000 	 4.465872 
0.061000 	 4.464243 
0.062000 	 4.462614 
0.063000 	 4.460333 
0.064000 	 4.459030 
0.065000 	 4.456423 
0.066000 	 4.455120 
0.067000 	 4.452513 
0.068000 	 4.449907 
0.069000 	 4.445997 
0.070000 	 4.445671 
0.071000 	 4.442739 
0.072000 	 4.440132 
0.073000 	 4.436874 
0.074000 	 4.435570 
0.075000 	 4.432638 
0.076000 	 4.429380 
0.077000 	 4.424818 
0.078000 	 4.422863 
0.079000 	 4.420583 
0.080000 	 4.417324 
0.081000 	 4.412763 
0.082000 	 4.410808 
0.083000 	 4.405595 
0.084000 	 4.403640 
0.085000 	 4.400056 
