times (s) 	 Voltage (V) 
0.244000 	 0.764858 
0.245000 	 0.946015 
0.246000 	 1.165945 
0.247000 	 1.416502 
0.248000 	 1.695732 
0.249000 	 1.992556 
0.250000 	 2.301435 
0.251000 	 2.615854 
0.252000 	 2.926362 
0.253000 	 3.226119 
0.254000 	 3.506326 
0.255000 	 3.763399 
0.256000 	 3.987891 
0.257000 	 4.175890 
0.258000 	 4.321533 
0.259000 	 4.422212 
0.260000 	 4.475972 
0.261000 	 4.478905 
0.262000 	 4.434593 
0.263000 	 4.340756 
0.264000 	 4.200978 
0.265000 	 4.021450 
0.266000 	 3.802172 
0.267000 	 3.550637 
0.268000 	 3.273037 
0.269000 	 2.976865 
0.270000 	 2.666356 
0.271000 	 2.353241 
0.272000 	 2.041103 
0.273000 	 1.741673 
0.274000 	 1.461466 
0.275000 	 1.204718 
0.276000 	 0.979901 
0.277000 	 0.791250 
0.278000 	 0.645607 
0.279000 	 0.544602 
0.280000 	 0.491493 
0.281000 	 0.489212 
0.282000 	 0.532221 
0.283000 	 0.625732 
0.284000 	 0.764206 
0.285000 	 0.946015 
0.286000 	 1.163664 
0.287000 	 1.415851 
0.288000 	 1.693451 
0.289000 	 1.991253 
0.290000 	 2.300132 
0.291000 	 2.613573 
0.292000 	 2.924407 
0.293000 	 3.223838 
0.294000 	 3.506000 
0.295000 	 3.761444 
0.296000 	 3.986262 
0.297000 	 4.173284 
0.298000 	 4.320229 
0.299000 	 4.420908 
0.300000 	 4.475321 
0.301000 	 4.478905 
0.302000 	 4.434593 
0.303000 	 4.341734 
0.304000 	 4.203911 
0.305000 	 4.021776 
0.306000 	 3.803150 
0.307000 	 3.552267 
0.308000 	 3.274666 
0.309000 	 2.977842 
0.310000 	 2.667985 
0.311000 	 2.354544 
0.312000 	 2.043384 
0.313000 	 1.743302 
0.314000 	 1.462443 
0.315000 	 1.205370 
0.316000 	 0.980552 
0.317000 	 0.792553 
0.318000 	 0.646910 
0.319000 	 0.545580 
0.320000 	 0.491167 
0.321000 	 0.487258 
0.322000 	 0.531895 
0.323000 	 0.624429 
0.324000 	 0.763555 
0.325000 	 0.944386 
0.326000 	 1.162361 
0.327000 	 1.413896 
0.328000 	 1.691496 
0.329000 	 1.988972 
0.330000 	 2.298503 
0.331000 	 2.611292 
0.332000 	 2.922778 
0.333000 	 3.221883 
0.334000 	 3.504371 
0.335000 	 3.760467 
0.336000 	 3.984958 
0.337000 	 4.173935 
0.338000 	 4.320555 
0.339000 	 4.421234 
0.340000 	 4.474343 
0.341000 	 4.479231 
0.342000 	 4.434593 
0.343000 	 4.342059 
0.344000 	 4.203585 
0.345000 	 4.021776 
0.346000 	 3.805430 
0.347000 	 3.553896 
0.348000 	 3.276295 
0.349000 	 2.978494 
0.350000 	 2.670266 
0.351000 	 2.356173 
0.352000 	 2.045991 
0.353000 	 1.745909 
0.354000 	 1.464072 
0.355000 	 1.206673 
0.356000 	 0.983159 
0.357000 	 0.794834 
0.358000 	 0.646910 
0.359000 	 0.544928 
0.360000 	 0.491819 
0.361000 	 0.487583 
0.362000 	 0.531895 
0.363000 	 0.623777 
0.364000 	 0.762251 
0.365000 	 0.944060 
0.366000 	 1.161709 
0.367000 	 1.411941 
0.368000 	 1.690193 
0.369000 	 1.987017 
0.370000 	 2.295896 
0.371000 	 2.609663 
0.372000 	 2.921149 
0.373000 	 3.220254 
0.374000 	 3.503067 
0.375000 	 3.759489 
0.376000 	 3.983981 
0.377000 	 4.172632 
0.378000 	 4.319252 
0.379000 	 4.420908 
0.380000 	 4.474669 
0.381000 	 4.479556 
0.382000 	 4.435570 
0.383000 	 4.343037 
0.384000 	 4.204563 
0.385000 	 4.024383 
0.386000 	 3.805756 
0.387000 	 3.554873 
0.388000 	 3.277599 
0.389000 	 2.981100 
0.390000 	 2.671895 
0.391000 	 2.358128 
0.392000 	 2.047294 
0.393000 	 1.746560 
0.394000 	 1.465376 
0.395000 	 1.208954 
0.396000 	 0.984462 
0.397000 	 0.794182 
0.398000 	 0.648214 
0.399000 	 0.545580 
0.400000 	 0.493122 
0.401000 	 0.486606 
0.402000 	 0.530918 
0.403000 	 0.622800 
0.404000 	 0.761926 
0.405000 	 0.941779 
0.406000 	 1.160080 
0.407000 	 1.410963 
0.408000 	 1.688564 
0.409000 	 1.985714 
0.410000 	 2.293941 
0.411000 	 2.607708 
0.412000 	 2.919520 
0.413000 	 3.218625 
0.414000 	 3.500461 
0.415000 	 3.757535 
0.416000 	 3.983329 
0.417000 	 4.171003 
0.418000 	 4.318600 
0.419000 	 4.420908 
0.420000 	 4.474343 
0.421000 	 4.478905 
0.422000 	 4.435896 
0.423000 	 4.344014 
0.424000 	 4.206192 
0.425000 	 4.026012 
0.426000 	 3.807060 
0.427000 	 3.557154 
0.428000 	 3.279553 
0.429000 	 2.982729 
0.430000 	 2.674176 
0.431000 	 2.359757 
0.432000 	 2.048597 
0.433000 	 1.748841 
0.434000 	 1.467331 
0.435000 	 1.210257 
0.436000 	 0.983485 
0.437000 	 0.795485 
0.438000 	 0.648865 
0.439000 	 0.545580 
0.440000 	 0.492797 
0.441000 	 0.486280 
0.442000 	 0.530918 
0.443000 	 0.622148 
0.444000 	 0.760622 
0.445000 	 0.940802 
0.446000 	 1.159429 
0.447000 	 1.409008 
0.448000 	 1.685957 
0.449000 	 1.982781 
0.450000 	 2.293290 
0.451000 	 2.605753 
0.452000 	 2.917565 
0.453000 	 3.217321 
0.454000 	 3.499809 
0.455000 	 3.755580 
0.456000 	 3.980723 
0.457000 	 4.171003 
0.458000 	 4.317297 
0.459000 	 4.419605 
0.460000 	 4.473692 
0.461000 	 4.480208 
0.462000 	 4.436222 
0.463000 	 4.344992 
0.464000 	 4.206517 
0.465000 	 4.026989 
0.466000 	 3.808037 
0.467000 	 3.558457 
0.468000 	 3.281183 
0.469000 	 2.984684 
0.470000 	 2.675479 
0.471000 	 2.361387 
0.472000 	 2.051530 
0.473000 	 1.750796 
0.474000 	 1.468308 
0.475000 	 1.210583 
0.476000 	 0.985765 
0.477000 	 0.797440 
0.478000 	 0.649191 
0.479000 	 0.546557 
0.480000 	 0.493122 
0.481000 	 0.487583 
0.482000 	 0.529289 
0.483000 	 0.621170 
0.484000 	 0.758993 
0.485000 	 0.940150 
0.486000 	 1.157148 
0.487000 	 1.407705 
0.488000 	 1.685306 
0.489000 	 1.982455 
0.490000 	 2.291335 
0.491000 	 2.604450 
0.492000 	 2.914958 
0.493000 	 3.215366 
0.494000 	 3.497854 
0.495000 	 3.754276 
0.496000 	 3.980723 
0.497000 	 4.170351 
0.498000 	 4.316320 
0.499000 	 4.419605 
0.500000 	 4.474669 
0.501000 	 4.480860 
0.502000 	 4.436222 
0.503000 	 4.344992 
0.504000 	 4.208472 
0.505000 	 4.026989 
0.506000 	 3.809992 
0.507000 	 3.560412 
0.508000 	 3.283137 
0.509000 	 2.986639 
0.510000 	 2.677108 
0.511000 	 2.363342 
0.512000 	 2.053159 
0.513000 	 1.752425 
0.514000 	 1.470263 
0.515000 	 1.212864 
0.516000 	 0.986743 
0.517000 	 0.797440 
0.518000 	 0.649191 
0.519000 	 0.547535 
0.520000 	 0.494426 
0.521000 	 0.486606 
0.522000 	 0.528963 
0.523000 	 0.621496 
0.524000 	 0.760297 
0.525000 	 0.938521 
0.526000 	 1.155519 
0.527000 	 1.406728 
0.528000 	 1.684328 
0.529000 	 1.979523 
0.530000 	 2.289054 
0.531000 	 2.603472 
0.532000 	 2.913655 
0.533000 	 3.214389 
0.534000 	 3.496225 
0.535000 	 3.753299 
0.536000 	 3.980071 
0.537000 	 4.167745 
0.538000 	 4.315994 
0.539000 	 4.419931 
0.540000 	 4.473692 
0.541000 	 4.478579 
0.542000 	 4.436548 
0.543000 	 4.345644 
0.544000 	 4.208147 
0.545000 	 4.028619 
0.546000 	 3.811295 
0.547000 	 3.562041 
0.548000 	 3.283789 
0.549000 	 2.988594 
0.550000 	 2.678737 
0.551000 	 2.364971 
0.552000 	 2.054788 
0.553000 	 1.754706 
0.554000 	 1.471892 
0.555000 	 1.214167 
0.556000 	 0.988372 
0.557000 	 0.798744 
0.558000 	 0.650494 
0.559000 	 0.548186 
0.560000 	 0.492145 
0.561000 	 0.487258 
0.562000 	 0.529289 
0.563000 	 0.620519 
0.564000 	 0.757690 
0.565000 	 0.937218 
0.566000 	 1.154541 
0.567000 	 1.404773 
0.568000 	 1.681070 
0.569000 	 1.978220 
0.570000 	 2.287751 
0.571000 	 2.600540 
0.572000 	 2.912026 
0.573000 	 3.211782 
0.574000 	 3.493944 
0.575000 	 3.752321 
0.576000 	 3.978442 
0.577000 	 4.168396 
0.578000 	 4.315994 
0.579000 	 4.418954 
0.580000 	 4.474669 
0.581000 	 4.480208 
0.582000 	 4.437200 
0.583000 	 4.346947 
0.584000 	 4.208798 
0.585000 	 4.030248 
0.586000 	 3.813250 
0.587000 	 3.562367 
0.588000 	 3.286070 
0.589000 	 2.990549 
0.590000 	 2.681018 
0.591000 	 2.367251 
0.592000 	 2.056091 
0.593000 	 1.755357 
0.594000 	 1.473521 
0.595000 	 1.215144 
0.596000 	 0.988698 
0.597000 	 0.798418 
0.598000 	 0.649843 
0.599000 	 0.548186 
0.600000 	 0.493774 
0.601000 	 0.486932 
0.602000 	 0.528963 
0.603000 	 0.619541 
0.604000 	 0.757690 
0.605000 	 0.936566 
0.606000 	 1.153890 
0.607000 	 1.401840 
0.608000 	 1.679767 
0.609000 	 1.975939 
0.610000 	 2.285144 
0.611000 	 2.599237 
0.612000 	 2.909419 
0.613000 	 3.210479 
0.614000 	 3.492967 
0.615000 	 3.750366 
0.616000 	 3.977464 
0.617000 	 4.166767 
0.618000 	 4.315668 
0.619000 	 4.418302 
0.620000 	 4.473692 
0.621000 	 4.480208 
0.622000 	 4.437525 
0.623000 	 4.347924 
0.624000 	 4.211079 
0.625000 	 4.031225 
0.626000 	 3.814879 
0.627000 	 3.564322 
0.628000 	 3.287047 
0.629000 	 2.992178 
0.630000 	 2.682973 
0.631000 	 2.368555 
0.632000 	 2.057720 
0.633000 	 1.757964 
0.634000 	 1.474499 
0.635000 	 1.217425 
0.636000 	 0.991304 
0.637000 	 0.801024 
0.638000 	 0.652124 
0.639000 	 0.549164 
0.640000 	 0.492797 
0.641000 	 0.486932 
0.642000 	 0.528311 
0.643000 	 0.619216 
0.644000 	 0.755735 
0.645000 	 0.934611 
0.646000 	 1.151609 
0.647000 	 1.401189 
0.648000 	 1.679441 
0.649000 	 1.974962 
0.650000 	 2.283515 
0.651000 	 2.597282 
0.652000 	 2.908442 
0.653000 	 3.208198 
0.654000 	 3.491989 
0.655000 	 3.749715 
0.656000 	 3.975184 
0.657000 	 4.166441 
0.658000 	 4.314690 
0.659000 	 4.417976 
0.660000 	 4.473366 
0.661000 	 4.481186 
0.662000 	 4.438177 
0.663000 	 4.347598 
0.664000 	 4.210753 
0.665000 	 4.032203 
0.666000 	 3.815857 
0.667000 	 3.565625 
0.668000 	 3.289328 
0.669000 	 2.993807 
0.670000 	 2.684602 
0.671000 	 2.371487 
0.672000 	 2.060001 
0.673000 	 1.759267 
0.674000 	 1.475802 
0.675000 	 1.218077 
0.676000 	 0.991630 
0.677000 	 0.801676 
0.678000 	 0.653101 
0.679000 	 0.548512 
0.680000 	 0.493774 
0.681000 	 0.486606 
0.682000 	 0.528311 
0.683000 	 0.618890 
0.684000 	 0.755083 
0.685000 	 0.933634 
0.686000 	 1.150631 
0.687000 	 1.400537 
0.688000 	 1.676183 
0.689000 	 1.972355 
0.690000 	 2.281234 
0.691000 	 2.595327 
0.692000 	 2.906487 
0.693000 	 3.206895 
0.694000 	 3.490686 
0.695000 	 3.746457 
0.696000 	 3.974532 
0.697000 	 4.164486 
0.698000 	 4.313713 
0.699000 	 4.416999 
