times (s) 	 Voltage (V) 
0.000000 	 0.635832 
0.001000 	 0.687312 
0.002000 	 0.746612 
0.003000 	 0.810799 
0.004000 	 0.883131 
0.005000 	 0.963610 
0.006000 	 1.047020 
0.007000 	 1.137273 
0.008000 	 1.233064 
0.009000 	 1.333092 
0.010000 	 1.439310 
0.011000 	 1.547483 
0.012000 	 1.660217 
0.013000 	 1.776536 
0.014000 	 1.895135 
0.015000 	 2.016015 
0.016000 	 2.139502 
0.017000 	 2.264943 
0.018000 	 2.389081 
0.019000 	 2.515500 
0.020000 	 2.640290 
0.021000 	 2.765406 
0.022000 	 2.889544 
0.023000 	 3.011402 
0.024000 	 3.132282 
0.025000 	 3.249578 
0.026000 	 3.363941 
0.027000 	 3.474721 
0.028000 	 3.581265 
0.029000 	 3.684876 
0.030000 	 3.783274 
0.031000 	 3.876134 
0.032000 	 3.963128 
0.033000 	 4.044258 
0.034000 	 4.119849 
0.035000 	 4.189575 
0.036000 	 4.251155 
0.037000 	 4.307848 
0.038000 	 4.355418 
0.039000 	 4.395494 
0.040000 	 4.428077 
0.041000 	 4.451862 
0.042000 	 4.472388 
0.043000 	 4.481837 
0.044000 	 4.483466 
0.045000 	 4.476950 
0.046000 	 4.463917 
0.047000 	 4.442739 
0.048000 	 4.412763 
0.049000 	 4.375619 
0.050000 	 4.332611 
0.051000 	 4.280153 
0.052000 	 4.221179 
0.053000 	 4.155689 
0.054000 	 4.083683 
0.055000 	 4.004834 
0.056000 	 3.920446 
0.057000 	 3.829541 
0.058000 	 3.733424 
0.059000 	 3.634048 
0.060000 	 3.529459 
0.061000 	 3.419983 
0.062000 	 3.307248 
0.063000 	 3.191907 
0.064000 	 3.071679 
0.065000 	 2.950473 
0.066000 	 2.827312 
0.067000 	 2.703826 
0.068000 	 2.578384 
0.069000 	 2.452617 
0.070000 	 2.327501 
0.071000 	 2.202711 
0.072000 	 2.078247 
0.073000 	 1.956064 
0.074000 	 1.835835 
0.075000 	 1.718214 
0.076000 	 1.603198 
0.077000 	 1.492745 
0.078000 	 1.385223 
0.079000 	 1.282589 
0.080000 	 1.183865 
0.081000 	 1.091658 
0.082000 	 1.004012 
0.083000 	 0.922556 
0.084000 	 0.846639 
0.085000 	 0.777891 
0.086000 	 0.715333 
0.087000 	 0.661247 
0.088000 	 0.612699 
0.089000 	 0.571320 
0.090000 	 0.538086 
0.091000 	 0.512346 
0.092000 	 0.495403 
0.093000 	 0.484977 
0.094000 	 0.483022 
0.095000 	 0.489212 
0.096000 	 0.503874 
0.097000 	 0.524727 
0.098000 	 0.553399 
0.099000 	 0.590869 
0.100000 	 0.635507 
0.101000 	 0.686987 
0.102000 	 0.745960 
0.103000 	 0.811451 
0.104000 	 0.884109 
0.105000 	 0.963935 
0.106000 	 1.046694 
0.107000 	 1.136947 
0.108000 	 1.233390 
0.109000 	 1.333744 
0.110000 	 1.438658 
0.111000 	 1.547483 
0.112000 	 1.660543 
0.113000 	 1.776210 
0.114000 	 1.895461 
0.115000 	 2.016993 
0.116000 	 2.140153 
0.117000 	 2.264617 
0.118000 	 2.389733 
0.119000 	 2.515500 
0.120000 	 2.640616 
0.121000 	 2.766384 
0.122000 	 2.889544 
0.123000 	 3.012053 
0.124000 	 3.132282 
0.125000 	 3.249578 
0.126000 	 3.363616 
0.127000 	 3.475698 
0.128000 	 3.582242 
0.129000 	 3.684550 
0.130000 	 3.782297 
0.131000 	 3.875808 
0.132000 	 3.963128 
0.133000 	 4.044584 
0.134000 	 4.120175 
0.135000 	 4.189901 
0.136000 	 4.252133 
0.137000 	 4.306871 
0.138000 	 4.355418 
0.139000 	 4.395494 
0.140000 	 4.429706 
0.141000 	 4.454142 
0.142000 	 4.471085 
0.143000 	 4.481511 
0.144000 	 4.483792 
0.145000 	 4.477927 
0.146000 	 4.463265 
0.147000 	 4.443064 
0.148000 	 4.413740 
0.149000 	 4.376271 
0.150000 	 4.331307 
0.151000 	 4.280153 
0.152000 	 4.219876 
0.153000 	 4.155363 
0.154000 	 4.083357 
0.155000 	 4.004508 
0.156000 	 3.920120 
0.157000 	 3.830519 
0.158000 	 3.734401 
0.159000 	 3.634374 
0.160000 	 3.528482 
0.161000 	 3.419657 
0.162000 	 3.306597 
0.163000 	 3.191256 
0.164000 	 3.072331 
0.165000 	 2.951451 
0.166000 	 2.827964 
0.167000 	 2.703174 
0.168000 	 2.578058 
0.169000 	 2.452291 
0.170000 	 2.327175 
0.171000 	 2.202060 
0.172000 	 2.078247 
0.173000 	 1.956715 
0.174000 	 1.835184 
0.175000 	 1.718539 
0.176000 	 1.604176 
0.177000 	 1.493071 
0.178000 	 1.385223 
0.179000 	 1.282915 
0.180000 	 1.185169 
0.181000 	 1.092309 
0.182000 	 1.004337 
0.183000 	 0.922556 
0.184000 	 0.846965 
0.185000 	 0.778543 
0.186000 	 0.716636 
0.187000 	 0.659943 
0.188000 	 0.612373 
0.189000 	 0.571320 
0.190000 	 0.538737 
0.191000 	 0.512672 
0.192000 	 0.495403 
0.193000 	 0.485628 
0.194000 	 0.483348 
0.195000 	 0.489538 
0.196000 	 0.502897 
0.197000 	 0.524727 
0.198000 	 0.554703 
0.199000 	 0.590543 
0.200000 	 0.635507 
0.201000 	 0.686987 
0.202000 	 0.746286 
0.203000 	 0.812428 
0.204000 	 0.884109 
0.205000 	 0.963284 
0.206000 	 1.047997 
0.207000 	 1.137273 
0.208000 	 1.232087 
0.209000 	 1.332440 
0.210000 	 1.438658 
0.211000 	 1.547809 
0.212000 	 1.659892 
0.213000 	 1.776210 
0.214000 	 1.896113 
0.215000 	 2.016993 
0.216000 	 2.140479 
0.217000 	 2.264292 
0.218000 	 2.389733 
0.219000 	 2.515175 
0.220000 	 2.640616 
0.221000 	 2.765732 
0.222000 	 2.889218 
0.223000 	 3.011076 
0.224000 	 3.131304 
0.225000 	 3.249578 
0.226000 	 3.363616 
0.227000 	 3.475698 
0.228000 	 3.581591 
0.229000 	 3.684876 
0.230000 	 3.783274 
0.231000 	 3.875156 
0.232000 	 3.962802 
0.233000 	 4.043281 
0.234000 	 4.120175 
0.235000 	 4.189901 
0.236000 	 4.251807 
0.237000 	 4.305567 
0.238000 	 4.355092 
0.239000 	 4.395820 
0.240000 	 4.429054 
0.241000 	 4.454468 
0.242000 	 4.472063 
0.243000 	 4.482489 
0.244000 	 4.484118 
0.245000 	 4.476950 
0.246000 	 4.464243 
0.247000 	 4.443064 
0.248000 	 4.413089 
0.249000 	 4.374968 
0.250000 	 4.330656 
0.251000 	 4.280153 
0.252000 	 4.221831 
0.253000 	 4.155038 
0.254000 	 4.083357 
0.255000 	 4.004508 
0.256000 	 3.919794 
0.257000 	 3.830193 
0.258000 	 3.733098 
0.259000 	 3.635025 
0.260000 	 3.529133 
0.261000 	 3.419657 
0.262000 	 3.307248 
0.263000 	 3.191581 
0.264000 	 3.072005 
0.265000 	 2.951125 
0.266000 	 2.827964 
0.267000 	 2.703500 
0.268000 	 2.577407 
0.269000 	 2.451639 
0.270000 	 2.327501 
0.271000 	 2.202385 
0.272000 	 2.077270 
0.273000 	 1.955738 
0.274000 	 1.835510 
0.275000 	 1.718214 
0.276000 	 1.603850 
0.277000 	 1.492419 
0.278000 	 1.384898 
0.279000 	 1.283241 
0.280000 	 1.185494 
0.281000 	 1.091332 
0.282000 	 1.004012 
0.283000 	 0.922556 
0.284000 	 0.847943 
0.285000 	 0.778543 
0.286000 	 0.715659 
0.287000 	 0.660595 
0.288000 	 0.612373 
0.289000 	 0.570668 
0.290000 	 0.538412 
0.291000 	 0.512672 
0.292000 	 0.495077 
0.293000 	 0.483999 
0.294000 	 0.483348 
0.295000 	 0.489864 
0.296000 	 0.503549 
0.297000 	 0.527008 
0.298000 	 0.553725 
0.299000 	 0.590869 
0.300000 	 0.635507 
0.301000 	 0.688290 
0.302000 	 0.746286 
0.303000 	 0.811125 
0.304000 	 0.883457 
0.305000 	 0.963610 
0.306000 	 1.047020 
0.307000 	 1.137599 
0.308000 	 1.232413 
0.309000 	 1.333418 
0.310000 	 1.437681 
0.311000 	 1.548135 
0.312000 	 1.660543 
0.313000 	 1.776862 
0.314000 	 1.895787 
0.315000 	 2.016993 
0.316000 	 2.139828 
0.317000 	 2.263640 
0.318000 	 2.389081 
0.319000 	 2.515500 
0.320000 	 2.640290 
0.321000 	 2.765406 
0.322000 	 2.889870 
0.323000 	 3.010750 
0.324000 	 3.132282 
0.325000 	 3.249578 
0.326000 	 3.364267 
0.327000 	 3.475373 
0.328000 	 3.581916 
0.329000 	 3.683899 
0.330000 	 3.783274 
0.331000 	 3.876460 
0.332000 	 3.963128 
0.333000 	 4.044910 
0.334000 	 4.120500 
0.335000 	 4.189901 
0.336000 	 4.251155 
0.337000 	 4.307848 
0.338000 	 4.354441 
0.339000 	 4.395168 
0.340000 	 4.429706 
0.341000 	 4.453816 
0.342000 	 4.472063 
0.343000 	 4.481511 
0.344000 	 4.482815 
0.345000 	 4.477601 
0.346000 	 4.464243 
0.347000 	 4.442739 
0.348000 	 4.411785 
0.349000 	 4.375945 
0.350000 	 4.331959 
0.351000 	 4.279827 
0.352000 	 4.221179 
0.353000 	 4.156015 
0.354000 	 4.082705 
0.355000 	 4.004182 
0.356000 	 3.918817 
0.357000 	 3.830845 
0.358000 	 3.734075 
0.359000 	 3.633722 
0.360000 	 3.529133 
0.361000 	 3.419657 
0.362000 	 3.306922 
0.363000 	 3.191256 
0.364000 	 3.071679 
0.365000 	 2.950473 
0.366000 	 2.827964 
0.367000 	 2.703826 
0.368000 	 2.577733 
0.369000 	 2.452291 
0.370000 	 2.327827 
0.371000 	 2.201408 
0.372000 	 2.078247 
0.373000 	 1.956390 
0.374000 	 1.835510 
0.375000 	 1.717888 
0.376000 	 1.604176 
0.377000 	 1.492745 
0.378000 	 1.385875 
0.379000 	 1.282264 
0.380000 	 1.184191 
0.381000 	 1.092309 
0.382000 	 1.004337 
0.383000 	 0.922556 
0.384000 	 0.846965 
0.385000 	 0.778543 
0.386000 	 0.715985 
0.387000 	 0.659943 
0.388000 	 0.611396 
0.389000 	 0.571646 
0.390000 	 0.538086 
0.391000 	 0.512020 
0.392000 	 0.495403 
0.393000 	 0.484977 
0.394000 	 0.483022 
0.395000 	 0.490190 
0.396000 	 0.503549 
0.397000 	 0.524727 
0.398000 	 0.554377 
0.399000 	 0.591195 
