# accel_m_per_s2,voltage_V
0.000000000000000000e+00,6.279919345302045208e-01
9.810000000000000497e+00,2.793164882700238660e+00
0.000000000000000000e+00,2.476876311504050854e+00
-9.810000000000000497e+00,1.517945227805193253e+00
